accession_id	language	author	title	title_en	year	pages	description	subject_narrow	subject_broad	origin	bio_chrono	category	location	condition	registrar	donation_no	acquisition_date	donor	notes	source_pages
E-B-0015	en	בן-חורין שלום		Progressive Judaism in Israel	1968	?	Central Conference Amer. Rabbis Jurnal	No Image		?		מדעי היהדות	מדעי היהדות B /		נילי דוידסון					828
E-B-0016	en	בן-חורין שלום	נחמו נחמו עמי		1943	41		No Image		Romema Publication		מדעי היהדות	מדעי היהדות B /		נילי דוידסון					832
E-B-0017	en	ללא		The Jewish Agency - Youth Aliyah	1979	58		No Image		חוברת Bulletin		חינוך נוער וספורט	ארכיון G.F.0248 / 1		נילי דוידסון	2005.314		"ד""ר אלי פרוינד"		606
E-B-0018	en	בובר מרטין		Moses	1956	226		No Image		East &West Library ,London		פילוסופיה	פילוסופיה B /		נילי דוידסון )מתוך קטלוג גדעון בוטש(					1122
E-B-0019	en	ברויאר יוסף		The Jewish Marriage / Source of Sanctity	1956	67		No Image		Philipp Feldheim Verlag ,New-York		מדעי היהדות	מדעי היהדות B /		נילי דוידסון )מתוך קטלוג גדעון בוטש(				"אקסליבריס :מספרי ד""ר הנס גולדמן"	1181
E-B-0020	en	בוטום פיליס		Apostle of Freedom	?	279	Bottom Phyllis & Alfred Adler	No Image		Faber and Faber Verlag ,London		פסיכולוגיה	פסיכולוגיה B /		מרים פולין )מתוך קטלוג גדעון בוטש(					1197
E-B-0021	en	רוזנטל גבריאלה		In and around Jarusalem	1982	118	Drawings and Articles by Gabriella Rosenthal	No Image		Tebo Press-Seattle		אמנות	אמנות R /		נילי דוידסון	2005.338		גב' ברכה דוד ,כפר ורדים	מספרית אמה -גב' שושנה שבטן	1223
E-B-0022	en	בנטוויטש נורמן		Ben Schemen, a Children Village in Israel	?	104		No Image		Jerusalem Post Press Verlag ,Jerusalem		חינוך נוער וספורט	חינוך נוער וספורט B /		מרים פולין )מתוך קטלוג גדעון בוטש(					1275
E-B-0023	en	בן-חורין שלום		Nachamu Nachamu Ami / Comfort Ye, Comfort Ye My	1943	41	Ben-Chorim Schalom & Sloan Georg L.B. a Jewish and a | Christian Comment on the war	No Image		Romema-Publications Verlag ,Jerusalem		מדעי היהדות	מדעי היהדות B /		מרים פולין )מתוך קטלוג גדעון בוטש(				""" Niru Nir"" 8"	1279
E-B-0024	en	ביין אלכסנדר	Bein Alexander		1971	332	Hrsg.: Alexander Bein	No Image		Weidenfeld and Nicolson Verlag ,Jerusalem / London	לא סומן בקטלוג כמצוי בספריה	ציונות	ציונות B /		נילי דוידסון )מתוך קטלוג גדעון בוטש(					1318
E-B-0025	en	כהן ישראל		Travels in Jewry	1953	372		No Image		E.P. Dutton &Co .New York		ציונות	ציונות C /		נילי דוידסון				בספר דיוקן המחבר | Mit ein Porträt des Verfassers	1385
E-B-0026	en	קונה ג'ון פ.		Oscar Hammerstein's Manhattan Opera Company	1966	399		No Image		University of Oklahoma Press Norman		מוזיקה	מוזיקה C /		נילי דוידסון					1389
E-B-0027	en	כאהן ויליאם		Einstein / A pictorial Biography	1955	126		No Image		Citadel Press Verlag ,New York		ביוגרפיות	ביוגרפיות C /		נילי דוידסון					1399
E-B-0028	en	דויטש הלנה		The Psychology of Woman II, A Psychoanalytic	1947	439		No Image		Reearch Books ,London Verlag		פסיכולוגיה	פסיכולוגיה D /		מרים פולין )מתוך קטלוג גדעון בוטש(					1437
E-B-0029	en	דויטש הלנה		The Psychology of Woman I, A Psychoanalytic	1947	312		No Image		Research Books ,London Verlag		פסיכולוגיה	פסיכולוגיה D /		מרים פולין )מתוך קטלוג גדעון בוטש(					1438
E-B-0030	en	אשכלות זאב		The Eskeles Genialogy	1995	272	כרונולוגיה משפחתית	No Image		Haifa ,Israel		ביוגרפיות	ביוגרפיות E /		נילי דוידסון					1511
E-B-0031	en	אלרן הרמן		Herzl, Hechler, The grand Duke of Baden and the	1961	103	Ellern hermann & Bessi	No Image		Tel-Aviv ,Israel		ציונות	ציונות E /		נילי דוידסון				הספר האנגלית ובעברית	1518
E-B-0032	en	אילון עמוס		The pity of it all	2002	446	A Portrait of the German-jewish Epoch 1743-1933	No Image		Metropolitan Books ,Henry Holt and Company ,New-Yo		היסטוריה יהודית	היסטוריה יהודית E /		נילי דוידסון			באטה אברמוב-דוידסון ,נהריה		1519
E-B-0033	en	ארל שלמה		The Diary of a Kibbutz Secretary	1979	104		No Image		Kernerman Publishing		ארץ ישראל	ארץ ישראל E /		נילי דוידסון					1522
E-B-0034	en	אליאך יפה		We were children just like you	1990	122	Edited by: Eliach Yaffa	No Image		Center for Holocaust Studies		שואה	שואה E /		נילי דוידסון					1532
E-B-0035	en	אליאך יפה		There once was a World	1998	818		No Image		Little Brown and Comp. ,Canada		שואה	שןאה E /		נילי דוידסון					1533
E-B-0036	en	פרנקל ה .אלכסנדר		Samuel Mendelssohn a man who must not be forhotten	1995	59	בספר מסמכים ומכתבים	No Image		By H .Alexander Fraenkel ,New York		ביוגרפיות	ביוגרפיותF /		נילי דוידסון					1593
E-B-0037	en	פרוינד איזמר		Palestina befor the worlds forum	1946	68		No Image		Rubin Mass Verlag ,Jerusalem		ציונות	ציונות F /		נילי דוידסון	2000.032		"ד""ר אלי פרוינד ,בת-ים"	לספר 2 עותקים בספריה	1597
E-B-0038	en	פרנקנשטיין קרל		Between Past and Future / Essays and studies on	1953	335	edition: The Henriette Szold Fondation for Child and | Youth Welfare, Jerusalem	No Image		ראה בתיאור היצירה		חברה	חברה F /		נילי דוידסון					1615
E-B-0039	en	פויכטונגר ליאון		The day will come - The 3rd volum of the Josephus	?	256	Edition: Hutchinson & Co.(Publisher) Ltd., London, New | York, Melbourne	No Image		ראה בתיאור היצירה		פרוזה	פרוזה F /		נילי דוידסון					1616
E-B-0040	en	פלזנטל אמה		Bernhard Felsenthal - Teacher in Israel	1924	362	Selections from his writings with biographical sketch and | bibliography by his daughter	No Image		Oxford University Press ,New York		ביוגרפיות	ביוגרפיות F /		נילי דוידסון				בספר תמונה של ברנהרד פלזנטל	1626
E-B-0041	en	פרנקל יוסף		The Jews of Austria / Essays on their life, history and	1967	584		No Image		Vallentine &Mitchell ,London		קהילות	קהילות O /		נילי דוידסון				לספר עותק נוסף משנת 1970	1634
E-B-0042	en	פרנק אברהם		The Eschenheimer and Nachmann Families / Biographies	2002	?	Frank Abraham & Buck Gerhard	No Image		?		ביוגרפיות	ביוגרפיות F /		נילי דוידסון	2004.300		אברהם פרנק ,ירושלים		1635
E-B-0043	en	פרנק אברהם		The Srier Family of Zwesten Hessen, Germany /	2002	?	Frank Abraham & Dr. Schneider Alfred	No Image		?		ביוגרפיות	ביוגרפיות F /		נילי דוידסון	2004.300		אברהם פרנק ,ירושלים		1636
E-B-0044	en	פקנהיים אמיל א.		Hermann Cohen - after fifty years	1969	27		No Image		New York Verlag		מדעי היהדות	מדעי היהדות F /		מרים פולין )מתוך קטלוג גדעון בוטש(					1658
E-B-0045	en	גרונוולד קורט	Grunwald Kurt		1966	139	Israel program for scientific translations, Jerusalem, israel	No Image		"ראה ב""תיאור היצירה"""		ביוגרפיות	ביוגרפיות G /		נילי דוידסון				"אקסליבריס :ד""ר צבי שילוני | Exlibris: Dr. Zwi Shiloni"	1841
E-B-0046	en	גורני יוסף		From Rosh Pina and Degania to Demona	1989	112	A history of constractive zionism	No Image		Mod Books ,Tel-Aviv		ציונות	ציונות G /		נילי דוידסון					1848
E-B-0047	en	גרוס לאונרד		The last Jew in Berlin	1988	349		No Image		,Touchstone Verlag ,New York,London,Toronto,Sydney		קהילות	קהילות B /		מרים פולין )מתוך קטלוג גדעון בוטש(					1957
E-B-0048	en	ליליין אפרים משה		Book Plates 1897-1907			35 העתקים של האקסליבריס שיצר א.מ .ליליין	No Image				אמנות	"אמנות ע""י ספרי התנך שליליין אייר"		נילי דוידסון				הועבר מרותי בדצמבר 2005	1971
E-B-0049	en	בלר סטפן	Beller Steven		?	53		No Image		Austrian Federal Ministry for Foreign affairs		ציונות	ציונות B /		נילי דוידסון					2027
E-B-0050	en	הרץ יוסף הרמן		The Pentateuch and Haftorahs,	1938	?	Hrsg.: Hertz Joseph Hermann | Hebrew Text, english Translation and Commentary	No Image		Soncino Press ,London		ספרי קודש	ספרי קודש H /		מרים פולין )מתוך קטלוג גדעון בוטש(					2089
E-B-0051	en			Some Early Herzl Letters	?	?		No Image		?		ציונות	ציונות / הרצל		נילי דוידסון	2000.042		מיקי יונגמן ,הבן ,גילון	"אקסליבריס :ד""ר מקס יונגמן / ראה תמונה | בG.B.0208- | הקדשה :לד""ר מקס יונגמן מאלכס ביין | Exlibris: Dr. Max Jungmann / siehe Abbildung in G.B.0208 | Widmung: An Dr. Max Jungmann von alex Bein"	2120
E-B-0052	en	הרליץ גאורג		Three Jewish Historians - Isaak Markus Jost - Heinrich	1964	21		No Image		Leo Baeck Institute ,London		חברה	חברה H /		רים פולין )מתוך קטלוג גדעון בוטש(				הקדשה :לארתור שטרן מאת המחבר | Widmung: An Arthur Stern Vom Verfasser	2152
E-B-0053	en	האוזנר גדעון		Justice in Jerusalem	1968	528		No Image		Schocken Books ,New York		חברה / משפט	חברה H /		נילי דוידסון					2162
E-B-0054	en	הזנקלוור מיכאל		E.M. Lilien - Imprints upon Palestine	1998		קטלוג | Katalog	No Image		Michael Hasenclever Galerie ,München		אמנות	אמנות H /		נילי דוידסון					2188
E-B-0055	en	הירשפלד מגנוס	Hirschfeld Magnus		?	630	Dr. Magnus Hirschfeld	No Image		Francis Aldor Publishe ,London		פסיכולוגיה	פסיכולוגיה H /		נילי דוידסון					2196
E-B-0056	en	הייזה פאול		L'Arrabbiata	1903	86	with notes, vocabulary and material for conversational | exersises in German	No Image		Heath &Co Verlag Boston		פרוזה	פרוזה H /		מרים פולין )מתוך קטלוג גדעון בוטש(					2224
E-B-0057	en	הורוביץ דוד		Economic Survey of Palestine.	1938	214	With special Reference to the Years1936 and 1937 | Geschrieben von: Horowitz David & Hinden Rita	No Image		Hapoel Hazair Verlag ,Tel-Aviv		ארץ ישראל	קרץ ישראלישראל H /		מרים פולין )מתוך קטלוג גדעון בוטש(					2283
E-B-0058	en	היטנבך הנרי ר.		The Emigration Book of Worms	1974	118	The Character and Dimensions of Jewish Exodus from a | small German Jewish Community 1933 - 1941	No Image		Selbstverlag Rheinland -Pfalz ,Koblenz		קהילות	קהילות W /		מרים פולין )מתוך קטלוג גדעון בוטש(					2292
E-B-0059	en	גינצבורג-הירקנוס דבורה		Jerusalem War Diary	1950	93		No Image		Zionist Education Department ,ohne Verlag		יומנים ומכתבים	יומנים ומכתבים G /		מרים פולין )מתוך קטלוג גדעון בוטש(					2294
E-B-0060	en	יאסטרוב יוסף		Freud - His Dream and Sex Theories	1932	290		No Image		Cardinal Edition ,New York		פסיכולוגיה	פסיכולוגיה J /		נילי דוידסון )מתוך קטלוג גדעון בוטש(					2325
E-B-0061	en	יוסף טומי		Why there were Jews in Nakuru - Their Story	1998	60	ציונות באפריקה | תמונות | Zionismus in Africa | Abbildungen	No Image		Published Privately by Tommy Joseph ,Haifa Israel		ציונות	ציונות J /		נילי דוידסון				תרומת גב' טומי יוסף	2353
E-B-0062	en	קליין היימן מ.א.		The code of Maimonides - Book eleven - The Book of	1954	299		No Image		New Haven ,Yale University Press		מדעי היהדות	מדעי היהדות K /		נילי דוידסון					2378
E-B-0063	en	קרקאואר תומס		Family Portrait	1995	205	חקר המשפחות :גוטשלק ,מולינג ובנימין מעזבון משפחת | כצנשטיין-ברנקופף ) (G.F.0093 בספר בין היתר ישנן | תמונות של אלן והנס ברנקופף | History and genealogy of the Gottschalk, Molling and | Benjamin families from Hannover, Germany	No Image		Durham NC		ביוגרפיות	ביוגרפיות K /		נילי דוידסון	2000.074		יעל ארנולד-ברן ,לבית ברנקופף ,גרמניה		2442
E-B-0064	en	קליגור ר.		The Bible throughout the World	1969	208	A survey of scripture translations	No Image		World Dominion Press ,London		מדעי היהדות	מדעי היהדות K /		נילי דוידסון )תוך קטלוג גדעון בוטש(					2505
E-B-0065	en	קוסטלר ארתור		Twilight Bar - An Escapade in four acts	1945	75		No Image		Jonathan Cape Verlag ,London		פרוזה / דרמה	פרוזה K /		נילי דוידסון )תוך קטלוג גדעון בוטש(					2525
E-B-0066	en	קון הנס	Kohn Hans		1959	24	The Leo Baeck Memorial Lecture 2	No Image		ohne Verlag New York	לא סומן בקטלוג כמצוי בספריה	ביוגרפיה / פרוזה -היינריך היינה	ביוגפיה K /		מרים פולין )מתוך קטלוג גדעון בוטש(					2534
E-B-0067	en	גרונוולד קורט		Studies in the History of the German Jews in Global	1981	163	Hrsg.: Kurt Grunwald	No Image		)Draft Manuskript(Jerusalem Verlag		חברה / כלכלה	חברה G /		מרים פולין )מתוך קטלוג גדעון בוטש(					1961
E-B-0068	en	לובדרמילק ולטר קליי		Palestine land of promise	1946	165	עם תמונות ומפות	No Image		Victor Gollancz ,London		ארץ ישראל	ארץ ישראל L /		נילי דוידסון )תוך קטלוג גדעון בוטש(				לספר 2 עותקים בספריה	2564
E-B-0069	en	לדרר בנו		A tale of three continents	2000	33	תולדות משפחת לדרר	No Image		Natanya	לא סומן בקטלוג כמצוי בספריה	ביוגרפיות	ביוגרפיות L /		נילי דוידסון	2000.039		רות אלוף ,הבת ,תל אביב	"אקסליבריס :ד""ר ג'פרי לדרר | Exlibris: Dr. Jefry Lederer"	2588
E-B-0070	en	ליליין אפרים משה		E.M. Lilien the first zionist artist	1997	?	קטלוג לתערוכה שהיתה בתפן ב 1997- | הספר בעברית ובאנגלית | Letters, Illustrations, Etchings, Photographs	No Image		The Open Museum Tefen		אמנות / יומנים ומכתבים	אמנות L /		נילי דוידסון					2592
E-B-0071	en	לפיטה פ.		The Interment of Aliens	1940	256		No Image		Penguin Verlag ,London		היסטוריה יהודית	היסטוריה יהודית L /		מרים פולין )תוך קטלוג גדעון בוטש(					2606
E-B-0072	en	לוקסמבורג רוזה		Rosa Luxemburg speaks	1970	473		No Image		A Merit Book ,Pfandfinder Press ,New York		חברה / פוליטיקה	חברה L /		נילי דוידסון					2645
E-B-0073	en	ליבנה אליעזר		State and diaspora	1953	92		No Image		Youth and Hechalutz department of the Zionist Orga		חברה / ציונות	חברה L /		נילי דוידסון					2649
E-B-0074	en	מנדל ארנסט		The formation of the economic thought of Karl Marx	1971	223		No Image		Monthly Rewiew Press , New York &London		חברה / פוליטיקה	חברה M /		נילי דוידסון					2675
E-B-0075	en	מרקס קרל & אנגלס פרדריק		On colonialisem	?	571		No Image		Foreigen Languages Publishing House ,Moscow		חברה / פוליטיקה	חברה M /		נילי דוידסון					2676
E-B-0076	en	מרקס קרל & אנגלס פרדריק		The holy family or critique of critical critique	1956	287		No Image		Foreigen Languages Publishing House ,Moscow		חברה / פוליטיקה	חברה M /		נילי דוידסון					2677
E-B-0077	en	מרקס קרל & אנגלס פרדריק		On Britain	1953	571		No Image		Foreigen Languages Publishing House ,Moscow		חברה / פוליטיקה	חברה M /		נילי דוידסון					2678
E-B-0078	en	מאייר הנס-חנוך		A short family story	1984	81	Mit Abbildungen auch aus Eretz Israel	No Image		Haifa		ביוגרפיות	ביוגרפיות M /		נילי דוידסון					2686
E-B-0079	en	מרקס קרל		Capital - volum III	1959	923	A critique of political economy	No Image		Foreigen Languages Publishing House ,Moscow		חברה / פוליטיקה	חברה M /		נילי דוידסון				אקסליבריס :אלון	2706
E-B-0080	en	מרקס קרל & אנגלס פרדריק		Reminiscences of Marx and Engels	?	402		No Image		Foreigen Languages Publishing House ,Moscow		חברה / פוליטיקה	חברה M /		נילי דוידסון				הקדשה :לאלון מנעמי ויגאל	2707
E-B-0081	en	מרקס קרל		Economic and philosophic manuscripts of 1844	?	208		No Image		Foreigen Languages Publishing House ,Moscow		חברה / כלכלה	חברה M /		נילי דוידסון					2708
E-B-0082	en	מרקס קרל		Notes on Indian history - 1664-1858	?	173		No Image		Foreigen Languages Publishing House ,Moscow		היסטוריה כללית	היסטוריה כללית		נילי דוידסון				אקסליבריס :אלון	2709
E-B-0083	en	מרגוליס מקס ל.		The story of Bible Translation	1917	135	The Jewish Publication Society of America, Philadelphia	\Samuel Boorstein EB1734 אוסף אקסליבריס\backup\Tchelet_data\Rachel		ראה בתיאור היצירה	לא סומן בקטלוג כמצןי בספריה	מדעי היהדות	מדעי היהדות		נילי דוידסון )מתוך קטלוג גדעון בוטש(				"אקסליבריס :ד""ר שלמה בורשטיין / אמנותי ,צילום שלו בחדר ספריתו .התמונה מעוטרת בסגנון היוגנדשטיל ,אמן לא ידוע. | השם הפרטי בעברית כתוב שלמה בעוד שהשם בלועזית כתוב שמואל )?( | Exlibris: Dr. Samuel Boorstein / künstlerich. Sein Photo in seinem Bibliothek. Das Photo ist im Jugendstil verahmt, Künstler unbekannt.Siehe Bild."	2756
E-B-0084	en	לובן מרווין		The Kaddish - Man's Replie to the Problem of Evil	1962	47	Studies in Thorah and Judaism 4	No Image		Yeshiva University Verlag ,New York		מדעי היהדות	מדעי היהדות L /		נילי דוידסון )מתוך קטלוג גדעון בוטש(					2864
E-B-0085	en	לודויג אמיל		Cleopatra - The Story of a Queen	1956			No Image		Bantam Verlag ,New York		ביוגרפיות	ביוגרפיות L /		נילי דוידסון )מתוך קטלוג גדעון בוטש(					2868
E-B-0086	en	לורי אסתר		Jewesses in Slavery	1945	?		No Image		Sifriat Poalim ,Palästina	לא סומן בקטלוג כמצוי בספריה	אמנות	אמנות L /		נילי דוידסון )מתוך קטלוג גדעון בוטש(					2886
E-B-0087	en			David Ben Gurion - Israel a personal history	1972	862		No Image		sabra books ,Tel-Aviv		ארץ ישראל	ארץ ישראל B /		נילי דוידסון	2006.396		אני מיכאליס ,הכלה ,חיפה	"הספר הובא למוזיאון ע""י אנדריאס מאייר"	2953
E-B-0088	en	קולק טדי		For Jerusalem - A life by Teddy Kolek with his son Amos	1978	269		No Image		Weidenfeld and Nicolson ,London		ארץ ישראל	ארץ ישראל K /		נילי דוידסון	2006.396		אני מיכאליס ,הכלה ,חיפה	"הספר הובא למוזיאון ע""י אנדריאס מאייר"	2954
E-B-0089	en	מילר טאוזנד	Miller Townsend		1963	379		No Image		Victor Gollancz Verlag ,London		היסטוריה יהודית	היסטוריה יהודית M /		מרים פולין )מתוך קטלוג גדעון בוטש(					2960
E-B-0090	en	מורטון פרדריק		The Rothschilds, A family Portrait	1963	256		No Image		Crest Verlag ,New York		ביוגרפיות	ביוגרפיות M /		מרים פולין )מתוך קטלוג גדעון בוטש(					2971
E-B-0091	en	אסתר רמון		The Homburger Family from Karlsruhe - a family study,	1992	183		No Image		Posner &Sons ,Jerusalem		ביוגרפיות	ביוגרפיות R /		נילי דוידסון			אסתר רמון	בתוך הספר מכתב קצר שכתבה אסתר רמון לסטף ורטהיימר	3004
E-B-0092	en	נוימן רוברט		Festival	1963	215		No Image		Barrie and Rockliff Verlag ,London		פרוזה	פרוזה N /		מרים פולין )מתוך קטלוג גדעון בוטש(					3031
E-B-0093	en	נוברה היינץ-מיכאל		The Jew with the blue Max	1967	29		No Image		John W .Caler	לא סומן בקטלוג כמצוי בספריה	צבא / חברה	צבא N /		נילי דוידסון					3120
E-B-0094	en	נחמנזון דוד		German-Jewish Pioneers in Science 1900-1933	1979	388		No Image		Springer verlag , Berlin & Heidelberg &New York		מדעים	מדעים N /		נילי דוידסון					3126
E-B-0095	en	אורלוב דיטריך		A History of modern Germany	1987	365		No Image		.Prentice Hall Inc		היסטוריה כללית	היסטוריה כללית O /		נילי דוידסון					3134
E-B-0096	en	פטרוז-אבלז דבורה	קטלוג אמנותי	a Tribut To Kaufhaus N. Israel 1815-1939	2003	64	"קולג'ים על סמך יומונים שהוצאו לאור ע""י משפחת ישראל | בתחילת המאה העשרים בברלין .אבותיו של וילפריד | ישראל . | בספר התיחסות למשפחת ישראל מברלין ,בעלי רשת | חנויות כל-בו."	No Image				אמנות	ארכיון תיק G.F.0232		נילי דוידסון					4110,4111
E-B-0097	en	פטאי רפאל		Herzl Year Book - essays in Zionist History and Thought	1959	55		No Image		Herzl Press New York		ציונות	ציונות P /		נילי דוידסון					3138
E-B-0098	en	פרי חירם		The original plan of divine Comedy	1954	21	הספר על הקומדיה האנושית של דנטה אליגרי | Printed in Great Britain by Ebenezer Baylis and son - The | Trinity Press, Worcester and London	No Image		ראה בתיאור היצירה		פרוזה	פרוזה P /		נילי דוידסון				הקדשה :לארתור שטרן מאת המחבר | Widmung: An Arthur Stern Vom Verfasser	3144,3145
E-B-0099	en	פריבטש הרברט		From Berlin to Johannesburg	1992	166		No Image		?		ביוגרפיות	ביוגרפיות P /		נילי דוידסון					3149
E-B-0100	en	פיקרד ליאון יעקב		Fragments of Autobiography	?	25		No Image		?		ביוגרפיות	ביוגרפיות P /		נילי דוידסון					3151
E-B-0101	en	פטקין בנציון		The Dunera Internees	?	185	צילום דפי הספר	No Image		?		פרוזה	פרוזה P /		נילי דוידסון					3152
E-B-0102	en	פוסטל ברנהרד		Guess Who's Jewish in American History	1978	336	Postal Bernhard & Koppmann Lionel	No Image		Shapolsky Publishers ,New York		היסטוריה יהודית	היסטוריה יהודית P /		נילי דוידסון					3160
E-B-0103	en	פיקרד ליאון יעקב		Childhood in the village	?	עמודים 273-293	Fragment of an Autobiography	No Image		ohne Verlag	לא סומן בקטלוג כמצוי בספריה	ביוגרפיות	ביוגרפיות P /		מרים פולין )מתוך קטלוג גדעון בוטש(					3179
E-B-0104	en	ריכרדזון יואנה		Rachel	1957	222	סיפור חייה של רחל פליקס ,ילידת 1821 להורים יהודים, | רוכלים נודדים .לימים הפכה רחל לזמרת מפורסמת | בצרפת ומעבר לגבולותיה והיתה מקושרת לגדולי | הדור.בספר יש תמונות	No Image		G.P .Putnam's Sons ,New York		ביוגרפיות	ביוגרפיות R /		נילי דוידסון					3219
E-B-0105	en	רוברט מרתה		From Oedipus to Moses - Freud's jewish identity	1976	229		No Image		Ancor Books ,New York		פסיכולוגיה	פסיכולוגיה R /		נילי דוידסון					3223
E-B-0106	en	רוטנשטרייך נתן		For and against emancipation - The Bruno Bauer	1959	36		No Image		Leo Baeck Institute ,London	לא סומן בקטלוג כמצוי בספריה	חברה / פוליטיקה	חברה R /		נילי דוידסון					3227
E-B-0107	en	ריבלין חיים		The Ihud Hehaklai Settlements	1964	58		No Image		ohne Verlag Tel-Aviv		ישראל	ישראל R /		מרים פולין )מתוך קטלוג גדעון בוטש(					3249
E-B-0108	en	רבינוביץ אוסקר ק.		A jewish Cyprus projerct - Davis Trietsch's colonization	1962	91		No Image		Herzl Press ,New York		ציונות	ציונות R /		נילי דוידסון				צילום של הספר	3259
E-B-0109	en	רוזה לשה		The tulpis are red - The story of a jewish girl in the dutch	1992	275		No Image		Yad Vashem		ביוגרפיות	ביוגרפיות R /		נילי דוידסון	2002.213		אורה גפן ,הבת ,בית יצחק	אקסליבריס :מעזבון מריאנה ושלמה קונרה ,בית יצחק | Exlibris: Aus dem Nachlass von Marianne & Shlomo Conra, Beit Yzhak	3266
E-B-0110	en	רופין ארתור		Memoirs, diaries, letters	1971	332		No Image		Weidenfeld &Nicolson ,London		יומנים ומכתבים / ציונות / ארץ ישראל	יומנים ומכתבים R /		נילי דוידסון					3275
E-B-0111	en	שבאב הרמן		Jewish Rural Communities in Germany	?	91		No Image		Cooper Book Company Verlag ,London		מדעי היהדות	מדעי היהדות S /		מרים פולין )מתוך קטלוג גדעון בוטש(				לספר 2 עותקים	3434
E-B-0112	en	זיכל פרידה		From Refugee to Citizen	1966	169	A Sociological Study of the immigrants from Hitler - | Europe who settled in Southern Africa	No Image		Capetown / Amsterdam A.A .Balkema Verlag ,		היסטוריה יהודית	היסטוריה יהודית S /		מרים פולין )מתוך קטלוג גדעון בוטש(					3471
E-B-0113	en	שפיר יוליוס		The Hands of Chidren	1944	179	An Introduktion to Psycho - Chirology	No Image		Kegan Paul ,Trench , Trubner &Co Verlag ,London		פסיכולוגיה	פסיכולוגיה S /		מרים פולין )מתוך קטלוג גדעון בוטש(					3507
E-B-0114	en	שפיר זלמר		The Fatherland	?	308 - 294	A chapter from an unpublished Autobiography	No Image		ohne Verlag		ביוגרפיות	ביוגרפיות S /		מרים פולין )מתוך קטלוג גדעון בוטש(					3508
E-B-0115	en	שטרן זלמה		The Court Jew	1950	312	A Contribution to the History of the Period of Absolutism | in Central Europe	No Image		The Jewish Publication Siciety of America ,Philade		היסטוריה יהודית	היסטוריה יהודית S /		מרים פולין )מתוך קטלוג גדעון בוטש(					3550
E-B-0116	en	שקספיר ויליאם		The Tempest	?	40		No Image		Velhagen &Klasen Verlag ,Bielefeld		פרוזה	פרוזה S /		מרים פולין )מתוך קטלוג נילי דוידסון(					3754
