accession_id	accession_raw	artist	artist_en	work_title	work_title_en	item_type	item_type_en	technique	technique_en	description	dimensions	years	subject_narrow	subject_broad	origin	origin_en	bio_chrono	category	location	condition	registrar	insurance_value	donation_no	acquisition_date	donor	notes	source_pages
G-F-0007	G.F.0007	כהן אוסקר	Cohn Oscar			מאמרים		העתק	Copy	"כהן אוסקר 1869-1934 | מתוך מכתבו של הנכד ,ד""ר מיכאל כהן: | אוסקר כהן היה חבר ברייכסטג הגרמני כנציג אזור | נורדהאוזן  Nordhausenבתקופה  .1912-1918 הוא התבלט | במיוחד ביציאתו נגד המטכ""ל הגרמני וניהול המלחמה. | קטגוריות: | מלח""ע I | פרסומים"			No Image		,Nordhausenשלזיה עלית ,גרמניה			פרסומים	04.08.2002	1 מתוך 1	נילי דוידסון		אין		"ד""ר מיכאל כהן ,נכדו של אוסקר כהן ,אוסף ישראל שילוני"	בתיק תמונת דיוקן של אוסקר כהן.	21,22
G-F-0008-1	G.F. 0008 / 1	לוזר ולטר 1980-1893						מקור ,העתק	Original, Copy	רות קרמר לבית לוזר ,תרמה את החומר .אביה ולטר לוזר | ,1893-1980 אמה אדית לבית גולדשמידט | . 1898-1980 | קטגוריות: | .1 אירגונים | .2 משפחה | .3 תמונות | .4 פרסומים | .5 מנהגים | .6 כלכלה | .7 אומנות | .8 ספרות | .9 גלויות | .10 ספורט			No Image	.1 תמונות של אירגון נשים יהודיות ,הילדסהיים .Jüd -	הילדסהיים Hildesheimגרמניה		אילן יוחסין משפחת לוזר +גולדשמידט		04.08.2002	1 מתוך 2	נילי דוידסון		אין		"הבת,רות קרמר ,ת""ד ,81 שבי-ציון ,04-9827581 ,25227"	7473  מתוך 25 עמוד	23,24,25
G-F-0008-2	G.F. 0008 / 2	לוזר ולטר 1980-1893						מקור ,העתק	Original, Copy	"ולטר לוזר היה קצין במלח""ע . Iהוא נשבה וישב במחנה | המעצר  Barcelonnetteבצרפת. | באוסף חומר רב מהפעילות החברתית של ""שעות הפנאי"". | ולטר לוזר עלה לישראל לפני מלח""ע .II | קטגוריות: | .1 מלח""ע I | .2 מחנות | .3 מנהגים | .4 אומנות | .5 הגירה | .6 הרייך השלישי | .7 פירסומים *מחזה *עלונים הומוריסטים"			No Image	-צילום של תפריט לבית קפה , Speise Karte -מעשה ידי					04.08.2002	2 מתוך 2	נילי דוידסון		אין		הבת ,רות קרמר ,שבי ציון -להשלמה ראה כרטיס קודם.	"חיתוכי עץ ,מעשה ידי השבוים בברסלונט ,מוסגרו והוצגו בתערוכה ,נמצאים )כפי שהוצגו( בארכיון המוזיאון. | בתצוגת המוזיאון מוצגים מספר פריטים מאוסף זה ,כולם שייכים לקטגוריית מלח""ע  , Iבניהם תמונה של הקצין ולטר לוזר  ,איתורים צבאיים ועוד."	99,100
G-F-0009	G.F.0009	לוקס & וייס & מבשן						מקור	Original	"גב' אוה וייס ,ילידת ,1921 נפטרה ,2002 העבירה למוזיאון | את עזבון הוריה ,רנה וייס והלה וייס לבית לוקס .החומר | נאסף במספר ביקורים אצל גב' וייס בטבעון ,ע""י נילי | דוידסון ,רותי אופק ,קרלה וולף ותמר זגר .לגב' וייס יש | אח ,ריכרד )רי( ,אורי ,יליד  ,1924 חי בחיפה .תמר זגר יצרה | איתו קשר בכונה לעורר את התעניינותו בעבודה שנעשית | במוזיאון בהקשר עם עיזבון הוריו  -הענות דלה .אוה וייס | התגייסה לצבא הבריטי במלח""ע  ,IIשרתה במצרים | ואיטליה .לא נישאה  .החומר לתולדות המשפחה מבוסס | על תכנים מהעזבון ומשיחות עם אוה וייס .סכמה  -נילי | דוידסון | אוה וייס נפטרה אחרי מחלה קשה וארוכה ב.2002-"		המאה ה ,19-ה 20-	The file: {T:\backup\Tchelet_data\Rachel\GF 0009.JPG} is missing סיכום לתולדות המשפחה	רנה וייס , Rene Weiss1890-1972 -נולד בפריס לאביו	גרמניה			תולדות משפחה	27.01.2003	1 מתוך 14	נילי דוידסון		0			תמונה לוקס וייס 1	26,27,28
G-F-0009-1	G.F. 0009 / 1	לוקס & וייס & מבשן						מקור ,הדפסה ,תרגום לעברית	Original, Printing, Transletion to Hebrew	קטגוריות: | .1 תולדות משפחה | .2 תעודות אישיות | .3 מנהגים | .4 התכתבות | .5 תמונות		המאה ה ,19-ה 20-	The file: {T:\backup\Tchelet_data\Rachel\GF0009 1.JPG} is missing					ראה תאור אוסף	28.01.2003	2 מתוך 14	נילי דוידסון		0		"אוה וייס ז""ל ,טבעון"	תמונה לוקס וייס .2	29,30,31
G-F-0009-10	G.F. 0009 / 10	לוקס & וייס & מבשן						מקור ,הדפסה	Original, Printing	"בעיזבון של לוקס / וייס נמצאו מסמכים של משפחת | מבשן .גב' אוה וייס ז""ל ספרה שהזוג מבשן היו חברים | טובים של הוריה  -לא היה לה מידע מעבר לזה. | שמעון  Simonמבשן  , Mibaschanעיברת את שמו | מבראונשטיין  ,Braunsteinיליד רומניה ,נשא לאישה את | יוליה  Juliaלבית פבר .Faber | קטגוריות: | .1 תמונות | .2 פלסתינה | .3 מקצועות חופשיים | .4 התיישבות | .5 מנהגים | .6 תעודות אישיות"			The file: {T:\backup\Tchelet_data\Rachel\GF0009 10.JPG} is missing	.1 תמונות מהחתונה של בן הנציב העליון דאז ,הרברט					06.02.2003	11 מתוך 14	נילי דוידסון					תמונה שמעון ויוליה מבשן .בשנת 2004 במהלך שיפוצים במוזיאון נעלם התיק.	124,125,126
G-F-0009-11	G.F. 0009 / 11	לוקס & וייס & מבשן				מכתבים		מקור	Original	גב' תמר זגר קראה מאות מכתבים ומיינה אותם תוך | כתיבת סיכום קצר בעברית של נושאי המכתב. | בתיק זה: | מכתבים שכתב רנה אל הלה ; 1911-1913 | .1914-1921 +אין מכתבים מ.1919- | המכתבים מסודרים לפי השנים.			No Image	ההתכתבות בין רנה והלה החל ב 1911-אחרי ההיכרות				התכתבות	06.02.2003	12 מתוך 14	נילי דוידסון				"אוה וייס ז""ל ,טבעון"		127,128
G-F-0009-12	G.F. 0009 / 12	לוקס & וייס & מבשן		מכתבים מבלה לוקס אל רנה וייס		מכתבים		מקור	Original	גב' תמר זגר קראה מאות מכתבים ומיינה אותם תוך | כתיבת סיכום קצר בעברית של נושאי המכתב .מרים | פולין הדפיסה. | בתיק זה: | מכתבים שהלה כתבה אל רנה: | 1916-1920 + 1911-1915 אין מכתבים מ.1919- | המכתבים מסודרים לפי השנים.			No Image	ההתכתבות בין רנה והלה החל ב 1911-אחרי ההיכרות				התכתבות	06.02.2003	13 מתוך 14	נילי דוידסון				"אוה וייס ז""ל ,טבעון"	בשנת 2004 במהלך עבודות שיפוצים במוזיאון נעלמו תיקים משנת .1916,1917,1918,1920 ,1915- 1914	129,130
G-F-0009-13	G.F. 0009 / 13	לוקס & וייס & מבשן				מכתבים		מקור	Original	התיק מכיל מכתבים: | -שחשיבות תוכנם  ,לפי הקריטריונים ,מועטה ,דהיינו | תיעוד מקיף של התקופה.			No Image	.1 מעטפות				התכתבות	09.02.2003	14 מותך 14	נילי דוידסון						131,132
G-F-0009-2	G.F. 0009 / 2	לוקס & וייס & מבשן						מקור	Original	קטגוריות: | .1 כתיבה אישית  /חברתית | .2 מנהגים | .3 נוער | .4 אירגונים | .5 פעילות פוליטית | .6 הרייך השלישי | .7 מוזיקה | .8 מדעים | .9 מסורת			No Image	.1+2 יומן של הלה לוקס מ.1910-				ראה תאור אוסף	29.01.2003	3 מתוך 14	נילי דוידסון		0		"אוה וייס ז""ל ,טבעון"	""" -קופסת חיי"" מוצגת בתערוכת המוזיאון | -המכתב על חיתול התורה שהודפס מעניין מאד."	32,33,34
G-F-0009-3	G.F. 0009 / 3	לוקס & וייס & מבשן						מקור	Original	"קטגוריות: | .1 ספרים | .2 כלכלה | .3 ספורט | .4 מקצועות חופשיים | .5 הגירה | .6 מלח""ע I | .7 ציור | .8 תמונות"			The file: {T:\backup\Tchelet_data\Rachel\GF0009 3.JPG} is missing	.1+2 ספר בגרמנית על בנקים יהודים פרטיים בפרנקפורט				ראה תאור אוסף	29.01.2003	4 מתוך 14	נילי דוידסון				"אוה וייס ז""ל ,טבעון"	תמונה לוקס וייס 3	110,111
G-F-0009-4	G.F. 0009 / 4	לוקס & וייס & מבשן						מקור	Original	"קטגוריות: | .1 מסורת | .2 ספרים | .3 פרסומים | .4 מלח""ע I | .5 פוליטיקה | .6 משפט"			No Image	.1+2 ספר תפילות לנוער לתפילת שבת אחר הצהריים,				ראה תאור אוסף	29.01.2003	5 מתוך 14	נילי דוידסון				"אוה וייס ז""ל ,טבעון"		112,113
G-F-0009-5	G.F. 0009 / 5	לוקס & וייס & מבשן						מקור	Original	קטגוריות: | .1 ספרים | .2 פלשתינה | .3 ארגונים | .4 תמונות | .5 פרסומים | .6 הגירה | .7 הרייך השלישי			No Image	.1+2 ספר על פלשתינה הארץ ותושביה עם תמונות נוף				ראה תאור אוסף	29.01.2003	6 מתוך 14	נילי דוידסון				"אוה וייס ז""ל ,טבעון"		114,115
G-F-0009-6	G.F. 0009 / 6	לוקס & וייס & מבשן				יומן +פרוזה		מקור	Original	"קטגוריות: | .1 כתיבה אישית | .2 מלח""ע I | .3 מחנות מעצר"			No Image	.1+2 יומן שכתב רנה וייס ב 1914-במחנה נתינים זרים					02.02.2003	7 מתוך 14	נילי דוידסון				"אוה וייס ז""ל ,טבעון"	בשנת 2004 במהלך שיפוצים במוזיאון נעלם התיק.	116,117
G-F-0009-7	G.F. 0009 / 7	לוקס & וייס & מבשן		קטלוג מכתבים רנה וייס אל הלה לוקס	Briefenkatalog Rene Weiss an Hella Lucas	קטלוג מכתבים		תרגום מתומצת לעברית והדפסה	Summerization to hebrew and printing	"גב' תמר זגר קראה עשרות מכתבים שכתב רנה אל הלה - | מתוכם תרגמה בתמצות את החשובים מבין המכתבים, | דהיינו מכתבים שיש בהם מסר או ודאות לתקופה מבחינה | רגשית ,דתית ,פילוסופית ,חברתית ,היסטורית וכד'. | התמצות נעשה בעברית ,נערך ע""י נילי דוידסון ,הודפס | בחלקו ע""י הנכד בן ה 17-של תמר ,והיתר ע""י נילי דוידסון. | מלבד התמצות בעברית יש הכוונה למכתב עצמו | באמצעות מספר המכתב או תאריך המכתב .חלק | מהמכתבים הודפסו בשלמותם כבמקור  -בשפה | הגרמנית  -ראה הערות בקטלוג עצמו."		1920 ; 1911-1918	No Image	הקטלוג מכיל מכתבים שכתב רנה אל הלה בשנים -1911				התכתבות	02.02.2003	8 מתוך 14	נילי דוידסון					בשנת 2004 במהלך שיפוצים במוזיאון נעלם התיק.	118,119
G-F-0009-8	G.F. 0009 / 8	לוקס & וייס & מבשן				קטלוג מכתבים		תרגום מתומצת לעברית והדפסה	Summerization to hebrew and printing	"גב' תמר זגר קראה עשרות מכתבים שכתבה הלה אל | רנה  -מתוכם תרגמה בתמצות לעברית את החשובים מבין | המכתבים ,דהיינו מכתבים שיש בהם מסר או ודאות | לתקופה מבחינה רגשית ,דתית ,פילוסופית ,חברתית, | היסטורית וכד' .התמצות נעשה בעברית, | נערך ע""י נילי דוידסון הודפס בחלקו ע""י הנכד | בן ה 17-של תמר ,והיתר ע""י נילי דוידסון. | מלבד התמצות בעברית יש הכוונה למכתב עצמו | באמצעות מספר המכתב או תאריך המכתב .חלק | מהמכתבים הודפסו בשלמותם כבמקור  -בשפה | הגרמנית  -ראה הערות בקטלוג עצמו."		1920-1921 ; 1911-1918	No Image	הקטלוג מכיל מכתבים שכתבה הלה אל רנה בשנים				התכתבות	02.02.2003	9 מתוך 14	נילי דוידסון					בשנת 2004 במהלך שיפוצים במוזיאון נעלם התיק.	120,121
G-F-0009-9	G.F. 0009 / 9	לוקס & וייס & מבשן						הדפסת מקור	Printing of Original	"מכתבים שהלה כתבה לרנה | חלק קטן ממכתביה הודפס בשפה הגרמנית תוך נאמנות | למקור .מילים מעטות לא פוענחו ,בהדפסה סומן המקום | בנקודות. | פענוח המכתבים והדפסתם נעשה ע""י קרלה וולף ונילי | דוידסון. | קטגוריות: | .1 התכתבות"			No Image	.1 מספר קטעים נבחרים מתוך מכתביה של הלה מובאים				התכתבות	04.02.2003	10 מתוך 14	נילי דוידסון					בשנת 2004 במבלך שיפוצים במוזיאון נעלם התיק.	122,123
G-F-0010	G.F.0010	סימון ארנסט	Simon Ernst			חוברות ,ספר		מקור	Original	"סימון ארנסט 1899-1988 | ארנס סימון יליד ברלין .מורה ,מחנך ,מרצה לפילוסופיה | ותולדות החינוך .עורך עיתון ""היהודי""  ,Der Judeברלין. | ציוני ,חתן פרס ישראל ,מחבר ספרים. | קטגוריות: | .1 פרסומים | .2 ספרים | .3 חינוך | .4 הרייך השלישי | .5 קהילה"			No Image	.1+5 חוברת קטנה שכתב ארנס סימון בגרמנית:					16.02.2003	1 מתוך 1	דוידסון נילי		אין		אוסף ישראל שילוני		35,36
G-F-0011	G.F.0011	סוסקין זליג אויגן	Soskin Selig Eugen			ספרים,פרסומים				"הקים את החברה ל""התיישבות, אגרונום,ד""ר סוסקין | .קטנה"" שבמסגרתה הוקמה גם נהריה | :קטגוריות | התיישבות.1 | חקלאות.2 | אדריכלות נוף.3 | השקיה.4 | פלסתינה.5 | נהריה.6"			No Image	":פרסומים של ד""ר סוסקין"				התיישבות ,פלסתינה	16.02.2003	1 מתוך 1	נילי דוידסון		אין		אוסף ישראל שילוני +פרופ' רות אניס		37,38
G-F-0012-1	G.F. 0012 / 1	פינק & רוזנשטיין & ברג						מקור	Original	חומר מעיזבון משפ .פינק Finkמשפ .ברג Bergומשפ. | רוזנשטיין . Rosenstein | התורמת גב' ליזלוטה  Liselotteפינק לבית רוזנשטיין. | לתולדות המשפחה: | ברוך פינק יליד  1808 נשא לאשה את בריינדה לבית כץ | ילידת .1819 | בנם סלומון פינק יליד  1845 נשא לאשה את רוזה לבית | היילברון ילידת .1847 | בנם הרמן פינק יליד  1875 נשא לאשה את פלורה לבית | ברג .נולדו להם  3 ילדים :מרגרט ,היינץ ופאול. | פאול היה בעלה של התורמת  -ליזלוטה פינק. | נתן רוזנשטיין נשא לאשה את יוהנה לבית לובנשטיין. | בנם עמנואל רוזנשטיין  1869-1942 נשא לאשה את | גולדינה )גלה( לבית רוזנשטיין. | בנם הוגו נתן רוזנשטיין יליד  1891 נשא לאשה את אלה | לבית מאייר. | התורמת ,ליזלוטה פינק היא בתם. | קטגוריות: | .1 המאה ה 19- | .2 המאה ה 20- | .3 תולדות משפחה | .4 משפחה | .5 תעודות אישיות | .6 מנהגים | .7 קהילה | .8 צבא			The file: {T:\backup\Tchelet_data\Rachel\GF0012 1.JPG} is missing	-משנת 1874 מסמך מאשווגה Eschwegeשמפרט את					17.02.2003	1 מתוך 3	נילי דוידסון		אין		ליזלוטה פינק ,נהריה	"מרבית המסמכים הנ""ל כתובים ביד בגרמנית גותית -את עבודת הפיענוח עשתה גב' קרלה וולף -נהריה. | בתיק  G.F. 0012 /3 ראה דוגמא לכתיבה גרמנית באותיות עבריות"	39,40,41,42
G-F-0012-2	G.F. 0012 / 2	פינק & רוזנשטיין & ברג						מקור	Original	קטגוריות: | .1 צבא | .2 הגירה | .3 קהילה | .4 רפואה | .5 מנהגים | .6 הרייך השלישי | .7 מחנות מעצר			The file: {T:\backup\Tchelet_data\Rachel\GF0012 2.JPG} is missing	-משנת 1866 תעודה לסלומון פינק על שרות צבאי					17.02.2003	2 מתוך 3	נילי דוידסון		אין		גב' ליזלוטה פינק ,נהריה	"לנושא ""רכישת ממלא מקום לשרות צבאי"" יש סימוכין גם בתיק הארכיון ""קרמר ,הס"" | תיק .G.F.0015"	145,146,147
G-F-0012-3	G.F. 0012 / 3	פינק & רוזנשטיין & ברג						מקור	Original	קטגוריות: | .1 פריטים | .2 מנהגים | .3 חגים | .4 מסורת	"80X80 ס""מ"	לא ידוע	The file: {T:\backup\Tchelet_data\Rachel\GF0012 3.JPG} is missing	ציפת כרית לפסח עם רקמת תמונה של מסובים בליל				פריטים	18.02.2003	3 מתוך 3	נילי דוידסון		אין		פינק ליזלוטה ,נהריה	בכרטיס זה ראה צילום קטע מרשימת המתנות ונותניהם לחתונתם של סלומון ורוזה.	148,149
G-F-0013	G.F.0013	פופר פלורה	Popper Flora					מקור ותרגום מתומצת לעברית	Original and Summarization to Hebrew	"פלורה פופר Flora Popperלבית גלזר Glaser | 1866-1917 נולדה בזאץ  Zaazבוהמיה .פלורה ניהלה | ביחד עם בעלה חוה חקלאית לגידולי לתת  -הצמח ממנו | עושים בירה. | בימי פלורה חיו בעירה  12000 תושבים מתוכם  900 יהודים. | העיזבון כולל ברובו פריטים אלגנטים שמצביעים על | המעמד החברתי הבורגני של המשפחה .פלורה המשכילה | הרבתה לכתוב שירים ומחשבות על נושאים שהעסיקו | אותה. | מר פופר קרוב משפחה של פלורה העביר את העיזבון | למוזיאון .סיפר שהחומר הועבר לארה""ב ע""י הבת ובסוף | הגיע לישראל. | חלק מהעיזבון מוצג באולם התצוגות של המוזיאון. | קטגוריות: | .1 פריטים | .2 שירה | .3 כתיבה אישית  /חברתית | .4 חקלאות"			The file: {T:\backup\Tchelet_data\Rachel\GF0013.jpg} is missing	הפריטים שמוצגים באולם המוזיאון:	בוהמיה			פריטים	20.02.2003	1 מתוך 1	נילי דוידסון		2002.209		ריכרד ומגדה פופר ,חולון	לתרומת העיזבון ב 1996-אין רישום ארכיוני ב 2001-נתרמו ספרים ,ב 2002-נתרמו פריטים ראה מס .תרומה.	43,44
G-F-0014	G.F.0014	קרמניצר & קלישר & קליש & ארליך				חוברות		מקור	Original	קטגוריות: | .1 תולדות משפחה | .2 פרסומים | .3 מדעים			The file: {T:\backup\Tchelet_data\Rachel\GF0014.jpg} is missing	"2 חוברות מ 1936-ל""חקר משפחות יהודיות"" Jüdische"					20.02.2003	1 מתוך 1	נילי דוידסון		אין		אוסף ישראל שילוני	"חוברות לחקר משפחות יהודיות בתיק ד""ר דרייפוס תיק מסG.F.0071 ."	150,151
