accession_id	accession_raw	artist	artist_en	work_title	work_title_en	item_type	item_type_en	technique	technique_en	description	dimensions	years	subject_narrow	subject_broad	origin	origin_en	bio_chrono	category	location	condition	registrar	insurance_value	donation_no	acquisition_date	donor	notes	source_pages
G-F-0015-11	G.F. 0015 / 11	קרמר & הס		תולדות משפחה -אילן יוחסין		כרטיסיות		מקור	Original	כרטיסיות לאסוף נתונים על בני משפחה עליהם רשמה | ג'ני קרמר את תוצאות מחקריה.			No Image	איסוף הנתונים על גבי הכרטיסיות:	גרמניה			תולדות משפחה	26.02.2003	11 מתוך 17	נילי דוידסון		2001.103		טובית וחנן שמשון ,נהריה		69,70
G-F-0015-17	G.F. 0015 / 17	קרמר & הס		חקר לתולדות המשפחה				מקור	Original	מרבית החומר הוא התכתבות של ג'ני קרמר עם בני | המשפחה לקבלת מידע עבור המחקר שהיא עושה : | תולדות המשפחה. | קטגוריות: | .1 התכתבות | .2 תולדות המשפחה | .3 תמונות | .4 מוזיקה | .5 פלסתינה | .6 אירגונים | .7 קהילה | .8 חגים | .9 מסורת | .10 מנהגים | .11 שירה			No Image	-משנת 1927 בעקבות החיפושים אחרי קרובי משפחה					02.03.2003	17 מתוך 17	נילי דוידסון		2001.103		טובית וחנן שמשון ,נהריה		81,82,83,84
G-F-0017-1	G.F. 0017 / 1	קלנבך סימון	Kallenbach Simon					מקור	Original	"סימון קלנבך Simon Kallenbachיליד ,1876 רוס ,Russ | רופא .נשא לאישה את טקלה לבית הרמר | Thekla Hermerילידת  1897 בפולנגן  .Polangenנשאו ב- | 1927 בממל .Memel | ברייך השלישי המשפחה הגרה לאנגליה. | קטגוריות: | .1 משפחה | .2 רפואה | .3 צבא | .4 מלח""ע I | .5 הרייך השלישי | .6 אנטישמיות | .7 אירגונים | .8 פוליטיקה | .9 משפט | .10 פרסומים | .11 כתיבה אישית  /חברתית | .12 ציונות | .13 הגירה | .14 התכתבות | .15 מעטפות דואר"			The file: {T:\backup\Tchelet_data\Rachel\GF0017 1.JPG} is missing	-ספר משפחה Familienbuch	גרמניה ,לטביה ,אנגליה				06.03.2003	1 מתוך 2	נילי דוידסון		אין		אוסף ישראל שילוני	תיק ארכיון מס , G.F.0153 .הרמן קלנבך | Hermann Kallenbachאחיו של סימון קלנבך שנפטר ביוהנסבורג	87,88,89,90,91,92
G-F-0022-10	G.F. 0022 / 10	וייל & פרנק & רוזנצוייג		אוסף גבי שריג				העתק	Copy	גבי שריג )רוזנצוייג( ,כתב ואסף חומרים על בד קרויצנך | ועל תולדות משפחת רעייתו אולי )אורזולה( .החומר מסודר | בקלסר  -הושאר כפי שגבי שריג הכינו. | קטגוריות: | .1 קהילה *הקהילה היהודית בבד קרויצנך			No Image						ב 21.12.2010-	10 מתוך 13	נילי דוידסון		2003.256 2003.255		אולי וגבי שריג ,רח' הגפן ,54 מושב נורדיה 42954		247,248
G-F-0022-13	G.F. 0022 / 13	וייל & פרנק & רוזנצוייג		ספר לזכרו של מקס רוזנצוייג						"גבי שריג הוציא ,הוצאה פרטית ,ב 2003-את הנוסח הסופי | לספר שכתב לזכר אביו ""לויטננט ד""ר מקס רוזנצוייג"", | מל""ע  .Iגבי שריג היה גם הוא איש צבא ,סא""ל לשעבר. | קטגוריות: | .1 ביוגרפיה | .2 מלח""ע I | .3 צבא"			No Image	"בספר מתחכה גבי אחרי שרותו הצבאי של אביו במלח""ע"					נרשם ב 22.12.2010-	כרטיס 13 מתוך 13	נילי דוידסון		2003.255 2003.256		אולי וגבי שריג ,רח'הגפן ,54 מושב נורדיה 42954		6870,6871
G-F-0022-2	G.F. 0022 / 2	וייל & פרנק & רוזנצוייג						מקור ,העתק	Original, Copy	"החומר בתיק זה מתפרס על השנים 1859-1946 | קטגוריות: | .1 תעודות אישיות | .2 מלח""ע I | .3 מנהגים | .4 חינוך | .5 הרייך השלישי | .6 משפחה | .7 מסחר | .8 משפט | .9 התכתבות | .10 פלסטינה | .11 פעילות פוליטית | .12 אומנות"			The file: {T:\backup\Tchelet_data\Rachel\GF0022 2.JPG} is missing	.1 כתובה של ארנסט וייל וליזבט לבית פרנק.						2 מתוך 13			2003.256 2003.255	1998 2003	אולי וגבי שריג ,רח'הגפן ,54 מושב נורדיה 42954	"התעודה "" ""Gold gab ich fuEr Eisenמוצגת בתצוגת המוזיאון. | הברכה לראש השנה צוצגת בתצוגת המוזיאון."	104,105,106,107
G-F-0022-7	G.F. 0022 / 7	וייל & פרנק & רוזנצוייג		עבודת שורשים				העתק	Copy	משפחת שריג עושה טיול שורשים ב 1996-לברלין ובאד | קרויצברג ומסכמת בכתיבה ,עברית .משולבים צילומי | תעודות מסמכים ואילן יוחסין. | קטגוריות: | .1 תולדות משפחה | .2 ביוגרפיה			No Image	טיול השרשים נעשה בעקבות משפחת וייל ורוזנצווייג.					נרשם ב 19.12.2010-	7 מתוך 13	נילי דוידסון		2003.256 2003.255		אולי וגבי שריג ,רח' הגפן ,54 מושב נורדיה 42954		240,241
G-F-0022-9	G.F. 0022 / 9	וייל & פרנק & רוזנצוייג		אוסף גבי שריג				העתק	Copy	גבי שריג )רוזנצוייג( ,כתב ואסף חומרים על בד קרויצנך | ועל תולדות משפחת רעייתו אולי )אורזולה( .החומר מסודר | בקלסר  -הושאר כפי שגבי שריג הכינו. | קטגוריות: | .1 קורות משפחה | .2 קהילה *בתי קברות יהודים באיזור בד קרוצנך			No Image						נרשם ב 19.12.2010-	9 מתוך 13	נילי דוידסון		2003.256 2003.255		אולי וגבי שריג ,רח' הגפן ,54 מושב נורדיה 42954		245,246
G-F-0027	G.F.0027	טנה דוד											No Image										אין		הבת ,חגית חובב ,ירושלים		210
G-F-0030	G.F.0030	מאייר אנדריאס	Meyer Andreas										No Image										2007.476 & 2001.120		מאייר אנדריאס ,כפר-ורדים		230
G-F-0037	G.F.0037	מילה אריקה	Milee Erika										No Image										אין		בן משפחה ,ראלף מיכלסון ,גן-יבנה		219
G-F-0043	G.F.0043	שטרנברג הרי	Sternberg Harry										No Image										אין		אוסף ישראל שילוני		226
G-F-0044	G.F.0044	לופט גרדה	Luft Gerda										No Image										אין		"הבת ,ד""ר איה יערי ,הר הדר"		227
G-F-0046-1	G.F. 0046 / 1	קורץ יהושע )אושי(	)Kurz Oschi (Oskar					מקור	Original	"אושי קורץ יליד ויזניץ Wisnitzרומניה ,1905 ,לא ברור | מתי עבר לברלין. | עלה לארץ בשנת  .1933 היה ספורטאי ,מורה לחינוך גופני. | מהמכתבים ניתן להבין שלאושי היתה חנות לספורט | בחיפה. | ב 1940-נשא לאישה את גיטה לבית אמסטר בתל אביב. | בעת נישואי אושי היתה אמו רוזה/שושנה נשואה בשנית | אחרי שהתאלמנה ב 1935-ושמה החדש אדלסברג. | )המידע מההזמנה לחתונה של אושי(. | בעיזבון מכתבים אל אושי בגרמנית מחבריו הספורטאים | בגרמניה ,התכתבות רשמית עם מוסדות ואירגוני ספורט | בארץ ,תעודות אישיות ועיתוני ספורט. | קטגוריות: | .1 התכתבות | .2 חינוך  /חינוך גופני | .3 ספורט | .4 הגירה | .5 פלשתינה *במכתבים נשאלות הרבה שאלות על | האפשרויות בפלשתינה ,פרנסה ,דיור וכו'. | .6 עזרה הדדית *מכתבו של קורט לוין | .7 מנהגים *מכתבי ניחומים | .8 תעודות אישיות | .9 תמונות *בנות מכב""י בתחרות ריצה"			No Image	"-מכתב באנגלית ממטכ""ל הכוחות הבריטים אל מזכיר"					נרשם ב 05.05.2009 & 04.05.2009-	כרטיס 1 מתוך 2	נילי דוידסון				רותי אופק אספה את העזבון מהבן ,חיפה		863,864,865,866,867,868
G-F-0046-2	G.F. 0046 / 2	קורץ יהושע )אושי(	)Kurz Oschi (Oskar	פירסומים & מכתבים						קטגוריות: | .1 ארץ ישראל | .2 ספורט		"4 -עיתונים ""ידיעות בר כוכבא-הכח"""	No Image	"-חוברת בעברית"" :מורה -דרך ,המכביה השניה"",1935 ,"					נרשם ב 10.05.2009-	כרטיס 2 מתוך 2	נילי דוידסון					"לעזבון זה שייך גם הספר ""בר כוכבא -מכב""י גרמניה 1898-1938 מאת ד""ר רוברט אטלס .הספר מצוי בספריית המוזיאון במדור :חינוך נוער וספורט 'A' /"	5827,5828
G-F-0047-15	G.F. 0047 / 15	לנדסברג אלפרד אברהם & לאוני		צילומי מכתבים בלתי מזוהים				העתק	Copy				No Image						נרשם ב 12.11.2007-	כרטיס 16 מתוך	נילי דוידסון		2001.117 & 1999		אמנון פלץ) ,הנכד( ,רמת השרון		4569
G-F-0047-19	G.F. 0047 / 19	לנדסברג אלפרד אברהם & לאוני		לנושא קורות החיים של אלפרד ולאוני לנדסברג				מקור ,העתק	Original, Copy	קטגוריות: | .1 ביוגרפיה | .2 הנצחה *ראיון עם חוה פלץ | .3 ציונות *החיבור של פריץ ברגר | .4 תעודות אישיות | .5			No Image	-קורות חיים ,אלפרד לנדסברג ,עברית בהדפסה ,נכתב					נרשם ב 20 / 21.05.2009-	כרטיס 20 מתוך	נילי דוידסון		2001.117 & 1999		אמנון פלץ) ,הנכד( ,רמת השרון		5872,5873,5874
G-F-0047-33	G.F. 0047 / 33	לנדסברג אלפרד אברהם & לאוני		מכתבים ,נאומים ,תזות ,בנושא הערבי ,בגרמנית						"קטגוריות: | .1 מלח""ע * Iאכזבת החיילים היהודים | .2 פוליטיקה & חברה *נציונאליזמוס & סוציאליזמוס - | ראה עוד | .3 פילוסופיה & ציונות *קונפליקט היהודי המשוחרר - | ראה עוד | .4 היסטוריה יהודית *ספר בראשית | .5 אנטישמיות | .6 פרסומים *הועד הגרמני למען פלשתינה | .7 התיישבות *מכתבו של וילהלם הקר ועוד. | .8 הנושא הערבי"			No Image	-טיוטת נאום של אלפרד לנדסברג לקהל יהודי בתקופה					נרשם ב 20.01.2010-	כרטיס 34 מתוך	נילי דוידסון		2001.117 & 1999		אמנון פלץ) ,הנכד( ,רמת השרון		6329,6330,6331,6332
G-F-0047-34	G.F. 0047 / 34	לנדסברג אלפרד אברהם & לאוני		יישוב ארץ ישראל -מאמרים ,חיבורים ,בעברית				מקור ,העתק	Original, Copy	קטגוריות: | .1 התישבות *הקמת  11 נקודות בנגב, | * מאמרים ומכתבים של לנדסברג לנושא ההתיישבות			No Image	""" -לעסקנינו"" ידיעות הועד הארצי לקרן היסוד מדווח"					נרשם ב 07.02.2010 & 31.01.2010-	כרטיס 35 מתוך	נילי דוידסון		2001.117 & 1999		אמנון פלץ) ,הנכד( ,רמת השרון		6373,6374,6375,6376
G-F-0047-35	G.F. 0047 / 35	לנדסברג אלפרד אברהם & לאוני		"מפלגת ""עליה חדשה"" מאמרים ,חיבורים ,נאומים / עברית"				מקור ,העתק	Original, Copy	"קטגוריות: | .1 פוליטיקה *מפלגות הציונים הכלליים | .2 משפט | .3 אירגונים *בני ברית | .4 פוליטיקה *מפלגת ""עליה חדשה"" | .5 הנושא הערבי *ראה נאום לנדסברג בועידת ""עליה | חדשה"". | .6 פלשתינה *מאמרי/חיבורי בקורת על התנהגות | המוסדות | .7 ישראל *מאמרי/חיבורי בקורת על התנהגות המוסדות | .8 ציונות | .9 חינוך *ליגה למען בית ספר כללי"			No Image	"-רישום של ד""ר לנדסברג :כל בני אדם שווים לפי טבעם"					נרשם ב 07.02.2010-	כרטיס 36 מתוך	נילי דוידסון		2001.117 & 1999		אמנון פלץ) ,הנכד( ,רמת השרון	החומר בתיק כתוב עברית במקור	6383,6384,6385
G-F-0047-36	G.F. 0047 / 36	לנדסברג אלפרד אברהם & לאוני		גרמנית & עברית חיבורים ,מאמרים ,נאומים						קטגוריות: | .1 ציונות | .2 ארגונים *ארגון יהודי גרמניה | .3 מפלגות *העליה החדשה | .4 פרסומים *חוברת עם נאומיו של חיים ויצמן | .5 אנטישמיות *מאמר :הציונות והתנועה האנטישמית | בגרמניה			No Image	"-חוברת עם דיוקנו של ד""ר חיים ויצמן ,שמכילה את"					נרשם ב 14.03.2010 & 11.03-	כרטיס 37 מתוך	נילי דוידסון		2001.117 & 1999		אמנון פלץ) ,הנכד( ,רמת השרון		6386,6387,6388,6389
G-F-0047-40	G.F. 0047 / 40	לנדסברג אלפרד אברהם & לאוני		האגודה לתקנת המידות במשא ומתן & חוק אדמות מירי						"ד""ר אלפרד לנדסברג יזם ויסד ב 1942-את האגודה | לתקנת המידות במשא ומתן. | קטגוריות: | .1 משפט * האגודה לתקנת מידות במשא ומתן | .2 כלכלה * האגודה לתקנת מידות במשא ומתן"	-פרוטוקול מקוצר בהקשר עם אגודה לתקנת		No Image	"-חוזרים לנושא ""אגודה לתקנת המידות במשא ומתן"""					נרשם ב 24.11.2010-	כרטיס 40 מתוך	נילי דוידסון		2001.117 & 1999		אמנון פלץ) ,הנכד( ,רמת השרון		6855,6856,6857
G-F-0047-42	G.F. 0047 / 42	לנדסברג אלפרד אברהם & לאוני		בתכתבות לאוני לנדסברג-פרנק				מקור ,העתק ,הדפסה ,תרגום מתומצת לעברית	Original, Copy, Printing, Summarization to Hebrew	קטגוריות: | .1 ארגונים *פעילותה של לאוני באיגוד הנשים היהודיות | בגרמניה | .2 ציונות *פעילות במסגרת איגוד הנשים | .3 הכשרה *במסגרת איגוד הנשים | .4 התכתבות | .5 גלויות | .6 הגירה *מכתב אלפרד לנדסברג אל אביו | .7 פלשתינה *מכתב יעקב בן יצחק ,רכישת פרות בהולנד | .8 משפחה *גירושין והתוצאות ,מתוך מכתבי לאוני | לנדסברג.			No Image	-מחברת עם עותקי מכתבים שכתבה לאוני לנדסברג					נרשם ב 29.12.2010-		נילי דוידסון		2001.117 & 1999		אמנון פלץ) ,הנכד( ,רמת השרון		6863,6864,6865,6866
G-F-0047-47	G.F. 0047 / 47	לנדסברג אלפרד אברהם & לאוני		פירסומים עיתונים				מקור	Original	קטגוריות: | .1 עיתונות			No Image	קטעי עיתונים בגרמנית משנות ה ; 40-ה ; 50-ה ; 60-ה-					נרשם ב 10.01.2011-	כרטיס 47 מתוך	נילי דוידסון		2001.117 & 1999		אמנון פלץ) ,הנכד( ,רמת השרון		6887,6888
G-F-0067	G.F.0067	מור אברהם	Muhr Abraham										No Image														891
G-F-0068	G.F.0068	דינקלשפיל	Dinkelspiel										No Image														892
G-F-0072	G.F.0072	יעקבזון מוריץ	Jacobsohn Moritz										No Image														896
G-F-0075	G.F.0075	אופנהיים	Oppenheim										No Image														899
G-F-0078	G.F.0078	שליט	Schalit										No Image														903
G-F-0086	G.F.0086	לקס	Lax										No Image														910
G-F-0088	G.F.0088	שטיל ארנסט	Stiel Ernst										No Image														912
G-F-0093	G.F.0093	ברנקופף & כצנשטיין											No Image										2000.015		יעל ארנולד-ברן ,הבת ,גרמניה	"ד""ר ברנקופף -רופא ד""ר כצנשטיין -רופא"	917
G-F-0095	G.F.0095	שוהם רות	Shoham Ruth										No Image														919,920
G-F-0104-14	G.F. 0104 / 14	קלוורי הדסה & משה & גדעון		מכתבים הדסה אל משה קלוורי				מקור	Original	קטגוריות: | .1 מכתבים | .2 משפחה *יחס וחינוך לילד			No Image	המכתבים כתובים גרמנית ,כתב יד.					נרשם ב 01.02.2012-	כרטיס 14 מתוך 16	נילי דוידסון		2011.692 & 2001.134		גדעון קלוורי ב 2001-ותומר & רותי קלוורי ,הבן של גדעון,	הנושא המורחב צורף לתיק	7161,7162,7163,7164
G-F-0104-16	G.F. 0104 / 16	אסתר קלוורי	Esther Calvary	זכרונות ילדות & עבודה סמינריונית				העתק	Copy	"אסתר קלוורי ,בתם של הרב ד""ר עזריאל הילדסהיימר | ורעייתו אסתר )הנרייטה  /יטכן( לבית הירש )יוסף הירש | ממסינגוורק היה אביה( ,התחתנה עם דוד קלוורי וחיה | במסינגוורק. | מרים פלג לבית נתן היא הנינה של אסתר קלוורי. | פירוט אילן היוחסין מאסתר קלוורי עד מרים פלג: | * ברטה קלוורי ,אחותו של משה קלוורי ,בתה הצעירה של | אסתר קלוורי .אחרי נישואיה ,ברטה גבריאל. | * רות גבריאל ,הבת של ברטה גבריאל לבית קלוורי .אחרי | נישואיה :רות נתן )היום  ,2011 בת .(90 | * מרים נתן ,הבת של רות נתן לבית גבריאל .אחרי | נישואיה מרים פלג  -מפקידת החומר. | קטגוריות: | .1 תולדות משפחה | .2 המאה ה 19- | .3 תעשיה | .4 יהדות | .5 מנהגים | .6 חינוך | .7 ביוגרפיה"			No Image	"מידע שנמסר ע""י מרים פלג:"					נרשם באוגוסט 2011	כרטיס 16 מתוך 16	נילי דוידסון		2011.704		מרים פלג ,הנינה ,נהריה	הנושא המורחב צורף לתיק	7037,7038
