accession_id	accession_raw	artist	artist_en	work_title	work_title_en	technique	technique_en	description	item_type	item_type_en	dimensions	years	subject_narrow	subject_broad	origin	origin_en	bio_chrono	category	location	condition	registrar	insurance_value	donation_no	acquisition_date	donor	notes	source_pages
E-B-0026	E.B.0026	קונה ג'ון פ.	Cone John f.		Oscar Hammerstein's Manhattan Opera Company						399	1966	No Image		University of Oklahoma Press Norman			מוזיקה	מוזיקה C /		נילי דוידסון						1389
E-B-0027	E.B.0027	כאהן ויליאם	Cahn William		Einstein / A pictorial Biography						126	1955	No Image		Citadel Press Verlag ,New York			ביוגרפיות	ביוגרפיות C /		נילי דוידסון						1399
E-B-0028	E.B.0028	דויטש הלנה	Deutsch Helene		The Psychology of Woman II, A Psychoanalytic						439	1947	No Image		Reearch Books ,London Verlag			פסיכולוגיה	פסיכולוגיה D /		מרים פולין )מתוך קטלוג גדעון בוטש(						1437
E-B-0029	E.B.0029	דויטש הלנה	Deutsch Helene		The Psychology of Woman I, A Psychoanalytic						312	1947	No Image		Research Books ,London Verlag			פסיכולוגיה	פסיכולוגיה D /		מרים פולין )מתוך קטלוג גדעון בוטש(						1438
E-B-0030	E.B.0030	אשכלות זאב	Eshkolot Zeew		The Eskeles Genialogy			כרונולוגיה משפחתית			272	1995	No Image		Haifa ,Israel			ביוגרפיות	ביוגרפיות E /		נילי דוידסון						1511
E-B-0031	E.B.0031	אלרן הרמן	Ellern Hermann		Herzl, Hechler, The grand Duke of Baden and the			Ellern hermann & Bessi			103	1961	No Image		Tel-Aviv ,Israel			ציונות	ציונות E /		נילי דוידסון					הספר האנגלית ובעברית	1518
E-B-0032	E.B.0032	אילון עמוס	Elon Amos		The pity of it all			A Portrait of the German-jewish Epoch 1743-1933			446	2002	No Image		Metropolitan Books ,Henry Holt and Company ,New-Yo			היסטוריה יהודית	היסטוריה יהודית E /		נילי דוידסון				באטה אברמוב-דוידסון ,נהריה		1519
E-B-0033	E.B.0033	ארל שלמה	Erel Shlomo		The Diary of a Kibbutz Secretary						104	1979	No Image		Kernerman Publishing			ארץ ישראל	ארץ ישראל E /		נילי דוידסון						1522
E-B-0034	E.B.0034	אליאך יפה	Eliach Yaffa		We were children just like you			Edited by: Eliach Yaffa			122	1990	No Image		Center for Holocaust Studies			שואה	שואה E /		נילי דוידסון						1532
E-B-0035	E.B.0035	אליאך יפה	Eliach Yaffa		There once was a World						818	1998	No Image		Little Brown and Comp. ,Canada			שואה	שןאה E /		נילי דוידסון						1533
E-B-0036	E.B.0036	פרנקל ה .אלכסנדר	Fraenkel H. Alexander		Samuel Mendelssohn a man who must not be forhotten			בספר מסמכים ומכתבים			59	1995	No Image		By H .Alexander Fraenkel ,New York			ביוגרפיות	ביוגרפיותF /		נילי דוידסון						1593
E-B-0037	E.B.0037	פרוינד איזמר	Freund Ismar		Palestina befor the worlds forum						68	1946	No Image		Rubin Mass Verlag ,Jerusalem			ציונות	ציונות F /		נילי דוידסון		2000.032		"ד""ר אלי פרוינד ,בת-ים"	לספר  2 עותקים בספריה	1597
E-B-0038	E.B.0038	פרנקנשטיין קרל	Frankenstein Karl		Between Past and Future / Essays and studies on			edition: The Henriette Szold Fondation for Child and | Youth Welfare, Jerusalem			335	1953	No Image		ראה בתיאור היצירה			חברה	חברה F /		נילי דוידסון						1615
E-B-0039	E.B.0039	פויכטונגר ליאון	Feuchtwanger Lion		The day will come - The 3rd volum of the Josephus			Edition: Hutchinson & Co.(Publisher) Ltd., London, New | York, Melbourne			256	?	No Image		ראה בתיאור היצירה			פרוזה	פרוזה F /		נילי דוידסון						1616
E-B-0040	E.B.0040	פלזנטל אמה	Felsenthal Emma		Bernhard Felsenthal - Teacher in Israel			Selections from his writings with biographical sketch and | bibliography by his daughter			362	1924	No Image		Oxford University Press ,New York			ביוגרפיות	ביוגרפיות F /		נילי דוידסון					בספר תמונה של ברנהרד פלזנטל	1626
E-B-0041	E.B.0041	פרנקל יוסף	Fraenkel Josef		The Jews of Austria / Essays on their life, history and						584	1967	No Image		Vallentine &Mitchell ,London			קהילות	קהילות O /		נילי דוידסון					לספר עותק נוסף משנת 1970	1634
E-B-0042	E.B.0042	פרנק אברהם	Frank Abraham		The Eschenheimer and Nachmann Families / Biographies			Frank Abraham & Buck Gerhard			?	2002	No Image		?			ביוגרפיות	ביוגרפיות F /		נילי דוידסון		2004.300		אברהם פרנק ,ירושלים		1635
E-B-0043	E.B.0043	פרנק אברהם	Frank Abraham		The Srier Family of Zwesten Hessen, Germany /			Frank Abraham & Dr. Schneider Alfred			?	2002	No Image		?			ביוגרפיות	ביוגרפיות F /		נילי דוידסון		2004.300		אברהם פרנק ,ירושלים		1636
E-B-0044	E.B.0044	פקנהיים אמיל א.	Fackenheim Emil E.		Hermann Cohen - after fifty years						27	1969	No Image		New York Verlag			מדעי היהדות	מדעי היהדות F /		מרים פולין )מתוך קטלוג גדעון בוטש(						1658
E-B-0045	E.B.0045	גרונוולד קורט	Grunwald Kurt					Israel program for scientific translations, Jerusalem, israel			139	1966	No Image		"ראה ב""תיאור היצירה"""			ביוגרפיות	ביוגרפיות G /		נילי דוידסון					"אקסליבריס :ד""ר צבי שילוני | Exlibris: Dr. Zwi Shiloni"	1841
E-B-0046	E.B.0046	גורני יוסף	Gorny Yosef		From Rosh Pina and Degania to Demona			A history of constractive zionism			112	1989	No Image		Mod Books ,Tel-Aviv			ציונות	ציונות G /		נילי דוידסון						1848
E-B-0047	E.B.0047	גרוס לאונרד	Gross Leonard		The last Jew in Berlin						349	1988	No Image		,Touchstone Verlag ,New York,London,Toronto,Sydney			קהילות	קהילות B /		מרים פולין )מתוך קטלוג גדעון בוטש(						1957
E-B-0048	E.B.0048	ליליין אפרים משה	Lilien Ephraim Mosche		Book Plates 1897-1907			35 העתקים של האקסליבריס שיצר א.מ .ליליין					No Image					אמנות	"אמנות ע""י ספרי התנך שליליין אייר"		נילי דוידסון					הועבר מרותי בדצמבר 2005	1971
E-B-0049	E.B.0049	בלר סטפן	Beller Steven								53	?	No Image		Austrian Federal Ministry for Foreign affairs			ציונות	ציונות B /		נילי דוידסון						2027
E-B-0050	E.B.0050	הרץ יוסף הרמן	Hertz Joseph Hermann		The Pentateuch and Haftorahs,			Hrsg.: Hertz Joseph Hermann | Hebrew Text, english Translation and Commentary			?	1938	No Image		Soncino Press ,London			ספרי קודש	ספרי קודש H /		מרים פולין )מתוך קטלוג גדעון בוטש(						2089
E-B-0051	E.B.0051				Some Early Herzl Letters						?	?	No Image		?			ציונות	ציונות  /הרצל		נילי דוידסון		2000.042		מיקי יונגמן ,הבן ,גילון	"אקסליבריס :ד""ר מקס יונגמן  /ראה תמונה | בG.B.0208- | הקדשה :לד""ר מקס יונגמן מאלכס ביין | Exlibris: Dr. Max Jungmann / siehe Abbildung in G.B.0208 | Widmung: An Dr. Max Jungmann von alex Bein"	2120
E-B-0052	E.B.0052	הרליץ גאורג	Herlitz Georg		Three Jewish Historians - Isaak Markus Jost - Heinrich						21	1964	No Image		Leo Baeck Institute ,London			חברה	חברה H /		רים פולין )מתוך קטלוג גדעון בוטש(					הקדשה :לארתור שטרן מאת המחבר | Widmung: An Arthur Stern Vom Verfasser	2152
E-B-0053	E.B.0053	האוזנר גדעון	Hausner Gideon		Justice in Jerusalem						528	1968	No Image		Schocken Books ,New York			חברה  /משפט	חברה H /		נילי דוידסון						2162
E-B-0054	E.B.0054	הזנקלוור מיכאל	Hasenclever Michael		E.M. Lilien - Imprints upon Palestine			קטלוג | Katalog				1998	No Image		Michael Hasenclever Galerie ,München			אמנות	אמנות H /		נילי דוידסון						2188
E-B-0055	E.B.0055	הירשפלד מגנוס	Hirschfeld Magnus					Dr. Magnus Hirschfeld			630	?	No Image		Francis Aldor Publishe ,London			פסיכולוגיה	פסיכולוגיה H /		נילי דוידסון						2196
E-B-0056	E.B.0056	הייזה פאול	Heyse Paul		L'Arrabbiata			with notes, vocabulary and material for conversational | exersises in German			86	1903	No Image		Heath &Co Verlag Boston			פרוזה	פרוזה H /		מרים פולין )מתוך קטלוג גדעון בוטש(						2224
E-B-0057	E.B.0057	הורוביץ דוד	Horowitz David		Economic Survey of Palestine.			With special Reference to the Years1936 and 1937 | Geschrieben von: Horowitz David & Hinden Rita			214	1938	No Image		Hapoel Hazair Verlag ,Tel-Aviv			ארץ ישראל	קרץ ישראלישראל H /		מרים פולין )מתוך קטלוג גדעון בוטש(						2283
E-B-0058	E.B.0058	היטנבך הנרי ר.			The Emigration Book of Worms			The Character and Dimensions of Jewish Exodus from a | small German Jewish Community 1933 - 1941			118	1974	No Image		Selbstverlag Rheinland -Pfalz ,Koblenz			קהילות	קהילות W /		מרים פולין )מתוך קטלוג גדעון בוטש(						2292
E-B-0059	E.B.0059	גינצבורג-הירקנוס דבורה	Ginzburg-Hyrkanos Dvora		Jerusalem War Diary						93	1950	No Image		Zionist Education Department ,ohne Verlag			יומנים ומכתבים	יומנים ומכתבים G /		מרים פולין )מתוך קטלוג גדעון בוטש(						2294
E-B-0060	E.B.0060	יאסטרוב יוסף	Jastrow Joseph		Freud - His Dream and Sex Theories						290	1932	No Image		Cardinal Edition ,New York			פסיכולוגיה	פסיכולוגיה J /		נילי דוידסון )מתוך קטלוג גדעון בוטש(						2325
E-B-0061	E.B.0061	יוסף טומי	Joseph Tommy		Why there were Jews in Nakuru - Their Story			ציונות באפריקה | תמונות | Zionismus in Africa | Abbildungen			60	1998	No Image		Published Privately by Tommy Joseph ,Haifa Israel			ציונות	ציונות J /		נילי דוידסון					תרומת גב' טומי יוסף	2353
E-B-0062	E.B.0062	קליין היימן מ.א.	Klein Hyman M.A.		The code of Maimonides - Book eleven - The Book of						299	1954	No Image		New Haven ,Yale University Press			מדעי היהדות	מדעי היהדות K /		נילי דוידסון						2378
E-B-0063	E.B.0063	קרקאואר תומס	Krakauer Thomas		Family Portrait			חקר המשפחות :גוטשלק ,מולינג ובנימין מעזבון משפחת | כצנשטיין-ברנקופף ) (G.F.0093 בספר בין היתר ישנן | תמונות של אלן והנס ברנקופף | History and genealogy of the Gottschalk, Molling and | Benjamin families from Hannover, Germany			205	1995	No Image		Durham NC			ביוגרפיות	ביוגרפיות K /		נילי דוידסון		2000.074		יעל ארנולד-ברן ,לבית ברנקופף ,גרמניה		2442
E-B-0064	E.B.0064	קליגור ר.	Kligour R.		The Bible throughout the World			A survey of scripture translations			208	1969	No Image		World Dominion Press ,London			מדעי היהדות	מדעי היהדות K /		נילי דוידסון )תוך קטלוג גדעון בוטש(						2505
E-B-0065	E.B.0065	קוסטלר ארתור	Koestler Arthur		Twilight Bar - An Escapade in four acts						75	1945	No Image		Jonathan Cape Verlag ,London			פרוזה  /דרמה	פרוזה K /		נילי דוידסון )תוך קטלוג גדעון בוטש(						2525
E-B-0066	E.B.0066	קון הנס	Kohn Hans					The Leo Baeck Memorial Lecture 2			24	1959	No Image		ohne Verlag New York			ביוגרפיה  /פרוזה  -היינריך היינה	ביוגפיה K /		מרים פולין )מתוך קטלוג גדעון בוטש(						2534
E-B-0067	E.B.0067	גרונוולד קורט	Grunwald Kurt		Studies in the History of the German Jews in Global			Hrsg.: Kurt Grunwald			163	1981	No Image		)Draft Manuskript(Jerusalem Verlag			חברה/כלכלה	חברה G /		מרים פולין )מתוך קטלוג גדעון בוטש(						1961
E-B-0068	E.B.0068	לובדרמילק ולטר קליי	Lowdermilk Walter Clay		Palestine land of promise			עם תמונות ומפות			165	1946	No Image		Victor Gollancz ,London			ארץ ישראל	ארץ ישראל L /		נילי דוידסון )תוך קטלוג גדעון בוטש(					לספר  2 עותקים בספריה	2564
E-B-0069	E.B.0069	לדרר בנו	Lederer Benno		A tale of three continents			תולדות משפחת לדרר			33	2000	No Image		Natanya			ביוגרפיות	ביוגרפיות L /		נילי דוידסון		2000.039		רות אלוף ,הבת ,תל אביב	"אקסליבריס :ד""ר ג'פרי לדרר | Exlibris: Dr. Jefry Lederer"	2588
E-B-0070	E.B.0070	ליליין אפרים משה	Lilien Ephraim Mosche		E.M. Lilien the first zionist artist			קטלוג לתערוכה שהיתה בתפן ב 1997- | הספר בעברית ובאנגלית | Letters, Illustrations, Etchings, Photographs			?	1997	No Image		The Open Museum Tefen			אמנות  /יומנים ומכתבים	אמנות L /		נילי דוידסון						2592
E-B-0071	E.B.0071	לפיטה פ.	Lafitte F.		The Interment of Aliens						256	1940	No Image		Penguin Verlag ,London			היסטוריה יהודית	היסטוריה יהודית L /		מרים פולין )תוך קטלוג גדעון בוטש(						2606
E-B-0072	E.B.0072	לוקסמבורג רוזה	Luxemburg Rosa		Rosa Luxemburg speaks						473	1970	No Image		A Merit Book ,Pfandfinder Press ,New York			חברה  /פוליטיקה	חברה L /		נילי דוידסון						2645
E-B-0073	E.B.0073	ליבנה אליעזר	Livneh Elieser		State and diaspora						92	1953	No Image		Youth and Hechalutz department of the Zionist Orga			חברה  /ציונות	חברה L /		נילי דוידסון						2649
E-B-0074	E.B.0074	מנדל ארנסט	Mandel Ernest		The formation of the economic thought of Karl Marx						223	1971	No Image		Monthly Rewiew Press , New York &London			חברה  /פוליטיקה	חברה M /		נילי דוידסון						2675
E-B-0075	E.B.0075	מרקס קרל & אנגלס פרדריק			On colonialisem						571	?	No Image		Foreigen Languages Publishing House ,Moscow			חברה  /פוליטיקה	חברה M /		נילי דוידסון						2676
E-B-0076	E.B.0076	מרקס קרל & אנגלס פרדריק			The holy family or critique of critical critique						287	1956	No Image		Foreigen Languages Publishing House ,Moscow			חברה  /פוליטיקה	חברה M /		נילי דוידסון						2677
E-B-0077	E.B.0077	מרקס קרל & אנגלס פרדריק			On Britain						571	1953	No Image		Foreigen Languages Publishing House ,Moscow			חברה  /פוליטיקה	חברה M /		נילי דוידסון						2678
E-B-0078	E.B.0078	מאייר הנס-חנוך	Meyer Hans-Chanoch		A short family story			Mit Abbildungen auch aus Eretz Israel			81	1984	No Image		Haifa			ביוגרפיות	ביוגרפיות M /		נילי דוידסון						2686
E-B-0079	E.B.0079	מרקס קרל	Marx Karl		Capital - volum III			A critique of political economy			923	1959	No Image		Foreigen Languages Publishing House ,Moscow			חברה  /פוליטיקה	חברה M /		נילי דוידסון					אקסליבריס :אלון	2706
E-B-0080	E.B.0080	מרקס קרל & אנגלס פרדריק			Reminiscences of Marx and Engels						402	?	No Image		Foreigen Languages Publishing House ,Moscow			חברה  /פוליטיקה	חברה M /		נילי דוידסון					הקדשה :לאלון מנעמי ויגאל	2707
E-B-0081	E.B.0081	מרקס קרל	Marx Karl		Economic and philosophic manuscripts of 1844						208	?	No Image		Foreigen Languages Publishing House ,Moscow			חברה  /כלכלה	חברה M /		נילי דוידסון						2708
E-B-0082	E.B.0082	מרקס קרל	Marx Karl		Notes on Indian history - 1664-1858						173	?	No Image		Foreigen Languages Publishing House ,Moscow			היסטוריה כללית	היסטוריה כללית		נילי דוידסון					אקסליבריס :אלון	2709
E-B-0083	E.B.0083	מרגוליס מקס ל.	Margolis Max L.		The story of Bible Translation			The Jewish Publication Society of America, Philadelphia			135	1917	\Samuel Boorstein EB1734 אוסף אקסליבריס\backup\Tchelet_data\Rachel		ראה בתיאור היצירה			מדעי היהדות	מדעי היהדות		נילי דוידסון )מתוך קטלוג גדעון בוטש(					"אקסליבריס :ד""ר שלמה בורשטיין  /אמנותי ,צילום שלו בחדר ספריתו .התמונה מעוטרת בסגנון היוגנדשטיל ,אמן לא ידוע. | השם הפרטי בעברית כתוב שלמה בעוד שהשם בלועזית כתוב שמואל )?( | Exlibris: Dr. Samuel Boorstein / künstlerich. Sein Photo in seinem Bibliothek. Das Photo ist im Jugendstil verahmt, Künstler unbekannt.Siehe Bild."	2756
E-B-0084	E.B.0084	לובן מרווין	Luban Marvin		The Kaddish - Man's Replie to the Problem of Evil			Studies in Thorah and Judaism 4			47	1962	No Image		Yeshiva University Verlag ,New York			מדעי היהדות	מדעי היהדות L /		נילי דוידסון )מתוך קטלוג גדעון בוטש(						2864
E-B-0085	E.B.0085	לודויג אמיל	Ludwig Emil		Cleopatra - The Story of a Queen				245			1956	No Image		Bantam Verlag ,New York			ביוגרפיות	ביוגרפיות L /		נילי דוידסון )מתוך קטלוג גדעון בוטש(						2868
E-B-0086	E.B.0086	לורי אסתר	Lurie Esther		Jewesses in Slavery						?	1945	No Image		Sifriat Poalim ,Palästina			אמנות	אמנות L /		נילי דוידסון )מתוך קטלוג גדעון בוטש(						2886
E-B-0087	E.B.0087				David Ben Gurion - Israel a personal history						862	1972	No Image		sabra books ,Tel-Aviv			ארץ ישראל	ארץ ישראל B /		נילי דוידסון		2006.396		אני מיכאליס ,הכלה ,חיפה	"הספר הובא למוזיאון ע""י אנדריאס מאייר"	2953
E-B-0088	E.B.0088	קולק טדי	Kollek Teddy		For Jerusalem - A life by Teddy Kolek with his son Amos						269	1978	No Image		Weidenfeld and Nicolson ,London			ארץ ישראל	ארץ ישראל K /		נילי דוידסון		2006.396		אני מיכאליס ,הכלה ,חיפה	"הספר הובא למוזיאון ע""י אנדריאס מאייר"	2954
E-B-0089	E.B.0089	מילר טאוזנד	Miller Townsend								379	1963	No Image		Victor Gollancz Verlag ,London			היסטוריה יהודית	היסטוריה יהודית M /		מרים פולין )מתוך קטלוג גדעון בוטש(						2960
E-B-0090	E.B.0090	מורטון פרדריק	Morton Frederic		The Rothschilds, A family Portrait						256	1963	No Image		Crest Verlag ,New York			ביוגרפיות	ביוגרפיות M /		מרים פולין )מתוך קטלוג גדעון בוטש(						2971
E-B-0091	E.B.0091	אסתר רמון	Esther Ramon		The Homburger Family from Karlsruhe - a family study,						183	1992	No Image		Posner &Sons ,Jerusalem			ביוגרפיות	ביוגרפיות R /		נילי דוידסון				אסתר רמון	בתוך הספר מכתב קצר שכתבה אסתר רמון לסטף ורטהיימר	3004
E-B-0092	E.B.0092	נוימן רוברט	Neumann Robert		Festival						215	1963	No Image		Barrie and Rockliff Verlag ,London			פרוזה	פרוזה N /		מרים פולין )מתוך קטלוג גדעון בוטש(						3031
E-B-0093	E.B.0093	נוברה היינץ-מיכאל	Nowarra Heinz-Joachim		The Jew with the blue Max						29	1967	No Image		John W .Caler			צבא  /חברה	צבא N /		נילי דוידסון						3120
E-B-0094	E.B.0094	נחמנזון דוד	Nachmansohn David		German-Jewish Pioneers in Science 1900-1933						388	1979	No Image		Springer verlag , Berlin & Heidelberg &New York			מדעים	מדעים N /		נילי דוידסון						3126
E-B-0095	E.B.0095	אורלוב דיטריך	Orlow Dietrich		A History of modern Germany						365	1987	No Image		.Prentice Hall Inc			היסטוריה כללית	היסטוריה כללית O /		נילי דוידסון						3134
E-B-0096	E.B.0096	פטרוז-אבלז דבורה	Petroz-Abeles Debora	קטלוג אמנותי	a Tribut To Kaufhaus N. Israel 1815-1939			"קולג'ים על סמך יומונים שהוצאו לאור ע""י משפחת ישראל | בתחילת המאה העשרים בברלין .אבותיו של וילפריד | ישראל . | בספר התיחסות למשפחת ישראל מברלין ,בעלי רשת | חנויות כל-בו."			64	2003	No Image					אמנות	ארכיון תיק G.F.0232		נילי דוידסון						4110,4111
E-B-0097	E.B.0097	פטאי רפאל	Patai Raphael		Herzl Year Book - essays in Zionist History and Thought						55	1959	No Image		Herzl Press New York			ציונות	ציונות P /		נילי דוידסון						3138
E-B-0098	E.B.0098	פרי חירם	Peri Hiram		The original plan of divine Comedy			הספר על הקומדיה האנושית של דנטה אליגרי | Printed in Great Britain by Ebenezer Baylis and son - The | Trinity Press, Worcester and London			21	1954	No Image		ראה בתיאור היצירה			פרוזה	פרוזה P /		נילי דוידסון					הקדשה :לארתור שטרן מאת המחבר | Widmung: An Arthur Stern Vom Verfasser	3144,3145
E-B-0099	E.B.0099	פריבטש הרברט	Priebatsch Herbert		From Berlin to Johannesburg						166	1992	No Image		?			ביוגרפיות	ביוגרפיות P /		נילי דוידסון						3149
E-B-0100	E.B.0100	פיקרד ליאון יעקב	Picard Leo Jacob		Fragments of Autobiography						25	?	No Image		?			ביוגרפיות	ביוגרפיות P /		נילי דוידסון						3151
E-B-0101	E.B.0101	פטקין בנציון	Patkin Benzion		The Dunera Internees			צילום דפי הספר			185	?	No Image		?			פרוזה	פרוזה P /		נילי דוידסון						3152
E-B-0102	E.B.0102	פוסטל ברנהרד	Postal Bernhard		Guess Who's Jewish in American History			Postal Bernhard & Koppmann Lionel			336	1978	No Image		Shapolsky Publishers ,New York			היסטוריה יהודית	היסטוריה יהודית P /		נילי דוידסון						3160
E-B-0103	E.B.0103	פיקרד ליאון יעקב	Picard Leo Jacob		Childhood in the village			Fragment of an Autobiography			עמודים 273-293	?	No Image		ohne Verlag			ביוגרפיות	ביוגרפיות P /		מרים פולין )מתוך קטלוג גדעון בוטש(						3179
E-B-0104	E.B.0104	ריכרדזון יואנה	Richardson Joanna		Rachel			סיפור חייה של רחל פליקס ,ילידת  1821 להורים יהודים, | רוכלים נודדים .לימים הפכה רחל לזמרת מפורסמת | בצרפת ומעבר לגבולותיה והיתה מקושרת לגדולי | הדור.בספר יש תמונות			222	1957	No Image		G.P .Putnam's Sons ,New York			ביוגרפיות	ביוגרפיות R /		נילי דוידסון						3219
E-B-0105	E.B.0105	רוברט מרתה	Robert Marthe		From Oedipus to Moses - Freud's jewish identity						229	1976	No Image		Ancor Books ,New York			פסיכולוגיה	פסיכולוגיה R /		נילי דוידסון						3223
