folder_key	item_count	sample_item_id
G-F-0102-2	1	IL-MTFN-001-G-F-0102-002-R0001
G-F-0102-3	2	IL-MTFN-001-G-F-0102-003-R0001
G-F-0102-4	1	IL-MTFN-001-G-F-0102-004-R0001
G-F-0103-2	4	IL-MTFN-001-G-F-0103-002-R0001
G-F-0103-3	4	IL-MTFN-001-G-F-0103-003-R0001
G-F-0103-4	4	IL-MTFN-001-G-F-0103-004-R0001
G-F-0113-10	7	IL-MTFN-001-G-F-0113-010-R0001
G-F-0113-11	1	IL-MTFN-001-G-F-0113-011-R0001
G-F-0113-12	1	IL-MTFN-001-G-F-0113-012-R0001
G-F-0113-13	6	IL-MTFN-001-G-F-0113-013-R0001
G-F-0113-14	1	IL-MTFN-001-G-F-0113-014-R0001
G-F-0113-15	6	IL-MTFN-001-G-F-0113-015-R0001
G-F-0113-16	14	IL-MTFN-001-G-F-0113-016-R0001
G-F-0113-17	5	IL-MTFN-001-G-F-0113-017-R0001
G-F-0113-18	7	IL-MTFN-001-G-F-0113-018-R0001
G-F-0113-19	1	IL-MTFN-001-G-F-0113-019-R0001
G-F-0113-2	1	IL-MTFN-001-G-F-0113-002-R0001
G-F-0113-20	4	IL-MTFN-001-G-F-0113-020-R0001
G-F-0113-21	6	IL-MTFN-001-G-F-0113-021-R0001
G-F-0113-22	1	IL-MTFN-001-G-F-0113-022-R0001
G-F-0113-23	12	IL-MTFN-001-G-F-0113-023-R0001
G-F-0113-24	1	IL-MTFN-001-G-F-0113-024-R0001
G-F-0113-25	3	IL-MTFN-001-G-F-0113-025-R0001
G-F-0113-26	3	IL-MTFN-001-G-F-0113-026-R0001
G-F-0113-27	1	IL-MTFN-001-G-F-0113-027-R0001
G-F-0113-28	12	IL-MTFN-001-G-F-0113-028-R0001
G-F-0113-3	1	IL-MTFN-001-G-F-0113-003-R0001
G-F-0113-30	1	IL-MTFN-001-G-F-0113-030-R0001
G-F-0113-31	4	IL-MTFN-001-G-F-0113-031-R0001
G-F-0113-32	5	IL-MTFN-001-G-F-0113-032-R0001
G-F-0113-33	23	IL-MTFN-001-G-F-0113-033-R0001
G-F-0113-34	14	IL-MTFN-001-G-F-0113-034-R0001
G-F-0113-35	1	IL-MTFN-001-G-F-0113-035-R0001
G-F-0113-37	1	IL-MTFN-001-G-F-0113-037-R0001
G-F-0113-38	13	IL-MTFN-001-G-F-0113-038-R0001
G-F-0113-39	25	IL-MTFN-001-G-F-0113-039-R0001
G-F-0113-4	2	IL-MTFN-001-G-F-0113-004-R0001
G-F-0113-40	28	IL-MTFN-001-G-F-0113-040-R0001
G-F-0113-41	17	IL-MTFN-001-G-F-0113-041-R0001
G-F-0113-42	18	IL-MTFN-001-G-F-0113-042-R0001
G-F-0113-43	6	IL-MTFN-001-G-F-0113-043-R0001
G-F-0113-44	1	IL-MTFN-001-G-F-0113-044-R0001
G-F-0113-46	1	IL-MTFN-001-G-F-0113-046-R0001
G-F-0113-47	1	IL-MTFN-001-G-F-0113-047-R0001
G-F-0113-49	33	IL-MTFN-001-G-F-0113-049-R0001
G-F-0113-5	1	IL-MTFN-001-G-F-0113-005-R0001
G-F-0113-50	49	IL-MTFN-001-G-F-0113-050-R0001
G-F-0113-51	12	IL-MTFN-001-G-F-0113-051-R0001
G-F-0113-52	2	IL-MTFN-001-G-F-0113-052-R0001
G-F-0113-53	1	IL-MTFN-001-G-F-0113-053-R0001
G-F-0113-55	1	IL-MTFN-001-G-F-0113-055-R0001
G-F-0113-56	18	IL-MTFN-001-G-F-0113-056-R0001
G-F-0113-57	7	IL-MTFN-001-G-F-0113-057-R0001
G-F-0113-58	13	IL-MTFN-001-G-F-0113-058-R0001
G-F-0113-59	10	IL-MTFN-001-G-F-0113-059-R0001
G-F-0113-6	2	IL-MTFN-001-G-F-0113-006-R0001
G-F-0113-60	1	IL-MTFN-001-G-F-0113-060-R0001
G-F-0113-61	3	IL-MTFN-001-G-F-0113-061-R0001
G-F-0113-62	13	IL-MTFN-001-G-F-0113-062-R0001
G-F-0113-63	2	IL-MTFN-001-G-F-0113-0063 #2-R0001
G-F-0113-64	9	IL-MTFN-001-G-F-0113-064-R0001
G-F-0113-65	2	IL-MTFN-001-G-F-0113-065-R0001
G-F-0113-66	1	IL-MTFN-001-G-F-0113-066-R0001
G-F-0113-67	7	IL-MTFN-001-G-F-0113-067-R0001
G-F-0113-7	2	IL-MTFN-001-G-F-0113-007-R0001
G-F-0113-8	2	IL-MTFN-001-G-F-0113-008-R0001
G-F-0113-9	3	IL-MTFN-001-G-F-0113-009-R0001
G-F-0138-2	6	IL-MTFN-001-G-F-0138-002-R0001
G-F-0143-2	1	IL-MTFN-001-G-F-0143-002-R0001
G-F-0143-3	1	IL-MTFN-001-G-F-0143-003-R0001
G-F-0143-4	5	IL-MTFN-001-G-F-0143-004-R0001
G-F-0147-2	1	IL-MTFN-001-G-F-0147-002-R0001
G-F-0157-3	1	IL-MTFN-001-G-F-0157-003-R0001
G-F-0157-4	1	IL-MTFN-001-G-F-0157-004-R0001
G-F-0157-5	1	IL-MTFN-001-G-F-0157-005-R0001
G-F-0157-6	1	IL-MTFN-001-G-F-0157-006-R0001
G-F-0159-2	1	IL-MTFN-001-G-F-0159-002-R0001
G-F-0159-3	1	IL-MTFN-001-G-F-0159-003-R0001
G-F-0180-2	30	IL-MTFN-001-G-F-0180-002-R0001
G-F-0190-2	1	IL-MTFN-001-G-F-0190-002-R0001
G-F-0190-3	14	IL-MTFN-001-G-F-0190-003-R0001
G-F-0190-4	20	IL-MTFN-001-G-F-0190-004-R0001
G-F-0190-5	20	IL-MTFN-001-G-F-0190-005-R0001
G-F-0198-2	5	IL-MTFN-001-G-F-0198-002-R0001
G-F-0202-15	15	IL-MTFN-001-G-F-0202-015-R0001
G-F-0202-16	22	IL-MTFN-001-G-F-0202-016-R0001
G-F-0223-2	2	IL-MTFN-001-G-F-0223-002-R0001
G-F-0223-3	1	IL-MTFN-001-G-F-0223-003-R0001
G-F-0247-2	12	IL-MTFN-001-G-F-0247-002-R0001
G-F-0247-3	3	IL-MTFN-001-G-F-0247-003-R0001
G-F-0247-4	1	IL-MTFN-001-G-F-0247-004-R0001
G-F-0247-5	5	IL-MTFN-001-G-F-0247-005-R0001
G-F-0247-6	2	IL-MTFN-001-G-F-0247-006-R0001
G-F-0247-7	2	IL-MTFN-001-G-F-0247-007-R0001
G-F-0247-8	1	IL-MTFN-001-G-F-0247-008-R0001
G-F-0263-2	2	IL-MTFN-001-G-F-0263-002-R0001
G-F-0300-6	1	IL-MTFN-001-G-F-0300-006-R0001
G-F-0307-2	1	IL-MTFN-001-G-F-0307-002-R0001
G-F-0314-2	1	IL-MTFN-001-G-F-0314-002-R0001
G-F-0314-3	11	IL-MTFN-001-G-F-0314-003-R0001
G-F-0319-2	23	IL-MTFN-001-G-F-0319-002-R0001
G-F-0319-3	2	IL-MTFN-001-G-F-0319-003-R0001
G-F-0319-5	12	IL-MTFN-001-G-F-0319-005-R0001
G-F-0341-29	2	IL-MTFN-001-G-F-0341-029-R0001
G-F-0355-2	9	IL-MTFN-001-G-F-0355-002-R0001
G-F-0355-3	8	IL-MTFN-001-G-F-0355-003-R0001
G-F-0362-9	4	IL-MTFN-001-G-F-0362-009-R0001
G-F-0380-2	23	IL-MTFN-001-G-F-0380-002-R0001
G-F-0382-10	3	IL-MTFN-001-G-F-0382-010-R0001
G-F-0382-9	1	IL-MTFN-001-G-F-0382-009-R0001
G-F-0402-3	3	IL-MTFN-001-G-F-0402-003-R0001
G-F-0459-13	16	IL-MTFN-001-G-F-0459-013-R0001
G-F-0459-14	1	IL-MTFN-001-G-F-0459-014-R0001
G-F-0459-15	3	IL-MTFN-001-G-F-0459-015-R0001
G-F-0459-16	2	IL-MTFN-001-G-F-0459-016-R0001
G-F-0459-17	7	IL-MTFN-001-G-F-0459-017-R0001
G-F-0469-2	5	IL-MTFN-001-G-F-0469-002-R0001
G-F-0469-3	7	IL-MTFN-001-G-F-0469-003-R0001
G-F-0469-6	4	IL-MTFN-001-G-F-0469-006-R0001
G-F-0469-8	11	IL-MTFN-001-G-F-0469-008-R0001
G-F-0475-1	17	IL-MTFN-001-G-F-0475-001-R0001
G-F-0476-1	3	IL-MTFN-001-G-F-0476-001-R0001
G-F-0477-1	4	IL-MTFN-001-G-F-0477-001-R0001
G-F-0478-1	4	IL-MTFN-001-G-F-0478-001-R0001
G-F-0478-10	10	IL-MTFN-001-G-F-0478-010-R0001
G-F-0478-11	3	IL-MTFN-001-G-F-0478-011-R0001
G-F-0478-12	4	IL-MTFN-001-G-F-0478-012-R0001
G-F-0478-13	1	IL-MTFN-001-G-F-0478-013-R0001
G-F-0478-14	7	IL-MTFN-001-G-F-0478-014-R0001
G-F-0478-17	11	IL-MTFN-001-G-F-0478-017-R0001
G-F-0478-18	6	IL-MTFN-001-G-F-0478-018-R0001
G-F-0478-4	4	IL-MTFN-001-G-F-0478-004-R0001
G-F-0478-5	7	IL-MTFN-001-G-F-0478-005-R0001
G-F-0478-7	1	IL-MTFN-001-G-F-0478-007-R0001
G-F-0478-8	14	IL-MTFN-001-G-F-0478-008-R0001
G-F-0478-9	1	IL-MTFN-001-G-F-0478-009-R0001
G-F-0479-1	1	IL-MTFN-001-G-F-0479-001-R0001
G-F-0480-1	18	IL-MTFN-001-G-F-0480-001-R0001
G-F-0482-1	1	IL-MTFN-001-G-F-0482-001-R0001
G-F-0483-11	21	IL-MTFN-001-G-F-0483-011-R0001
G-F-0483-12	6	IL-MTFN-001-G-F-0483-012-R0001
G-F-0483-13	11	IL-MTFN-001-G-F-0483-013-R0001
G-F-0483-14	5	IL-MTFN-001-G-F-0483-014-R0001
G-F-0483-15	1	IL-MTFN-001-G-F-0483-015-R0001
G-F-0483-16	15	IL-MTFN-001-G-F-0483-016-R0001
G-F-0483-17	12	IL-MTFN-001-G-F-0483-017-R0001
G-F-0483-18	9	IL-MTFN-001-G-F-0483-018-R0001
G-F-0483-19	12	IL-MTFN-001-G-F-0483-019-R0001
G-F-0483-20	5	IL-MTFN-001-G-F-0483-020-R0001
G-F-0483-21	16	IL-MTFN-001-G-F-0483-021-R0001
G-F-0483-22	5	IL-MTFN-001-G-F-0483-022-R0001
G-F-0483-23	7	IL-MTFN-001-G-F-0483-023-R0001
G-F-0483-24	2	IL-MTFN-001-G-F-0483-024-R0001
G-F-0483-3	18	IL-MTFN-001-G-F-0483-003-R0001
G-F-0483-6	3	IL-MTFN-001-G-F-0483-006-R0001
G-F-0483-7	14	IL-MTFN-001-G-F-0483-007-R0001
G-F-0483-8	18	IL-MTFN-001-G-F-0483-008-R0001
G-F-0483-9	12	IL-MTFN-001-G-F-0483-009-R0001
G-F-0484-1	3	IL-MTFN-001-G-F-0484-001-R0001
G-F-0485-1	1	IL-MTFN-001-G-F-0485-001-R0001
G-F-0486-1	8	IL-MTFN-001-G-F-0486-001-R0001
G-F-0487-1	1	IL-MTFN-001-G-F-0487-001-R0001
G-F-0488-1	6	IL-MTFN-001-G-F-0488-001-R0001
G-F-0489-1	12	IL-MTFN-001-G-F-0489-001-R0001
G-F-0489-2	4	IL-MTFN-001-G-F-0489-002-R0001
G-F-0489-3	8	IL-MTFN-001-G-F-0489-003-R0001
G-F-0490-10	5	IL-MTFN-001-G-F-0490-010-R0001
G-F-0490-11	3	IL-MTFN-001-G-F-0490-011-R0001
G-F-0490-12	14	IL-MTFN-001-G-F-0490-012-R0001
G-F-0490-2	17	IL-MTFN-001-G-F-0490-002-R0001
G-F-0490-3	12	IL-MTFN-001-G-F-0490-003-R0001
G-F-0490-5	1	IL-MTFN-001-G-F-0490-005-R0001
G-F-0490-6	1	IL-MTFN-001-G-F-0490-006-R0001
G-F-0490-9	13	IL-MTFN-001-G-F-0490-009-R0001
G-F-0491-1	1	IL-MTFN-001-G-F-0491-001-R0001
G-F-0491-2	15	IL-MTFN-001-G-F-0491-002-R0001
G-F-0491-3	3	IL-MTFN-001-G-F-0491-003-R0001
G-F-0491-4	4	IL-MTFN-001-G-F-0491-004-R0001
G-F-0492-1	5	IL-MTFN-001-G-F-0492-001-R0001
G-F-0493-1	2	IL-MTFN-001-G-F-0493-001-R0001
G-F-0494-1	3	IL-MTFN-001-G-F-0494-001-R0001
G-F-0495-1	1	IL-MTFN-001-G-F-0495-001-R0001
G-F-0496-1	1	IL-MTFN-001-G-F-0496-001-R0001
G-F-0497-1	6	IL-MTFN-001-G-F-0497-001-R0001
G-F-0498-1	2	IL-MTFN-001-G-F-0498-001-R0001
G-F-0499-1	4	IL-MTFN-001-G-F-0499-001-R0001
G-F-0499-2	6	IL-MTFN-001-G-F-0499-002-R0001
G-F-0499-3	9	IL-MTFN-001-G-F-0499-003-R0001
G-F-0499-5	14	IL-MTFN-001-G-F-0499-005-R0001
G-F-0500-1	14	IL-MTFN-001-G-F-0500-001-R0001
G-F-0500-2	1	IL-MTFN-001-G-F-0500-002-R0001
G-F-0500-3	8	IL-MTFN-001-G-F-0500-003-R0001
G-F-0500-4	10	IL-MTFN-001-G-F-0500-004-R0001
G-F-0500-5	1	IL-MTFN-001-G-F-0500-005-R0001
G-F-0500-6	1	IL-MTFN-001-G-F-0500-006-R0001
G-F-0500-7	3	IL-MTFN-001-G-F-0500-007-R0001
G-F-0501-2	5	IL-MTFN-001-G-F-0501-002-R0001
G-F-0501-4	2	IL-MTFN-001-G-F-0501-004-R0001
G-F-0501-6	3	IL-MTFN-001-G-F-0501-006-R0001
G-F-0501-7	4	IL-MTFN-001-G-F-0501-007-R0001
G-F-0501-8	10	IL-MTFN-001-G-F-0501-008-R0001
G-F-0502-1	3	IL-MTFN-001-G-F-0502-001-R0001
G-F-0503-1	1	IL-MTFN-001-G-F-0503-001-R0001
G-F-0504-1	1	IL-MTFN-001-G-F-0504-001-R0001
G-F-0505-1	1	IL-MTFN-001-G-F-0505-001-R0001
G-F-0506-1	3	IL-MTFN-001-G-F-0506-001-R0001
G-F-0507-1	1	IL-MTFN-001-G-F-0507-001-R0001
G-F-0508-1	2	IL-MTFN-001-G-F-0508-001-R0001
G-F-0509-1	3	IL-MTFN-001-G-F-0509-001-R0001
G-F-0510-1	1	IL-MTFN-001-G-F-0510-001-R0001
G-F-0511-2	1	IL-MTFN-001-G-F-0511-002-R0001
G-F-0511-3	20	IL-MTFN-001-G-F-0511-003-R0001
G-F-0511-4	4	IL-MTFN-001-G-F-0511-004-R0001
G-F-0511-5	20	IL-MTFN-001-G-F-0511-005-R0001
G-F-0512-1	3	IL-MTFN-001-G-F-0512-001-R0001
G-F-0513-1	22	IL-MTFN-001-G-F-0513-001-R0001
G-F-0514-1	3	IL-MTFN-001-G-F-0514-001-R0001
G-F-0515-1	5	IL-MTFN-001-G-F-0515-001-R0001
G-F-0515-2	20	IL-MTFN-001-G-F-0515-002-R0001
G-F-0516-1	11	IL-MTFN-001-G-F-0516-001-R0001
G-F-0516-2	4	IL-MTFN-001-G-F-0516-002-R0001
G-F-0516-3	4	IL-MTFN-001-G-F-0516-003-R0001
G-F-0517-1	9	IL-MTFN-001-G-F-0517-001-R0001
G-F-0518-1	1	IL-MTFN-001-G-F-0518-001-R0001
G-F-0519-1	21	IL-MTFN-001-G-F-0519-001-R0001
G-F-0519-2	7	IL-MTFN-001-G-F-0519-002-R0001
G-F-0519-3	16	IL-MTFN-001-G-F-0519-003-R0001
G-F-0520-1	10	IL-MTFN-001-G-F-0520-001-R0001
G-F-0521-1	3	IL-MTFN-001-G-F-0521-001-R0001
G-F-0521-2	16	IL-MTFN-001-G-F-0521-002-R0001
G-F-0522-1	1	IL-MTFN-001-G-F-0522-001-R0001
G-F-0522-2	1	IL-MTFN-001-G-F-0522-002-R0001
G-F-0523-1	1	IL-MTFN-001-G-F-0523-001-R0001
G-F-0523-2	13	IL-MTFN-001-G-F-0523-002-R0001
G-F-0523-3	5	IL-MTFN-001-G-F-0523-003-R0001
G-F-0524-1	19	IL-MTFN-001-G-F-0524-001-R0001
G-F-0524-2	12	IL-MTFN-001-G-F-0524-002-R0001
G-F-0524-3	14	IL-MTFN-001-G-F-0524-003-R0001
G-F-0524-4	12	IL-MTFN-001-G-F-0524-004-R0001
G-F-0524-5	18	IL-MTFN-001-G-F-0524-005-R0001
G-F-0524-6	15	IL-MTFN-001-G-F-0524-006-R0001
G-F-0525-1	2	IL-MTFN-001-G-F-0525-001-R0001
G-F-0526-1	10	IL-MTFN-001-G-F-0526-001-R0001
G-F-0526-2	6	IL-MTFN-001-G-F-0526-002-R0001
G-F-0527-1	7	IL-MTFN-001-G-F-0527-001-R0001
G-F-0528-1	1	IL-MTFN-001-G-F-0528-001-R0001
G-F-0529-1	1	IL-MTFN-001-G-F-0529-001-R0001
G-F-0530-1	1	IL-MTFN-001-G-F-0530-001-R0001
G-F-0532-1	3	IL-MTFN-001-G-F-0532-001-R0001
G-F-0533-1	9	IL-MTFN-001-G-F-0533-001-R0001
G-F-0534-1	2	IL-MTFN-001-G-F-0534-001-R0001
G-F-0535-1	1	IL-MTFN-001-G-F-0535-001-R0001
G-F-0536-1	2	IL-MTFN-001-G-F-0536-001-R0001
G-F-0537-1	3	IL-MTFN-001-G-F-0537-001-R0001
G-F-0538-1	1	IL-MTFN-001-G-F-0538-001-R0001
G-F-0540-1	4	IL-MTFN-001-G-F-0540-001-R0001
G-F-0541-1	20	IL-MTFN-001-G-F-0541-001-R0001
G-F-0542-1	2	IL-MTFN-001-G-F-0542-001-R0001
G-F-0543-1	1	IL-MTFN-001-G-F-0543-001-R0001
G-F-0544-1	1	IL-MTFN-001-G-F-0544-001-R0001
G-F-0545-1	7	IL-MTFN-001-G-F-0545-001-R0001
G-F-0547-1	13	IL-MTFN-001-G-F-0547-001-R0001
G-F-0548-1	1	IL-MTFN-001-G-F-0548-001-R0001
G-F-0549-1	1	IL-MTFN-001-G-F-0549-001-R0001
G-F-0550-1	1	IL-MTFN-001-G-F-0550-001-R0001
G-F-0553-1	1	IL-MTFN-001-G-F-0553-001-R0001
G-F-0554-1	1	IL-MTFN-001-G-F-0554-001-R0001
G-F-0555-2	5	IL-MTFN-001-G-F-0555-002-R0001
G-F-0555-3	4	IL-MTFN-001-G-F-0555-003-R0001
G-F-0556	5	IL-MTFN-001-G-F-0556 -0 1-R0001
G-F-0556-2	20	IL-MTFN-001-G-F-0556-002-R0001
G-F-0557-1	6	IL-MTFN-001-G-F-0557-001-R0001
G-F-0559-1	13	IL-MTFN-001-G-F-0559-001-R0001
G-F-0560-1	13	IL-MTFN-001-G-F-0560-001-R0001
G-F-0561-1	7	IL-MTFN-001-G-F-0561-001-R0001
G-F-0561-2	13	IL-MTFN-001-G-F-0561-002-R0001
G-F-0561-3	20	IL-MTFN-001-G-F-0561-003-R0001
G-F-0561-4	6	IL-MTFN-001-G-F-0561-004-R0001
G-F-0561-5	20	IL-MTFN-001-G-F-0561-005-R0001
G-F-0561-6	19	IL-MTFN-001-G-F-0561-006-R0001
G-F-0563-1	1	IL-MTFN-001-G-F-0563-001-R0001
