section_id	parent_r_item	transkribus_doc_id	page_start	page_end	divider_page	title_he	title_de_or_en	author	language	doc_type	date_text	in_existing_catalog	heimat_relevant	notes
0047-2-S14	R-SHARETT		51	56	51	כרטיסים, קטע רדיו ותצלום מוקדש של משה שרת	Cards, radio-schedule clipping and dedicated Sharett portrait	Moshe Sharett / press	he	photo_ephemera	02.04.1964 (dedication)	no	no	p51 card; p52 Hebrew radio-schedule clipping incl. Sharett programme "במחיצתו של ברל"; pp.53-55 portrait photo captioned "משה שרת, שר החוץ הראשון בישראל" with handwritten dedication dated 2/4/64 and publisher credit; p56 blank.
0047-2-S15	R-SHARETT		57	60	57	מכתב ממשה שרת, ירושלים — המבורג, בון, שטוקהולם; "היכן בכלל ויסבאדן?"	Sharett letter, Jerusalem — Hamburg/Bonn plans, Stockholm congress; "where is Wiesbaden?"	Moshe Sharett	de	letter	29.05.1959	register	yes	Bad conscience; fears his letter with the Levins' Rome address missed her in K[far] Sh[maryahu]; will most probably fly mid-July to Hamburg, a week there and in Bonn; early August Stockholm for the Jewish World Congress; "Übrigens habe ich noch keine Ahnung wo Wiesbaden gelegen ist in Bezug auf Hamburg – ich werde noch die Karte studieren müssen"; election campaign over but pressure unrelenting; hopes she keeps her Ulpan Hebrew. p59 envelope fragment (G. Badt?), p60 blank.
0047-2-S16	R-SHARETT		61	65	61	פתקים בכתב יד — בלתי קריאים	Handwritten notes — illegible	Moshe Sharett (presumed)	de	note	n.d.	maybe	no	HTR yields no readable text (pp.61, 63); pp.62, 64, 65 blank. NEEDS human transcription.
0047-2-S17	R-SHARETT		66	68	66	כרטיס חתום ונייר מכתבים של עם עובד	Signed card + Am Oved letterhead	Moshe Sharett	mixed	ephemera	n.d. [1956-1965]	no	no	p66 card signed "משה שרת" with a few handwritten words; p67 Am Oved Ltd. letterhead (Sharett headed Am Oved from 1956); p68 blank.
0047-2-S18	R-SHARETT		69	79	69	פתק ממשה שרת — בקשה לטלפן; פריטי נייר מכתבים ופתקים מאוחרים	Sharett note asking her to phone; stationery pieces and later notes	Moshe Sharett	de	letter	19.01.1959; 28.01.1965(?)	register	no	p69, Jerusalem 19/1/59, still formal "Liebe Frau Frank": please phone him in Tel Aviv Sunday the 25th at 9 pm or Monday the 26th at 9 am, tel 26574, signed M. Shar[ett] (25.1.1959 was indeed a Sunday); pp.71, 73, 74 Balfour-St.-19 stationery; p75 note dated 28/1/65(?) and p77 Hebrew jotting — illegible; remaining pages blank.
0047-2-S19	R-FRANK		80	81	80	מכתב מלאוני פרנק אל משה שרת — לפני נסיעה ממושכת; הדירה בוויסבאדן	Leonie Frank to Moshe Sharett — before a long journey; her Wiesbaden flat	Leonie Frank	de	letter	n.d. [c. June 1962]	register	yes	Typed, new address 137 Hayarkon St. Tel Aviv: sold her Kfar Shmaryahu house, since 1 June in a two-room flat near Gan Ha'atzmauth; before a longer trip abroad — Stuttgart, then a longer stay in Wiesbaden where she must decide whether to give up "eine dortige Wohnung" if her successor offers fair terms; mail address "Wiesbaden, Hauptpostlagernd"; invites him should he come to Europe; complaint about Dr. Ishai, her successor in Kfar Shmaryahu. Register notes her 1962 letter may never have been sent.
0047-2-S20	R-FRANK		82	83	82	מכתב מלאוני פרנק, ויסבאדן — "זרה ובודדה בעיר של חמישה דורות"	Leonie Frank, Wiesbaden — foreign and lonely in her five-generation home town	Leonie Frank	de	letter	31.05.-10.06.1959	register	yes	KEY ITEM. From Gustav-Freytag-Str. 1, Wiesbaden, replying to Sharett's 5.5.1959 letter: left Israel 10 May; alone in Rome on Yom Haazmaut "in der Fremde – ohne jede heimatliche Ansprache"; back in Wiesbaden feels "fremd und einsam" although five generations of her family were born there; plans lectures on Israel for the Christlich-Jüdische Gesellschaft für Zusammenarbeit and the Friedensgesellschaft, arranged a Volkshochschule lecture for Max Brod's West Germany tour; explains Wiesbaden/Frankfurt geography for Sharett's trip, recalls her Hamburg years 1951-53, invites him and Zipporah as her guests; calls herself an untalented "Jecke-Schüler" of Hebrew; 10 June postscript on a childhood friend's fatal accident in Israel. Sheet order reversed in scan (p82 = second sheet). Possibly unsent (register).
0047-2-S21	R-ZWEIG		84	86	84	גלויה מארנולד צווייג, שלכטנזה	Postcard from Arnold Zweig, [Berlin-]Schlachtensee	Arnold Zweig	de	postcard	01.04.[c.1926]	register	no	To "Lieber Dr. Landsberg": thanks; expects to come by 10 August at the latest, perhaps the 6th or 8th; depends on negotiations with publishers ("Kriegs..." — garbled); greetings to his wife. Signed Arnold Zweig. HTR partly garbled; pp.84, 86 blank.
0047-2-S22	R-ZWEIG		87	89	87	מכתב מארנולד צווייג — "אכתוב בקרוב על ויסבאדן"	Arnold Zweig letter — "Ich will bald was über Wiesbaden schreiben"	Arnold Zweig	de	letter	n.d. [c.1926] (note "17.8")	register	no	To "Liebste Frau Leonie, lieber Dr. Landsberg": weeks of hard work, too many things in his "einsamen Schädel"; gives Dr. Walter Kluge's Berlin address (Kurfürstenstr. 97, W50); the journey did him good (Prague fine, Nürnberg very pleasant); asks for the address of a lawyer colleague of Dr. Landsberg for a suit against a Frankfurt publisher; postscript: will soon write about Wiesbaden — "Es war doch wunderschön im Ganzen. Ich bin Ihnen, Kahns und der Baderei so dankbar". p88 bottom = address side "Herrn mit Frau Dr. Lan[dsberg], Wiesbaden Parkstr. 20". p89 blank.
0047-2-S23	R-ZWEIG		90	95	90	מכתב מארנולד צווייג, קלן — תודה על האירוח בוויסבאדן	Arnold Zweig letter, Köln — thanks for Wiesbaden hospitality	Arnold Zweig	de	letter	07.05.1926	register	no	From Köln-Braunsfeld 7.5.26: heartfelt thanks for so much friendship — without their helpful joy "wäre die Heilkraft des Wiesbadener Wassers nicht halb so anschlägig gewesen"; their hospitality the antidote to the "poison" of a profiteering publisher's adviser; hopes to hear from her and the two little girls; travels on next day to Nürnberg; asks that Doktor Kahns be greeted. p94 photographed postcard address side ("Herrn Dr. Landesberg, Wiesbaden Karlstr./Parkstr. 20"); pp.92-93, 95 blank. Register: photographs of Zweig postcard + letter, 1926.
0047-2-S24	R-WEIZ		96	96	96	מכתב מחיים ויצמן, נשיא המדינה, אל לאוני פרנק	Letter from President Chaim Weizmann to Frau Frank (with Hebrew rendering)	Chaim Weizmann	de	letter	27.10.1949	register	no	Hakirya: on returning from Europe found her dear letter; glad she is well again in every respect and remembered him; after the opening of the Institute on 2 November he plans a small tour of the country and will call on her in Kfar Shmaryahu together with his wife. Typed German with Hebrew translation on the same sheet.
0047-2-S25	R-WEIZ		97	97	97	הזמנה לחנוכת הספרייה המרכזית ע"ש ויקס וגנזך ויצמן	Invitation — dedication of the Wix Central Library and the Weizmann Archives	Yad Chaim Weizmann / Weizmann Institute	mixed	invitation	30.10.1958	no	no	Bilingual printed invitation (admits two), Wix Auditorium, Rehovot, 16 Hesvan 5719.
0047-2-S26	R-WEIZ		98	101	98	מכתב ממזכירת ויצמן — אשפוזו בסנטוריום והחלמתו	Letter from Weizmann's secretary — his sanatorium stay and recovery	[Janet Liebermann?] private secretary	en	letter	n.d. [c.1930]	register	no	To Mrs. Landsberg: hopes she is recovered from her illness abroad; per her wish did not tell Dr. Weizmann; he is still in the sanatorium — four teeth "giving off poison" extracted, progress slow but no cause for anxiety, two-three months before he may work; regards to Dr. Landsberg and the children. p100 address slip "גב' ל. לנדסברג-פרנק, כפר שמריהו" (later slip), p101 blank.
0047-2-S27	R-WEIZ		102	103	102	כרטיס תודה מודפס — נשיא המדינה מודה על הברכות לבחירתו	Printed card — the President of Israel thanks for election greetings	Office of the President of Israel	mixed	card	02.1949 (Shvat 5709)	no	no	Hebrew and English printed acknowledgment card, Hakirya, February 1949.
0047-2-S28	R-WEIZ		104	105	104	מכתב ממזכירת ויצמן, ירושלים 1929 — החלמת ויצמן; וארבורג בארץ	Secretary's letter, Jerusalem 1929 — Weizmann recovering; Max Warburg visiting	[Janet Liebermann?]	en	letter	[April] 1929	register	no	Her letter of the 5th forwarded to Jerusalem; deep sympathy for the Landsbergs' trouble; Weizmann much better — the writer and Michael came from London and joined the Weizmanns in Cannes; he then enjoyed the Palestine trip and saw his mother in excellent health; Max Warburg and family visiting, astonishing progress in the four years since her last visit; leaving ~the 9th, London ~the 18th; will Dr. Landsberg come to the A.C. meeting in London, fixed for 19 May? Sheet order jumbled (page 2 photographed above page 1). Signed "Yours affectionately".
0047-2-S29	R-WEIZ		106	107	106	מכתב מהמשרד המרכזי של ההסתדרות הציונית, לונדון	Zionist Organisation Central Office, London — confidential copy sent for Weizmann	Private Secretary to Dr. Weizmann	en	letter	19.05.1930	register	no	77 Great Russell Street, to Dr. A. Landsberg, Wiesbaden, Parkstrasse: Dr. Weizmann wanted to write but is so overburdened that he must postpone; sends meanwhile a copy of a letter he has written, to be treated as very confidential, until he can write and supplement it himself. p107 blank.
0047-2-S30	R-WEIZ		108	118	108	קטעי מכתבים ומעטפות — מזכירות ויצמן, לונדון	Letter fragments and envelopes — Weizmann secretariat, London	[Janet Liebermann?]	en	letter	n.d. [c.1930-31]	register	no	Partial photocopies of 1-2 personal letters: thanks for good wishes (p108); hope Dr. W. will soon be stronger — "in Zurich. That would be lovely" (p110); London W1 envelope no. 756 (p112); "My fiancé is in a Government Office here in London... How are things with you in Wiesbaden? My regards to Dr. and Mrs. Kahn" (p116). Many blanks/versos (pp.109, 111, 113-115, 117-118).
0047-2-S31	R-GOLD		119	122	119	פריט מנחום גולדמן, פריז — מכתב ומעטפה	Nahum Goldmann item, 12 Av. Montaigne Paris — letter and envelope	Nahum Goldmann	de	letter	n.d.	register	no	p119 personal letterhead "NAHUM GOLDMANN 12, Av. Montaigne Paris 8ème"; p120 airmail envelope; p121 archival note "von Nahum Goldmann"; p122 illegible HTR. Letter text not captured — NEEDS human transcription. Register: German letter to Leoni Frank from Nahum Goldmann, n.d.
0047-2-S32	R-ARIE		123	127	123	מכתב מאריה מההכשרה ברמת יוחנן — בחדר אחד עם בנות לאוני	Letter from Arie, hachshara Ramat Yochanan — rooming with Leonie's daughters	Arie [surname unknown]	de	letter	[3?].II.1943 (register: 1942)	register	no	To "Liebe Frau Landsberg": humorous room-life scenes with her two "Mädels" (Chawa and her sister — second name garbled), a shared Shabbat outing, work in the carpentry shop building a potato-sorting machine from a photo in an American prospectus, headaches and the passing grippe epidemic, the lack of cultural life, warm memories of Kfar Shmaryahu; greetings also to her husband. Date line read "Ramat-Jochanan, d. 3?.II/1943" vs. register's 1942 — uncertain. p127 blank.
0047-2-S33	R-BRIT		128	132	128	מכתב מאינה בריטשגי-שימר, ירושלים — תודה ליום ההולדת; עבודת הסקר	Letter from Ina Britschgi-Schimmer, Jerusalem — birthday thanks; her survey work	Ina Britschgi-Schimmer	de	letter	01.10.1940	register	no	From Alfasi(?) Road 23, Jerusalem, to "Liebe Leonie": Leonie is the only person here who remembers her birthday — thanks for the gift, "ein seltener Luxus für diese Tage"; glad Leonie recovered at Dora Schwarz's; asks about Zichron and the Kinderdorf Schfeya; her Enquete material collection nearly complete, she is exhausted and awaits the three consecutive holidays; asks for a few lines on Leonie's physical and psychic state; New Year wish "die Erlösung von dem Übel". Register spells "Prutschgi-Schimmer"; signature reads Britschgi-Schimmer. pp.130-132 envelope(?)/blanks (p131 illegible).
0047-2-S34	R-SCHENK		133	141	133	מכתב מד"ר מ. שנקר — "אולי בכל זאת תשובי פעם לוויסבאדן?"	Letter from Dr. M. Schenker — "Vielleicht kehren Sie doch mal wieder nach Wiesbaden zurück?"	Dr. M. Schenker	de	letter	16.11.1961	register	yes	pp.133-135 envelope/cover to Madame Leonie Frank, 105 Achad Haam St., Tel Aviv (postmark note 10.11.1961); pp.137-140 letter: long stays in England to learn the language, now resettled for the winter in his Heimatstadt (Swiss context — Genf, Höhere Töchterschule, Tessin); worries over his younger son (psychiatric institution, marriage plans) and the painter elder son (Paris/Wien); private lessons, university lectures on English and Italian literature, a German-language slide lecture on the Bodensee; comments on her move to Tel Aviv and her rented-out house; recalls "die schönen Ferientage... die ich in Ihrer Nähe in Wiesbaden verlebt habe" and wonders whether she might return to Wiesbaden. Register says "from England"; the letter itself is written after his return home. p136, p141 blank.
0047-2-S35	R-CONG		142	147	142	גלוית ברכה מהקונגרס הציוני הי"ד, וינה 1925	Greeting postcard — XIV Zionist Congress, Vienna, August 1925	[Leonard Stein per register]	de	postcard	08.1925	register	no	p142 Konzerthaus image; p143 printed "Grüsse vom XIV. Zionistenkongress, Wien, August 1925"; p145 photographed postcard address side "Herrn R.A. Dr. A. Landsberg, in Wiesbaden Parkstr." — sender signature not captured in OCR. Register attributes the card to Leonard Stein and also lists a 1930 Hans Kohn thank-you card not identifiable in this OCR. pp.144, 146-147 blank.
0047-2-S36	R-UNID		148	149	148	מכתב אל גב' לנדסברג — על המהדורה המקוצרת של ספרו	Letter to Frau Landsberg — on the abridged edition of the writer's book	unidentified	de	letter	24.02.[19]31(?)	maybe	no	Handwritten: has read the letter and agrees with "D. Hermann's" view on the shortened edition of his book, but must reread it thoroughly before a final judgment; asks her and Dr. Landsberg to come over; proposes next Friday. Signature and date garbled in HTR — NEEDS human transcription. p149 blank.
0047-2-S37	R-SAND		150	152	150	מכתב על נייר המרכז לתרבות של ההסתדרות — כנראה יעקב סנדבנק	Letter on Histadrut Cultural Department letterhead — probably Jakob Sandbank	[Jakob Sandbank per register]	mixed	letter	[1936 per register]	register	no	Bilingual Histadrut Cultural Department letterhead (Tel Aviv, P.O.B. 303, Hebrew + English sides); the handwritten text is not legible in OCR/HTR. Register lists a 1936 German letter to Leoni from Jakob Sandbank, who served in the Histadrut cultural apparatus. p152 blank. NEEDS human transcription.
0047-2-S38	R-FILS		153	154	153	מכתב מוכתב מגרמניה אל לאוני — כנראה אלזה פילס	Dictated letter from Germany to Leonie — probably Else Fils	[Else Fils per register]	de	letter	n.d. [c.1961]	register	yes	Elderly, nearly blind writer dictating (Brigitte writes): eyelid growth operated; fourth great-grandchild due in October; the moving reunion with her son who lives in South America and his children (granddaughter took Abitur at a German school at 17); Frau Oppenheim not yet phoned; the cold winter, German newspapers and radio politics; "Ich freue mich, wenn Sie im nächsten Jahre wieder herkommen" — awaiting Leonie's next visit; "Wie schön, daß Sie jetzt mal in der Stadt leben können" dates it after Leonie's 1961 move to Tel Aviv. Signature not captured; register lists Else Fils 1961.
0047-2-S39	R-HERZL		155	156	155	דף לוואי של תפן — מכתב הברכה המקורי של הרצל לגוסטב כהן, 1900	Tefen cover sheet — original Herzl congratulatory letter to Gustav Cohn, 1900	Tefen Open Museum	mixed	archival_note	n.d. [1990s]	no	no	Tefen Industrial Park letterhead/fax sheet annotated "ORIGINAL GUSTAV COHN ... WUNSCHBRIEF VON T. HERZL ... 1900" — cover note for the Herzl letter to Gustav G. Cohen (17.2.1900, Cohen's 70th birthday). The Herzl original itself is not among the OCR'd pages of this folder. p156 blank.
0047-2-S40	R-HERZL		157	158	157	מכתב מהארכיון הציוני המרכזי — השבת מכתב הרצל המקורי	Zionist Central Archives letter — returning the original Herzl letter to Gustav G. Cohen	[Dr. Georg Herlitz], Zionist Central Archives Jerusalem	de	letter	[1950 per register]	register	no	To Frau Leonie Frank, Kfar Schmarjahu: sympathy over her broken foot (the writer suffered the identical mishap); interest in her elder daughter's family move (Merchavia / Ein-Gev); returns per her wishes (1) the family picture she had sent, (2) the original Herzl letter to Gustav G. Cohen in Hamburg with written authentication; dates it precisely — Cohen's 70th birthday was 17 February 1900; asks from what source she obtained the letter (the archive keeps a copy). p158 blank.
