doc_id	page_no	tesseract_grade	script	hand_kind	layout	legibility	route	why	note
0113-41__0113-S02	24	mixed	mixed	latin	single	good	gemini	printed body with handwriting on it	Typewritten text with handwritten annotations in the left margin and underlining throughout.
0113-41__0113-S02	25	clean	mixed	latin	single	good	gemini	printed body with handwriting on it	Page is mostly typewritten with one large red handwritten word and some blue ink marginalia.
0113-41__0113-S02	26	mixed	typescript		single	good	gemini	typescript, graded mixed	Typewritten text with some minor strike-throughs and underlining by hand.
0113-41__0113-S02	27	clean	typescript		single	good	keep	clean print, Tesseract confidence 0.915	Includes underlined text and a small handwritten mark at the bottom.
0185-2__0185-D04	53	poor	handwriting	latin	two-column	good	transkribus	handwritten (latin)	Parallel columns in Latin and Hebrew script with numerical ordering.
0185-2__0185-D04	54	poor	handwriting	hebrew	single	good	transkribus	handwritten (hebrew)	A few lines of modern Hebrew handwriting and a year date at the bottom of a blank page.
0185-2__0185-D04	55	mixed	mixed	latin	single	good	gemini	printed body with handwriting on it	Typewritten letter with a handwritten signature and underlining at the end.
0185-2__0185-D04	56	poor	handwriting	hebrew	single	good	transkribus	handwritten (hebrew)	The page contains a small block of handwritten Hebrew and two names in Latin block letters (BIERIG, ERLICH).
0185-2__0185-D04	57	poor	mixed	latin	single	good	gemini	printed body with handwriting on it	A mailed envelope with handwritten recipient and return address, postal stamps, and a barcode sticker.
0185-2__0185-D04	58	poor	handwriting	latin	single	good	transkribus	handwritten (latin)	Back of an envelope with a Rio de Janeiro address and postal stamps.
0185-2__0185-D04	59	mixed	handwriting	latin	single	good	transkribus	handwritten (latin)	The text is a handwritten letter in English with Latin longhand.
0185-2__0185-D04	60	mixed	handwriting	latin	single	good	transkribus	handwritten (latin)	Includes some inline corrections and additions above the main text lines.
0185-2__0185-D11	197	mixed	typescript	latin	single	good	gemini	typescript, graded mixed	Page is a geneological chart with some minor handwritten annotations at the top.
0185-2__0185-D11	198	mixed	typescript	latin	single	good	gemini	typescript, graded mixed	Page number '- 2 -' is handwritten at the top.
0185-2__0185-D11	199	mixed	typescript	latin	single	good	gemini	typescript, graded mixed	Computer-generated genealogy report; page numbers and a small mark at the top are handwritten.
0185-2__0185-D11	200	mixed	mixed	hebrew	montage	good	gemini	printed body with handwriting on it	Family tree diagram consisting of typewritten labels and boxes with handwritten Hebrew annotations in red ink.
0185-2__0185-D11	201	mixed	mixed	hebrew	single	good	gemini	printed body with handwriting on it	Typewritten family tree with boxes and lines; includes handwritten Hebrew annotations in the top left corner.
0185-2__0185-D11	202	mixed	mixed	hebrew	mostly-image	low-contrast	gemini	printed body with handwriting on it	A family tree diagram with small, low-contrast printed boxes and Hebrew handwriting at the top right.
0185-2__0185-D11	203	poor	handwriting	hebrew	single	good	transkribus	handwritten (hebrew)	Modern Hebrew handwriting with a list format and arrows.
0185-2__0185-D11	204	poor	print		mostly-image	good	gemini	print, graded poor	Printout of a Hebrew website page from 2002.
0185-2__0185-D11	205	poor	print		single	good	gemini	print, graded poor	Webpage printout with Hebrew text and URL at the bottom.
0185-2__0185-D11	206	poor	print		mostly-image	good	gemini	print, graded poor	The page consists of a photograph with modern Hebrew printed headers and a URL footer.
0185-2__0185-D11	207	poor	print		single	good	gemini	print, graded poor	The page is a printed website footer in Hebrew with a URL and date.
0185-2__0185-D11	208	poor	print		mostly-image	good	gemini	print, graded poor	Printout of a Hebrew website page with multiple small photographs and associated metadata fields.
0185-2__0185-D11	209	poor	mixed	latin	single	good	gemini	printed body with handwriting on it	A few handwritten numbers/years are added above the typescript body.
0185-2__0185-D11	210	poor	print		mostly-image	good	gemini	print, graded poor	The page contains a photograph with minimal printed text in Hebrew and a URL/date in Latin characters.
0185-2__0185-D11	211	poor	handwriting	hebrew	single	good	transkribus	handwritten (hebrew)	Modern Hebrew handwriting in the bottom left corner of a mostly blank page.
0185-2__0185-D11	212	poor	mixed	latin	mostly-image	good	gemini	printed body with handwriting on it	A printed web page in Hebrew with a minor handwritten date annotation in Latin script.
0185-2__0185-D11	213	poor	mixed	latin	single	good	gemini	printed body with handwriting on it	Computer printout of a webpage with Hebrew text and several handwritten years in Latin script.
0185-2__0185-D11	214	poor	print		mostly-image	good	gemini	print, graded poor	Printout of a website page in Hebrew.
0185-2__0185-D11	215	poor	print		single	good	gemini	print, graded poor	A nearly blank page with modern Hebrew header/footer text and a faint bleed-through or watermark in the center.
0185-2__0185-D11	216	poor	mixed	latin	single	good	gemini	printed body with handwriting on it	A small handwritten date '1910' (or similar) is written above the main body of the typewritten text.
0185-2__0185-D11	217	poor	print		mostly-image	good	gemini	print, graded poor	This is a printout of a webpage in Hebrew from Givat Brenner.
0185-2__0185-D11	218	poor	print		single	good	gemini	print, graded poor	The document is a printed webpage in Hebrew from 2002.
0185-2__0185-D11	219	poor	print		mostly-image	good	gemini	print, graded poor	Modern Hebrew website screenshot printout.
0185-2__0185-D11	220	poor	print		mostly-image	good	gemini	print, graded poor	Printout of a web page in Hebrew.
0276-6__0276-D01	1	poor	handwriting	hebrew	single	good	transkribus	handwritten (hebrew)	The page contains Hebrew handwriting and a numeric date.
0276-6__0276-D02	2	mixed	mixed	latin	multi-column	good	gemini	printed body with handwriting on it	A newspaper clipping with handwritten notes in the margins and header.
0276-6__0276-D04	4	mixed	mixed	latin	montage	good	gemini	printed body with handwriting on it	Newspaper clipping with handwritten date and archival reference marks pasted on a sheet with a letterhead.
0276-6__0276-D04	5	mixed	mixed	latin	multi-column	good	gemini	printed body with handwriting on it	Newspaper clipping with handwritten date and reference numbers.
0276-6__0276-D04	6	mixed	mixed	latin	montage	good	gemini	printed body with handwriting on it	A newspaper clipping with handwritten date and reference numbers pasted onto a page with the city logo.
0276-6__0276-D04	7	mixed	mixed	latin	multi-column	good	gemini	printed body with handwriting on it	A newspaper clipping with date and issue number added by hand at the top.
0276-6__0276-D04	8	mixed	mixed	latin	montage	good	gemini	printed body with handwriting on it	Newspaper clipping with handwritten publication details on a letterhead sheet.
0276-6__0276-D04	9	clean	mixed	latin	montage	good	gemini	printed body with handwriting on it	A newspaper clipping with handwritten annotations and a printed letterhead.
0276-6__0276-D05	10	clean	mixed	latin	multi-column	good	gemini	printed body with handwriting on it	Main text is printed newspaper clipping in three columns; the header is a white-on-black handwritten or stylized graphic.
0276-6__0276-D06	11	mixed	typescript		single	good	gemini	typescript, graded mixed	Typewritten program flyer with a photograph and Yiddish/Hebrew text at the bottom.
0276-6__0276-D06	12	mixed	mixed		single	good	gemini	printed body with handwriting on it	Page contains large printed titles and center-aligned typescript body text.
0276-6__0276-D06	13	poor	print		mostly-image	good	gemini	print, graded poor	Illustrated map with street names and landmarks in German, and title in multiple languages.
0276-6__0276-D06	14	mixed	mixed	latin	single	good	gemini	printed body with handwriting on it	Typewritten text with a small handwritten 'X' mark in red ink and captions in multiple languages including Japanese, Arabic, and Chinese.
0276-6__0276-D06	15	mixed	mixed	latin	single	good	gemini	printed body with handwriting on it	The main body is typescript; the red underline is a handwritten annotation.
0276-6__0276-D06	16	mixed	typescript		mostly-image	good	gemini	typescript, graded mixed	The page includes typewritten text at the top and multi-language captions/place names at the bottom banner.
0276-6__0276-D06	17	mixed	mixed		mostly-image	good	gemini	printed body with handwriting on it	Features a mix of large display print, typewriter-style text, and multilingual text including Japanese, Arabic, and Chinese characters at the bottom.
0276-6__0276-D06	18	mixed	typescript		mostly-image	good	gemini	typescript, graded mixed	Text is typewritten with manual underlining; contains multiple languages in the footer.
0276-6__0276-D06	19	mixed	mixed		mostly-image	good	gemini	printed body with handwriting on it	A mix of decorative display type and standard typewriter text over a photograph.
0276-6__0276-D06	20	mixed	typescript	latin	single	good	gemini	typescript, graded mixed	The page includes typewritten text with a small handwritten mark (an X) and photographs with stylized printed captions at the bottom.
0276-6__0276-D06	21	mixed	mixed	latin	single	good	gemini	printed body with handwriting on it	Typescript main text with a small handwritten blue underline and an 'x' mark.
0276-6__0276-D06	22	mixed	typescript		mostly-image	good	gemini	typescript, graded mixed	Text appears to be from a typewriter; includes multi-language city name footer.
0276-6__0276-D06	23	mixed	mixed	latin	montage	good	gemini	printed body with handwriting on it	Typewritten text with handwritten marks and annotations; images at the bottom featuring multilingual captions.
0276-6__0276-D06	24	mixed	typescript		mostly-image	good	gemini	typescript, graded mixed	Typewritten itinerary with photos and a multilingual city name banner at the bottom.
0276-6__0276-D06	25	mixed	mixed	latin	single	good	gemini	printed body with handwriting on it	Typewritten text with small handwritten underlines and marks.
0276-6__0276-D06	26	poor	print		mostly-image	good	gemini	print, graded poor	A tourist map of Cologne (Köln) with street names and landmarks in print.
0276-6__0276-D06	27	mixed	typescript		single	good	gemini	typescript, graded mixed	Typewritten text above a montage of three photographs with captions in multiple languages.
0276-6__0276-D06	28	mixed	mixed	latin	single	good	gemini	printed body with handwriting on it	Typescript list of names with handwritten additions and underlining.
0276-6__0276-D09	39	mixed	print		two-column	good	gemini	print, graded mixed	A newspaper clipping with a handwritten-style header that is part of the printed masthead.
0276-6__0276-D09	40	mixed	mixed	latin	montage	good	gemini	printed body with handwriting on it	A newspaper clipping with a handwritten circle around the letterhead at the top.
0276-6__0276-D13	50	clean	typescript	latin	single	good	keep	clean print, Tesseract confidence 0.955	The typescript includes one minor strike-through and correction in handwriting on the second-to-last paragraph.
0276-6__0276-D13	51	clean	typescript		single	good	keep	clean print, Tesseract confidence 0.945	Page numbers - 2 - and - 3 - are present at the top and bottom of the page.
0276-6__0276-D13	52	clean	typescript		single	good	keep	clean print, Tesseract confidence 0.955	A clean typewritten page with standard alignment and clear characters.
0276-6__0276-D15	55	mixed	mixed	latin	two-column	good	gemini	printed body with handwriting on it	A newspaper clipping with handwritten source/date information at the bottom and some marginal markings.
0276-6__0276-D15	56	mixed	mixed	latin	multi-column	good	gemini	printed body with handwriting on it	A newspaper page with red ink handwritten underlining and marginalia in a modern Latin hand.
0276-6__0276-D15	57	mixed	print		multi-column	good	gemini	print, graded mixed	A newspaper page with five columns of text and a large central photograph.
0276-6__0276-D15	58	clean	mixed	latin	multi-column	good	gemini	printed body with handwriting on it	Newspaper clipping with handwritten date and note in the top left corner.
0276-6__0276-D15	59	clean	print		multi-column	good	keep	clean print, Tesseract confidence 0.894	Some words and sentences are underlined or marked with red ink.
0276-6__0276-D15	60	clean	print		multi-column	good	keep	clean print, Tesseract confidence 0.904	Page contains several newspaper columns and three photographs with captions.
0276-6__0276-D15	61	clean	print		multi-column	good	keep	clean print, Tesseract confidence 0.895	There are some small red handwritten marks and a vertical line on the right side.
0276-6__0276-D16	62	clean	typescript		single	good	keep	clean print, Tesseract confidence 0.956	A clean typewritten page with punch holes and a small stapler mark in the upper left corner.
0276-6__0276-D16	63	clean	mixed	latin	single	good	gemini	printed body with handwriting on it	Typewritten text with a small red handwritten mark in the left margin.
0276-6__0276-D16	64	clean	typescript		single	good	keep	clean print, Tesseract confidence 0.954	A clean, single-page typewritten document in German with page numbers 3 and 4 at the top and bottom centers respectively.
0276-6__0276-D16	65	clean	typescript		single	good	keep	clean print, Tesseract confidence 0.953	A clean typewritten page with page numbers 4 and 5 at the top and bottom respectively.
0276-6__0276-D16	66	clean	typescript		single	good	keep	clean print, Tesseract confidence 0.958	The page contains a horizontal line separator between the speech text and the descriptive summary.
0276-6__0276-D17	67	clean	typescript		single	good	keep	clean print, Tesseract confidence 0.956	A clean typewritten page of speech text.
0276-6__0276-D17	68	clean	typescript		single	good	keep	clean print, Tesseract confidence 0.953	A typewritten page numbered - 2 - containing a speech and a quoted letter from the Mayor of Haifa.
0422-3__0422-S07	108	mixed	print		multi-column	good	gemini	print, graded mixed	Newspaper page with several articles, photographs, and a logo with a Star of David.
0422-3__0422-S07	109	mixed	print		multi-column	good	gemini	print, graded mixed	Newspaper clipping with columns of text and a large photograph with caption.
0422-3__0422-S07	110	mixed	print		single	good	gemini	print, graded mixed	A single flyer or program page within a border, including a photograph of a musician.
0422-3__0422-S07	111	mixed	print		multi-column	good	gemini	print, graded mixed	Newspaper clipping with photos and multiple columns of printed text.
0422-3__0422-S07	112	clean	print		multi-column	good	keep	clean print, Tesseract confidence 0.916	Newspaper clipping with two photographs and a graphic logo.
0422-3__0422-S07	113	mixed	print		multi-column	good	gemini	print, graded mixed	Newspaper clipping with photos and captions.
0422-3__0422-S07	114	mixed	print		two-column	good	gemini	print, graded mixed	A newspaper clipping with a small handwritten 'X' in the top left corner.
0422-3__0422-S07	115	mixed	mixed		two-column	good	gemini	printed body with handwriting on it	The page consists of a mix of typeset print and typewriter text with a small section of musical notation.
0422-3__0422-S07	116	mixed	print		two-column	good	gemini	print, graded mixed	Page contains four sections of music notation with lyrics in German print.
0422-3__0422-S07	117	mixed	typescript		single	good	gemini	typescript, graded mixed	The page contains a single slash mark in the top left and some hole-punch marks on the left margin.
0422-3__0422-S07	118	clean	typescript		single	good	keep	clean print, Tesseract confidence 0.956	The page contains two consecutive page numbers, -2- and -3-, suggesting a continuous text block on a single sheet or a composite scan.
0422-3__0422-S07	119	clean	typescript		single	good	keep	clean print, Tesseract confidence 0.945	The page contains two page numbers, -3- and -4-, indicating it might be a composite of two original document pages or a layout choice.
0422-3__0422-S07	120	clean	typescript		single	good	keep	clean print, Tesseract confidence 0.955	A clean typewritten page with standard alignment.
0422-3__0422-S07	121	clean	typescript		single	good	keep	clean print, Tesseract confidence 0.949	Page 5 of a typewritten document with a signature slash at the top.
0422-3__0422-S07	122	mixed	print		multi-column	good	gemini	print, graded mixed	A newspaper clipping including a photograph and multiple columns of text.
0422-3__0422-S07	123	mixed	mixed	latin	montage	good	gemini	printed body with handwriting on it	Two newspaper clippings pasted onto a page with a handwritten date annotation in the center.
0422-3__0422-S07	124	clean	print		multi-column	good	keep	clean print, Tesseract confidence 0.929	Newspaper clipping with two large photographs and four columns of text.
0422-3__0422-S07	125	clean	print		two-column	good	keep	clean print, Tesseract confidence 0.938	A single newspaper clipping centered on the page.
0422-3__0422-S07	126	clean	print		two-column	good	keep	clean print, Tesseract confidence 0.935	Clipping of a newspaper article from Ulrich Wildermuth with headline 'Tag der Demut'.
0422-3__0422-S07	127	mixed	print		multi-column	good	gemini	print, graded mixed	A newspaper clipping with a photograph and a multi-column text article.
0422-3__0422-S07	128	clean	print		multi-column	good	keep	clean print, Tesseract confidence 0.939	A single newspaper clipping with a photograph and three columns of text; includes a minor handwritten underline.
0422-3__0422-S07	129	clean	print		multi-column	good	keep	clean print, Tesseract confidence 0.932	Newspaper clipping with a central photograph and caption.
0422-3__0422-S07	130	mixed	print		multi-column	good	gemini	print, graded mixed	Clean newspaper clipping with 1, 2, and 3 column layout sections.
0422-3__0422-S07	131	mixed	print		multi-column	good	gemini	print, graded mixed	The page is a newspaper layout with multiple articles and accompanying photographs.
0422-3__0422-S07	132	mixed	print		multi-column	good	gemini	print, graded mixed	Newspaper clipping with two main articles and an image with caption.
0422-3__0422-S07	133	clean	print		two-column	good	keep	clean print, Tesseract confidence 0.921	Standard newspaper layout with three articles across two columns.
0422-3__0422-S07	134	poor	print		multi-column	good	gemini	print, graded poor	Newspaper page with multiple columns, two illustrations, and punch holes at the top.
0422-3__0422-S07	135	mixed	print		multi-column	good	gemini	print, graded mixed	A full newspaper page containing multiple articles and several photographs with captions.
0422-3__0422-S07	136	mixed	print		multi-column	good	gemini	print, graded mixed	A newspaper page with multiple columns, an illustration, and a photograph.
0422-3__0422-S07	137	mixed	print		multi-column	good	gemini	print, graded mixed	Newspaper page with multiple columns, a headline, a small illustration, and one photograph.
0422-3__0422-S07	138	poor	print		multi-column	good	gemini	print, graded poor	Modern newspaper page layout with multiple columns, images, and headlines.
0422-3__0422-S07	139	poor	print		multi-column	good	gemini	print, graded poor	A newspaper clipping with four columns of text, a large headline, and an illustration and a photograph.
0422-3__0422-S07	140	poor	print		multi-column	good	gemini	print, graded poor	Newspaper page with a headline, multiple columns of text, a drawing, and a photograph of a memorial plaque.
0422-3__0422-S07	141	mixed	print		multi-column	good	gemini	print, graded mixed	Blackletter/Fraktur masthead with standard modern print for the body text.
0422-3__0422-S07	142	mixed	print		multi-column	good	gemini	print, graded mixed	A newspaper clipping with a large central photograph and multiple columns of text.
0422-3__0422-S07	143	clean	print		multi-column	good	keep	clean print, Tesseract confidence 0.922	A newspaper clipping with headlines, four columns of text, and a photograph with a caption.
0422-3__0422-S07	144	clean	print		multi-column	good	keep	clean print, Tesseract confidence 0.909	Clipping from a newspaper or magazine with three columns and a large central photograph with caption.
0422-3__0422-S07	145	mixed	print		multi-column	good	gemini	print, graded mixed	Text is organized in three main columns with a small inset box in the bottom left-center. A large photograph is at the top right.
0422-3__0422-S07	146	poor	print		multi-column	good	gemini	print, graded poor	Newspaper page with four columns and a headline.
0422-3__0422-S07	147	clean	print		two-column	good	keep	clean print, Tesseract confidence 0.922	A newspaper clipping about a memorial event in Schwäbisch Hall.
0422-3__0422-S07	148	clean	print		multi-column	good	keep	clean print, Tesseract confidence 0.929	A newspaper clipping with three columns and a large headline.
0422-3__0422-S07	149	mixed	mixed	latin	multi-column	good	gemini	printed body with handwriting on it	single newspaper clipping with minor handwritten corrections to the text
0422-3__0422-S07	150	mixed	print		montage	good	gemini	print, graded mixed	Two newspaper clippings pasted onto a backing sheet.
0422-3__0422-S07	151	clean	print		multi-column	good	keep	clean print, Tesseract confidence 0.945	A newspaper clipping with a photograph and three columns of text.
0422-3__0422-S07	152	mixed	print		mostly-image	good	gemini	print, graded mixed	The page consists of a large photograph and a two-column newspaper article below it.
0422-3__0422-S07	153	mixed	print		multi-column	good	gemini	print, graded mixed	A dense newspaper-style page with multiple columns, headlines, and photographs.
0422-3__0422-S07	154	mixed	mixed	latin	two-column	good	gemini	printed body with handwriting on it	A newspaper clipping with handwritten header and date.
0422-3__0422-S07	155	clean	print		multi-column	good	keep	clean print, Tesseract confidence 0.943	Text contains a three-column layout with a horizontal headline area; the third column is oriented vertically (rotated 90 degrees).
0422-3__0422-S07	156	mixed	print		two-column	good	gemini	print, graded mixed	Two separate newspaper articles on a single page, potentially a montage of clippings.
0422-3__0422-S07	157	mixed	print		two-column	good	gemini	print, graded mixed	A single newspaper clipping titled 'Stimme aus dem Leserkreis' centered on a blank page.
0422-3__0422-S07	158	mixed	print		multi-column	good	gemini	print, graded mixed	Newspaper clipping with five interviews including portraits.
0422-3__0422-S07	159	mixed	print		two-column	good	gemini	print, graded mixed	The page contains two distinct newspaper clippings pasted on a backing sheet.
0422-3__0422-S07	160	mixed	mixed	latin	montage	good	gemini	printed body with handwriting on it	Two newspaper clippings pasted onto a sheet with a handwritten date at the top.
0422-3__0422-S07	161	clean	print		three-column	good	keep	clean print, Tesseract confidence 0.94	The page is laid out in three columns with a header and a footer copyright notice.
0422-3__0422-S07	162	mixed	print		mostly-image	good	gemini	print, graded mixed	The page is a brochure cover with large print title and a photograph with an overlayed caption.
0422-3__0422-S13	242	mixed	typescript		two-column	good	gemini	typescript, graded mixed	Text appears to be produced by a typewriter alongside printed musical notation.
0422-3__0422-S13	243	mixed	mixed	latin	two-column	good	gemini	printed body with handwriting on it	Text is a mix of typescript and hand-drawn calligraphic display script.
0422-3__0422-S13	244	mixed	typescript		two-column	good	gemini	typescript, graded mixed	The document is a program flyer with a sans-serif typewriter font.
0422-3__0422-S13	245	mixed	print		multi-column	good	gemini	print, graded mixed	Clipping from a newspaper containing multiple articles and photos.
0422-3__0422-S13	246	mixed	mixed	latin	multi-column	good	gemini	printed body with handwriting on it	A newspaper clipping with a large handwritten annotation at the bottom.
0422-3__0422-S13	247	mixed	mixed	latin	form	good	transkribus	printed form completed by hand	Typewritten letter on a printed letterhead with a handwritten signature.
0422-3__0422-S13	248	mixed	mixed	latin	montage	good	gemini	printed body with handwriting on it	Document consists of a typewritten official letter with a signature, accompanied by a photograph of a large group of people.
0422-3__0422-S16	279	poor	handwriting	latin	single	good	transkribus	handwritten (latin)	Includes a line of Hebrew handwriting above the Latin name.
0422-3__0422-S16	280	mixed	mixed	latin	two-column	good	gemini	printed body with handwriting on it	Document contains a mix of typescript and hand-drawn calligraphic lettering for titles.
0422-3__0422-S16	281	mixed	typescript		two-column	good	gemini	typescript, graded mixed	Text appears to be typed with a typewriter on lined paper.
0422-3__0422-S16	282	mixed	mixed	latin	multi-column	good	gemini	printed body with handwriting on it	Newspaper page with a handwritten name and date at the top right; includes multi-column articles and photographs.
0422-3__0422-S16	283	mixed	print		multi-column	good	gemini	print, graded mixed	A three-column brochure layout with various event listings.
0422-3__0422-S16	284	mixed	print		multi-column	good	gemini	print, graded mixed	Three-column event program brochure layout.
0422-3__0422-S16	285	clean	print		multi-column	good	keep	clean print, Tesseract confidence 0.947	Page contains columns of printed text and one large illustrative graphic on the right.
0422-3__0422-S16	286	clean	print		multi-column	good	keep	clean print, Tesseract confidence 0.952	Three columns of printed text with numerical section headers; slight page curl at the left margin.
0422-3__0422-S16	287	clean	print		multi-column	good	keep	clean print, Tesseract confidence 0.954	Two-page spread with dense four-column printed text; columns 1 and 2 are on page 6, columns 3 and 4 are on page 3.
0422-3__0422-S16	288	clean	print		two-column	good	keep	clean print, Tesseract confidence 0.948	A double-page spread from a booklet showing numbered paragraphs 15 through 26.
0422-3__0422-S16	289	clean	mixed	latin	single	good	gemini	printed body with handwriting on it	Typewritten text with several handwritten corrections and date/header information in Latin script.
0422-3__0422-S16	290	clean	mixed	latin	single	good	gemini	printed body with handwriting on it	Typewritten text with a small handwritten correction and a signature at the bottom.
0422-3__0422-S16	291	clean	mixed	latin	two-column	good	gemini	printed body with handwriting on it	The page is a printed pamphlet with handwritten corrections and annotations in Latin script.
0422-3__0422-S16	292	mixed	mixed	latin	two-column	good	gemini	printed body with handwriting on it	Primarily printed text with small handwritten annotations (numerical and corrections) in Latin script.
0422-3__0422-S16	293	mixed	mixed	latin	two-column	good	gemini	printed body with handwriting on it	Typeset document with handwritten additions and annotations in Latin script.
0422-3__0422-S16	294	mixed	mixed	latin	two-column	good	gemini	printed body with handwriting on it	Typeset text with a handwritten name and comment in the left margin.
0422-3__0422-S16	295	mixed	mixed	latin	single	good	gemini	printed body with handwriting on it	Typewritten official letter with a large handwritten signature and some archival numerical notations in the margins.
