doc_id	page_no	label	chars	confidence	model_description	opening_text
0444-3__0444-D05	244	drop	5337	0.95	local history discussion	 Wo Wormser noch wissen, wie Worms einmal war Seit drei Jahren in der Volkshochschule: Senioren plaudern Erinnerungen aus B. - Einen kühlen Nachmittagsblick wirft die Sonne in den kleinen Vortragssaal der Wormser Kulturi
0444-3__0444-D05	241	drop	5174	1.00	sports page	Zweiter ₪ MAINZ. Als sichere Heimfavoriten M gehen die vier führenden Mann- ₪ schaften der Oberliga Südwest in die @ Meisterschafts-Rückrunde. ‚FK Pirmasens wird sich vom Ludwigshafener SC ebenso wenig das Konzept verder
0422-3__0422-S18	347	drop	4903	1.00	unrelated local news, weather, and business announcements	 Das „Loch“ von Diirrnastist aufgefiillt MAINHARDT (ast). Die Gemeinde Mainhardt hat am Samstagnachmitta einen Loschwasserbchalter für den Teilort Dürrnast seiner Bestimmung übergeben. Damit ist ein gefahrliches „Loch“ i
0444-3__0444-D05	243	drop	4890	0.95	article on historical society church visits	 Kunstwerke in den Kirchen Altertumsverein auch vom Alsheimer Rathaus beeindruckt Der Wormser Altertumsverein besuchte Osthofen, Alsheim und Bechtheim, wobei man sich vorwiegend für Kirchengebäude interessierte. Man sieh
0422-3__0422-S18	337	drop	4306	0.95	tourist map legend	Kurzlegende 3 Marktplatz: Ev. Pfarrkirche St. Michael. Turm 1156, aufgestockt um 1570, Langhaus und Chor 15./16. Jh.; Treppenan: lage 1507 mit 42 Stufen, verlängert auf 53 Stufen 1840. — Rathaus 1730-85 erbaut, 1945 ausg
0422-3__0422-S13	245	drop	4155	0.90	article about Philipp Jenninger, police report, start of Ora-et-labora article, and start of Ruprecht Eser article	tte es der Phili können, mal für ein paar Stunden „da- ipp i siben teil, ließ sich:in bester Laune den Hohenloher Dreispitz aufstülpen und setzte sich ne wo ge- terhielt er sich mit der juı ‏ו‎ Waldenburge Bürgermi äside
0444-3__0444-D05	225	drop	3669	1.00	unrelated news, vox populi on healthcare, and church guestbook	a Sy SSB ‏ה ה /ש‎ ₪ EER 3-4%/4460% 0000 3% 1 BEBBEBEUH n Jüngsten Vorschlägen zur Kostendämpfung im Gesundheitswesen? indern zu teiligung n auf die schränkt, der Arztit einem chen. ämtheit“, fort. Der rum wieven soll, oh
0422-3__0422-S18	319	drop	3478	1.00	city development and infrastructure updates	TE Auch im Freizeitbad Schenkensee haben die Bagger ihre Arbeit aufgenommen. Im April begann der Erdaushub für das geplante neue Außen- und für das Zielbecken, in das die 70 m lange Rutschbahn einmünden soll. Im Augenbli
0422-3__0422-S18	318	drop	3439	0.95	local infrastructure news	Um Verkehr ging es auch beim Ausbau der neuen Reifensteige, von dem ich Ihnen in meinem letzten Brief berichtete. Seit dem Monat November ist die Neue Reifensteige wieder für den allgemeinen Verkehr geöffnet und der Tunn
0444-3__0444-D05	244	drop	3382	0.95	local council meeting	 Straßen, Lampen und Bäume Der Horchheimer Ortsbeirat plädierte für mehr Nachtlampen Worms-Horchheim. - In der jüngsten Ortsbeiratssitzung ging es zu Beginn um die Instandsetzung von Straßen, wobei Ortsvorsteher Seiler i
0444-3__0444-D05	239	drop	3332	0.95	local news, accidents, police reports	TER DIESEM FENSTER in der Küche (Pfeil) lag der tote Hans Wagner drei Wochen. r ht angehobenen Rolladen hindurch (Fenster daneben) schob die 60jahrige Mitbewohnerin hgners den Polizeibeamten den Schlüssel zum Öffnen der 
0422-3__0422-S18	315	drop	3199	0.95	tourist guide description of local museums and exhibitions	a Noch nicht ganz abgeschlossen ist der Wiederaufbau von Baden-Württembergs ältestem genossenschaftlichem Getreidelagerhaus aus Kupferzell, das unmittelbar an der Bahnlinie in Wackershofen im Museumsgelände seinen neuen 
0444-3__0444-D05	229	drop	3116	0.95	report on a reception for MP Marie-Elisabeth Klee	 R. — An historischer Stätte, nahe beim. sonnenüberstrahlten Dom, trafen sich Europäer, um einer im europäisch-parlamentarischen Raum hochverdienten Frau zu danken, die sich im Europarat und in Gremien grenzüberschreiten
0444-3__0444-D05	231	drop	3098	1.00	advertisements and New Year greetings (irrelevant to Worms or Mannheimer)	" מ. מנשה (בטוחים) בע""מ דרך העצמאות 102 חיפה טל. 525871 ביטוח הוא שאלה של אמוז פנה לחבר התנועה ותזכה בשרות מעולה ומסור תנאים מיוחדים לחברי התנועה naa ‏שנה טובה‎ לחברי התנועה ולכל ‎ma‏ ישראל ברבת שנה טובה לקהילת ""אור חדש"" "
0422-3__0422-S18	342	drop	2989	0.95	city guide, walking tour and map text	 Wir biegen links in die Schwatzbühlgasse ®, überqueren die, nach dem Stadtbrand 1728 neu angelegte, „Neue Straße“ und die Straße „Am Spitalbach“ und gelangen zur Kornhausstraße. Das Spitalviertel ® wurde nach dem Stadtb
0422-3__0422-S18	341	drop	2913	0.95	city walking tour guide	Rundgang durch die Altstadt vir beginnen unseren Rundgang auf dem Marktplatz ( dem Stadtmittelpunkt seit der Stauferzeit. Vom Fisch oder Marktbrunnen aus blicken wir auf das Rathaus, das nach dem Stadtbrand von 1728 auf 
0444-3__0444-D05	244	drop	2897	0.95	theater preview	 AUF DER PROBE im „Kleine Goetz „Ingeborg“ wird gerade inszeniert Edith Schimanski, Christian Kollr 6 Was ist ein Leberfleckchen? Medizinisch betrachtet: eine Pigmentanhäufung. Psychologisch betrachtet: eine an Lebenssit
0422-3__0422-S18	353	drop	2818	1.00	various local advertisements	 13 x18 als Sofortkopie oder Nachbestellung vom Farbnegativ nur 24x36 mm -,79 PHOTO PORST ‘Am Milchmarkt - Schwäbisch Hall - Tel. 8777 Durchgehend von 8.30 Uhr bis 18.30 Uhr geöffnet. Bequemer Teilzahlungskauf ohne Anzah
0422-3__0422-S18	316	drop	2641	0.95	local news including election results and social services	 Das Jahr 1988 war wieder ein bewegtes. Im März fand die Landtagswahl statt, die Wahlbeteiligung betrug in Schwäbisch Hall 73 % und lag damit 7 % über dem Jahr 1984. Von den abgegebenen Stimmen entfielen auf die SPD 37,1
0444-3__0444-D05	229	drop	2579	0.95	article about bridge maintenance and closure	terwegs. Da überörtlich eine „Dauerhilfe“ nicht möglich ist, muß die ‚Wormser Polizei — unter Verzicht auf andere Aufgaben! — allein mit dieser mißlichen Situation fertig werden. Die Erklärungen des Baudezernenten in der
0444-3__0444-D05	243	drop	2562	0.95	local news briefs and birthdays	 Alsheim. - Zu einer Sitzung des Ortsgemeinderates ist für den 1. Juni um 20 Uhr in die Schule Alsheim eingeladen. Änderung des Bebauungsplanes Flur 18, die Genehmigung von überplanmäßigen Ausgaben und der Punkt Verschie
0444-3__0444-D05	243	drop	2259	0.95	article on military training grounds	 Gegen weiteres Ubungsuelinde ‘Riedgemeinden verhandeln allein mit den Amenkanern Bürstadt. Die weitere Waldbeanspruchung der US-Streitkräfte zur Errichtung eines Panzerübungsplatzes bei Lampertheim wurde wie in den bena
0444-3__0444-D05	229	drop	2112	0.95	article on regional public transit planning	 Raumordnungsverband erstrebi Nahschnellverkehr zwischen Stadten Fragen des öffentlichen Nahverkehrs stehen heute im Mittelpunkt der Verwaltungsratssitzung des Raumordnungsverbandes Rhein-Neckar in Ludwigshafen. Der Regi
0444-3__0444-D05	243	drop	1911	0.95	article on local political seminars	 Probleme des Riedes erörtert Seminarreihe der CDU soll im Herbst fortgesetzt werden Groß-Rohrheim/Biblis. - Probleme der Wasserbeschaffung im Ried, die Nutzung der Kernenergie und Fragen der Sanierung standen im Mittelp
0444-3__0444-D05	229	drop	1906	0.95	birthday tribute to Willy Neureuther and bridge article continuation	 4-ו 4 ₪0 2 ₪80 עפ heute 65 Jahre Ein im Beruf erfolgreicher Wormser Bürger, Inhaber zahlreicher Ehrenämter, vollendet heute das 65. Lebensjahr: reuther, Vorstands- Wormser Lagerhausund Speditions AG. Der Jubilar, der si
0444-3__0444-D05	243	drop	1885	0.95	article on kindergarten anniversary	 Bisher 368 Kinder betreut Die Kleinen erfreuten sich bei ihrem Fest durch Spiel und Tanz Hamm. - Mit „gefüllten“ Briefumschlägen kamen Verbandsbürgermeister Oswald und Ortsbürgermeister Arnold zum Kinderfest auf die Spi
0422-3__0422-S18	350	drop	1866	0.95	unrelated local news and advertisements	 Überstunden bei Irgel abgelehnt BUHLERTANN (-). Der Betriebs: rat der Ingel GmbH, Möbelfabrikkin erachtete Überstunden zu akzep- nachdem neben einem guten Auf tragseingang aus dem In- un land zusätzlich Aufträge zur Lie
0444-3__0444-D05	243	drop	1569	0.95	article on landfill safety	 Keine Grundwassergefährdung Fachinstitut bei Untersuchung der Deponie eingesetzt Lampertheim/Hofheim. Bad müsse die Kreis-Mülldeponie bei Hüttenfeld erweitert werden, da Recycling leider keine Alternative. darstelle. Da
0444-3__0444-D05	243	drop	1495	0.95	fire brigade annual report	 348 Einsatzstunden der Wehr Durch Löschfahrzeug Ausrüstung wesentlich verbessert Hofheim. Aus der Jahresrückschau der Feuerwehr geht hervor, daß im Vorjahr 16 Einsätze von den Hofheimer Spritzen- Männern bewerkstelligt 
0444-3__0444-D05	243	drop	1480	0.95	article on church community center	Gemeindehaus in der Planung Die kirchlichen Vereine sind auf neue Räume angewiesen Monzernheim. - Eine wichtige Aufgabe steht in der evangelischen Kirchengemeinde bevor, denn es geht um den Bau eines Gemeindehauses. In d
0422-3__0422-S18	345	drop	1348	0.95	article on a theater play reception	OB Binder zur Wiederauffiihrung des „Jedermann“ auf der Treppe: Eine Reverenz vor der Geschichte Wieder ein glanzvoller Premierenempfang im Großen Ratssaal SCHWABISCH HALL (Kk). Zum dem die Stadt Schwäbisch H Gäste in de
0444-3__0444-D05	229	drop	1269	0.95	police and crime reports	 Scheckfaischer betrügt Freund Beim Geld hörte die Freundschaft zwischen zwei jungen Türken in Worms jetzt auf. Der eine sparte von seinem Lohn, da er in Kürze in der Türkei seinen Wehrdienst antreten mu8, und der andere
0444-3__0444-D05	244	drop	1225	0.95	youth church service report	 „So Sind wir“ als Jugendgottesdienst AUS RUSSELSHEIM kam die Gruppe „Community“ mit Liedern und Texten. Als vor etwa einem Jahr eine neue Jugendgruppe in der Lukas-Gemeinde anfing, wurde u. a. der Wunsch laut, selbst ei
0276-6__0276-D06	11	drop	1204	0.95	program for Woche der Brüderlichkeit 1987 in Marburg	GESELLSCHAFT FÜR CHRISTLICH -JÜDISCHE ZUSAMMENARBEIT SCHIRMHERR: BUNDESPRÄSIDENT DR. RICHARD VON WEIZSÄCKER MARBURG/LAHN Mitglied im ₪ D 1 der Eröffnungsverans taltung der für christlich-jüdische Zusammenarbeit e.V. WOCH
0444-3__0444-D05	244	drop	1204	0.95	local association report	 fenen Jahr 1978 konnten insgesamt 1148 Besucher in der von der AW eingerichteten Altentagesstätte betreut werden. Dank ehrenamtlicher Mitarbeit von Hel-/ ferinnen der AW konnte diese stolze Besucherzahl arbeitsmäßig rei
0422-3__0422-S18	341	drop	1152	0.95	city walking tour guide and map legend	 Ein Patrizierwohnhaus ist auch Haus Nr. 5, es trägt d ppen der Familien Senft und Rinderbach, 1 Die Einmündung der Oberen Herrngasse in den Marktplatz begrenzt rechts nwerkhaus (Am Markt 2), zugemauerte im ersten Stock.
0422-3__0422-S18	342	drop	1050	0.95	city guide, walking tour	maligen Johanniterkommende ®. Der erste Bau entstand nach 1185, der zweite, dem die heutige Johanniterkirche entspricht, stammt aus dem 14. Jahrhundert. Nach der Reformation wurde die Komturei verlegt, die Kirche 1534 al
0422-3__0422-S13	245	drop	1039	0.85	continuation of Ora-et-labora article and interleaved continuation of Ruprecht Eser article	 in der ter Freizeit dem „Christ-Sein im Alltag‘‘ | ‏ה‎ Die Ova-et-labora-Woche findet 20. ‏ל‎ 18 Uhr, bis Soni mntag, 2% vember, 13 Uhr, statt. Sie kostet 80 Mark Verdiener und 60 Mark für Nichtverdient Anmeldungen werd
0444-3__0444-D05	227	drop	912	1.00	article on SPD proposal for youth employment in environmental protection	 Zum Beispiel: die Rekultivierung Einsatz von 15 bis 20 Jugendlichen im Umweltbereich / SPD beantragt Maßnahme für den Kreis OSTHOFEN. - Einen aktiven Beitrag zum Jmweltschutz und zur Verringerung der Juzendarbeitslosigk
0444-3__0444-D05	229	drop	894	0.95	local club and society notices	 הוושו Wormser Carnevalsgesellschaft Liederkranz: Heute, Dienstag, um 18.30 Uhr wichtige Zusammenkunft der Karnevalisten .in der Gaststätte „Zum Kirschgarten“. ; Deutsche Kakteengeselischaft: In der Zusammenkunft am Mitt
0444-3__0444-D05	243	drop	874	0.95	local politics brief	 Kommunale Zielsetzung Alsheim., Für die Erweiterung des Baugeländes setzte sich die Alsheimer CDU bei der Beratung über kommunale Aufgaben ein. Die Gestaltung im Sportplatzbereich sollte Möglichkeiten zu einer großzügig
0276-6__0276-D04	4	drop	809	0.95	continuation of carnival reception report	 Das... Eilemann-Trio mu rund zwei Stunden lang Tanz- und Schunkelstimmung. Oberstadtdirektor Kurt Rossa — im blutroten Jagdanzug — kündigte während des Programms die kölsche Liedermacherin Marie-Luise Nikuta an, die, vo
0444-3__0444-D05	242	drop	739	0.98	unrelated local news briefs	 wird er wie üblich fortgesetzt. Die Nachholstunde wird mit den Teilnehmern vereinbart. Hochheimer unterwegs Eine Halbtagesfahrt der evangelischen Gemeinde Worms-Hochheim wurde zu einem vollen Erfolg. Nach der Besichtigu
0444-3__0444-D05	229	drop	703	0.95	short report on special school locations	 Fußgönheim und Ladenburg Orte für Sonderschulen? Die Standortfrage einer Sonderschule für Körperbehinderte erörterten die Mitglieder des Ausschusses für Kultur und Bildung im Raumordnungsverband Rhein-Neckar. Die Vertre
0276-6__0276-D02	2	drop	667	0.95	article on a women's conference in Zurich (part 1)	 ICIW-Konferenz in Zürich Der Bund Schweizerischer Israelitischer Frauenvereine ist Gastgeber der 6. Europäischen Konferenz des International Council of Jewish Women (ICJW), die vom 25. bis 27. Mai 1986 in Zürich stattfi
0422-3__0422-S13	247	drop	649	0.95	irrelevant letter regarding potato storage in a former Jewish house	anzamt Künzelsau (Würft.) Künzelsau, den 14.Sept. prech- und Kassenstunden SASCHA Ste 24 von 8 bis 12 Uhr vormittags . Fernaprechnummer @ 8 Frau Ischedikonto Nr. 648 beim Posfsiheckamt Stuttgart Marie Sützle r) rgiro Nr,
0276-6__0276-D04	4	drop	631	0.95	carnival reception report	 Im Rathaus zwei Stunden Anlauf für den Zoch genommen Im Rathaus fand man kaum noch einen Stehplatz — wie in jedem Jahr hatte Oberbiirgermeister Norbert Burger „große und kleine Tiere“ eingeladen. Zwei Stunden vor dem ae
0422-3__0422-S18	345	drop	614	0.95	local news and excursions	 mpfang auf dem Haller Ra: Film und Verlosung beim Seniorenkreis SCHWABISCH HALL (-). Der Seniorenkreis der Diakonischen Be zirksstelle trifft sich morgen, Dieristag, 2. Juli, um 14.30 Uhr im Brenzhaus. Herr Schmid von d
0422-3__0422-S07	109	drop	564	0.95	au-pair advertisement (part 1)	 Au-pair-Stelle bei Epinal SCHWABISCH HALL (sha). Ein älteres Ehepaar in Bayon bei Epinal sucht fiir ein Jahr ein Au-pair- Madchen fiir den Haushalt. Zum Zwei-Personen-Haushalt gehört ein Hund, der von dem Paar sehr verw
0276-6__0276-D02	2	drop	529	0.95	article on a women's conference in Zurich (part 2)	 en werden sich mit den Themen der G i in der indearbeit”, „Die politische Erziehung der jüdischen Frauen” und „Die jüdische Frau in der Halacha beschäftigen. Ferner sind ein Begrüßungsempfang, eine Bootsfahrt auf dem Zü
0422-3__0422-S07	155	drop	529	0.95	letters to the editor boilerplate	© FORUM DER LESER Wer seine Meinung öffentlich äußert, sollte dazu auch stehen. Wir drucken daher die Zuschriften für das Forum der Leser nur mit vollem Namen und der Ortsangabe der Einsender ab. Anonyme Briefe werden se
0422-3__0422-S07	160	drop	523	0.95	newspaper boilerplate for reader's letters	 Jeder Leserbrief gibt die des Einsen- | - ders wieder. Uberei der Meinung der Bedaktion kann aus der ibe nicht abgeleitet werden. Leserbriefe können nur mit Namen und der Anschrift des Einsenders sie müssen von ihm unt 
0444-3__0444-D05	227	drop	523	1.00	sugar beet harvest and processing report	Wasser marsch! Vom großen Berg werden di geschwemmt. Neben dem Maschineneinsatz Handarbeit. Zuvor werden die Ladungen ind gröbsten Dreck befreit. Dank der trockene, bringen die Feldfrüchte nicht so viel Schmu Zuckergehal
0444-3__0444-D05	238	drop	523	1.00	cinema listings	 Roxy: 16, 18.15 und 20.30 Uhr ,,Das As der Asse” Europa: 15.30, 18 und 20.30 Uhr ,;Wer hat dem Affen den Zucker gegeben” 2 KW 1:15, 17, 19 und 21 Uhr ,,Bilitis”. © KW 2: 15, 17, 19 und 21 Uhr „Im ‏ל‎ ‎der Todeskralle” K
0444-3__0444-D05	228	drop	496	0.95	theater and cabaret reviews	wieder oer ‏100ע24011)2‎ des narrischen Quar- — tetts unter Leitung von Gregor Lehr. Nach dem Vortrag von Klaus Hartenbach über Politik, Bundesliga, Studenten und Fünfzehn Wormser in Israel: berten südländische Tänze auf
0444-3__0444-D05	243	drop	490	0.95	photo caption playground	 DER ABENTEUERSPIELPLATZ hinter der Osthofener Realschule ist jetzt wieder stark gefragt. Mehr Spielflachen werden allgemein im „Jahr des Kindes“ von allen Institutionen gefordert. Vor allem in Neubaugebieten mangelt es 
0444-3__0444-D05	243	drop	416	0.95	car accident report	 Gegen Mauer geprallt Biirstadt/Bobstadt. - Beim Abbiegen nach links von der Mannheimer Straße in die Frankensteinstraße im Bürstädter Stadtteil Bobstadt kam ein Pkw von der Fahrbahn ab, schleuderte über eine Verkehrsins
0444-3__0444-D05	244	drop	411	0.95	cinema advertisements	 Roxy: täglich 13.45, 15, 1815 und 20.30 Uhr „Louis unheimliche Begegnungen mit den Außerirdischen“ Arkaden: täglich 13, 15.30, 18 und 20.30 Uhr „Kampfstern Galactica“ — Samstag, 11 Uhr „Jerry der Bürotrottel“ — Sonntag 
0422-3__0422-S07	138	drop	371	0.90	OCR noise from image	 = =) = = ₪ 38 il valli ‘am 9. ₪ וש ‎ee‏ i il Hj ped | TAH | 1 et,“ un ME nl m Anl a ih ihr ‏ו‎ Hall i IH ui u ‏ו‎ eae Hi eae JM 7 He Ha | | a a Mi en ae plan a 0 a SERIE a 3 Phd a if iH 5 3 : ₪. le 0 i ‏ו | ו ופ ל‎ Pe u
0422-3__0422-S18	348	drop	354	0.95	local announcement	 ‚AWO bietet Erholung an der Nordsee WÄBISCH HALL (-). Die A, vohlfahrt Ortsverein beiter ding an der Nordsee. Si, Peter-Ording liegt nach einer / lung an der Nordseefolsteins im We: at einen der uropas g mit wei Bem fe 
0444-3__0444-D05	243	drop	348	0.95	photo caption kindergarten festival	 MUNTER GING es beim Kinderfest des Hammer Gemeindekindergartens zu. Auf der Wiese vor dem Gebaude war eine Bühne aufgebaut, wo die Kleinen mit tanzerischen Darbietungen und Spielen (rechts) die erwachsenen Gäste erfreut
0444-3__0444-D05	229	drop	340	0.95	ADAC ball announcement	 ו וי-וי מ .ב ה הש עב Noch Karten für ADAC-Ball Der ADAC Pfalz, der am 28. und 29. Januar zwei Winterbälle im Saalbau in Neustadt durchführt, hat für die Veranstaltung am Freitag noch Karten zu vergeben. Bestellungen sin
0422-3__0422-S16	282	drop	308	0.95	lecture announcement on Kirlian photography	 der Biophysiker und ew des Arbeits- und irlian Willi Franz, am en. 19. November, von ‚30 bis 12.30 Uhr über die Diagnose-Met- hode ',Kirlian-Fotografie‘‘. Die Kirlian-Foto- grafie ist ein Verfahren, durch das bioenerge-
0422-3__0422-S16	282	drop	251	0.95	continuation of lecture announcement	" sen sich bioenergetische Zustände der Zellverbände (Organe) darstellen und interpre- therapieren. Im Anschluß an den ""Vortrag wird der Referent von bereits angemeldeten ‚Vortragsteilnehmern Kirlian-Aufnahmen hen und die"
0422-3__0422-S18	337	chrome	237	0.90	publisher info	 Herausgeber: Stadt Schwäbisch Hall, Informations- und Kulturamt Plan und Gestaltung: atelier kub/H, Kubach Panoramakarte: Hans Wolf Druck: Druckerei ©. Mahl Printed in Fed. Rep. of Germany/Imprimé en Rep. Fed. d’llemagn
0422-3__0422-S07	140	drop	224	0.95	OCR noise / unreadable image matter	 ‎a?‏ ה ‎3 ih cl | ‎| id ii HH all ui, iti 0 , Im ‏ד‎ : | ot sn 3 1 ‏ו‎ ii af tl / in I I hi | 9 sl) i AH He ‎F | ‏וו זה וק‎ wii ‎05 ji Ih He Hi ‏ה‎ Ih ‏ו‎ N a 5 ‏ו‎ Hit ‏ו‎ ial i Fal ish F alae ER Hi . KIN | ‏ו‎ ‏וו ו‎
0422-3__0422-S16	282	drop	210	0.95	continuation of cinema announcement	 eines F Geworden ist daraus eine große Filmromanze mit intensiver Ausstrahlung: erotisch, heiter, anrührend. Die Kritik sagt: ein wundervoller Film, ein Meisterwerk. Der Film läuft im Holi, wo am ‏ו‎ um 14.30
0444-3__0444-D05	228	drop	202	0.95	interleaved theater/jazz review snippet	 und die kollektiven Moglichkeiten des scnwestern™ (Iheatergem. 4241-4770). — freien Musizierens im Jazz voll zu nutzen. Ausgedehnte Solopassagen verführten zudem den Saxophonisten, sich zu oft in den
0422-3__0422-S18	340	drop	189	0.95	map legend	0 Hallenbad / Freibad ₪ = ₪ Sehenswertes/Stadtrundgang DZ Fußgängerbereich/Fußwege Verlauf der Stadtmauer im Mittelalter (zum Teil noch erhalten) [J Parkplätze WC _ Toiletten (6ffentl.)
0444-3__0444-D05	237	drop	187	0.95	exhibition caption	Treibarbeiten in Gold, Silber, Kupfer, Emaillearbeiten in al und Intarsienarbeiten in Metall sind bis zum 27. Februar im Museumssaal zu sehen. Herbert und Margarete Glas stellen sie aus.
0422-3__0422-S07	134	drop	166	0.90	OCR noise from image features	 Eli: ii h Kay ‏ו‎ | i Hi i ine if a iy a Hl ‏ו ו‎ il qi i Ei at + IN! ce .-- ii i IH ‘i I ות a il ai lei tl i 1 i 2 ‏ה‎ ‏ו‎ ie ae = vite | ze ie 1 ‏ו‎ ‎ii
0422-3__0422-S07	137	drop	161	0.95	OCR noise	Te on at ft ii ‎i ‏ה‎ ay Hs ‎ih ku tal + 3 af 5 ‎hi, HR ii ini un ila ‎Hae ‎ape 0 In ‏וד‎ ‎il ‏ו ו‎ Hie qu WH | AR, iti Hak % Hi ‎ae cs i 1 ‏ו‎ I ‏ו‎ ‏ו‎ al
0422-3__0422-S07	146	chrome	153	1.00	page header and date	Seite 23 / Samstag, 12. November 1988 & as oc aa DG © = ₪ ox ST he - SE Ue 20 5 oo =o os 58 25 ‏ו‎ ‎QU ‎=e ‎°o ‏ב‎ ‎5% ‎== Nummer 263 / Haller Tagblatt
0422-3__0422-S16	282	drop	142	0.95	cinema announcement	 Neue Filme „Die unerträgliche Leichtigkeit des Seins“ Vor den dramatischen Ereignissen 1968 i in Prag ist die Liebes- und Lebensgeschichte
0422-3__0422-S07	141	chrome	109	0.95	newspaper masthead and date	ablatt „Reis Schwäbilcdh Fall £3385 A Einzelpreis 1.15 DM Erscheint werktäglich Freitag, 11. November 1988
0276-6__0276-D04	5	chrome	102	1.00	clipping service header and publication dateline	STADT KOLN Kölner Stadt-Anzeiger W238. 5.A9r . QUER DURCH KÖLN Kölner Stadt-Anzeiger — Nr. 124 / 16
0444-3__0444-D05	228	drop	102	0.95	theater program snippet	 Mittwoch: Großes Haus geschlossen. Kleines Haus, 20 Uhr, „August, August, August“ (Miete M rot 1( ee
0422-3__0422-S18	346	drop	99	0.95	street index and OCR noise	Reifenhof Di Riedener Tor E2 Ringstraße DI 13/4 | ו | ו ו ו ו ברה 1 בכר ו ו | Gotwoilshaueen
0422-3__0422-S07	138	drop	97	0.90	OCR noise from image	 Te ‏אל‎ ee ellis 1 1 Al i I iti} 8 ‏הת‎ We 0% 3 ny ₪ i 3 ‏ו‎ Hk i rit il 7 Bar zul hl Ny 5
0276-6__0276-D15	56	chrome	93	1.00	page header	Seite 10 / Dienstag, 2. Dezember 1986, Nr. 279 Die Gegenwart Frankfurter Allgemeine Zeitung
0276-6__0276-D15	57	chrome	93	1.00	newspaper masthead and date	Frankfurter Allgemeine Zeitung Die Gegenwart Dienstag, 2. Dezember 1986, Nr. 279 / Seite 11
0276-6__0276-D02	2	chrome	92	1.00	masthead, date, page number	7. Marz 1986 X Allg. Jüd-Ubo Ära, Gemeinden und Organisationen 11 5 ALLGEMEINE Nr. 41/10
0422-3__0422-S07	122	chrome	89	1.00	masthead	Nummer 264 / Haller Tagblatt = Aus Stadt und Kreis : Seite 19 / Montag, 14. November 1988
0422-3__0422-S18	347	chrome	82	0.95	page header and partial column text	Aus Stadt und Krei grund der St Mainhardtschloß Lochin der L6schwasserversorgung
