score	repo_id	repo	resource_id	title	creator	date	type_genre	genre	german	glang	emigre	return	home	personal	type	language	url
48	7	YIVO Institute for Jewish Research	527	Lucien Wolf and David Mowshowitch Papers	Wolf, Lucien, 1857-1930 | Mowshowitch, David, 1887-1957	1708-1963 | 1880-1930	1	3	9	6	2	0	1	2	World War, 1914-1918 -- Treaties | Diaries | Poems	eng | eng | eng | fre | ger | rus | yid | pol | heb | hun | The collection is in English, French, German, Russian, Yiddish, Polish, Hebrew, and Hungarian.	https://archives.cjh.org/repositories/7/resources/527
48	7	YIVO Institute for Jewish Research	531	Papers of Isaac Nachman Steinberg	Steinberg, Isaac Nachman, 1888-1957	1893-1968 | 1919-1956	1	4	12	2	5	1	0	1	Administrative reports | Correspondence | Diaries | Manuscripts (documents) | Minutes (administrative records) | Clippin	yid | yid | rus | pol | ger | eng | fre | heb | spa | dut | rum | ita | srp | hrv | cze | nor | swe | The collection is in Yiddish, Russian, Polish, German, English, French, Hebrew, Spanish, Dutch, Romanian, Italian, Serbian, Croatian, Czech, Norwegian, and Swedish.	https://archives.cjh.org/repositories/7/resources/531
47	7	YIVO Institute for Jewish Research	3219	Papers of Philip Friedman		1914-1993 | 1930-1960	0	2	10	2	19	2	0	1	Holocaust, Jewish (1939-1945) -- Bibliography | World War, 1939-1945 -- Personal narratives, Jewish | Administrative rep	yid | yid | heb | pol | eng | ger | fre | rus | ukr | ita | dut | spa | cze | dan | hun | rum | swe | hrv | The collection is in Yiddish, Hebrew, Polish, English, German, French, Russian, Ukrainian, Italian, Dutch, Spanish, Czech, Danish, Hungarian, Romanian, Swedish, and Serbo-Croatian.	https://archives.cjh.org/repositories/7/resources/3219
46	3	American Jewish Historical Society	1034	Records of the Grand Street Boys' Association	Grand Street Boy's Club (New York, N.Y.)	1921-2014 | 1940 -- 2000	0	1	1	0	1	5	1	0	Administrative records | Bylaws (administrative records) | Correspondence | Financial records | Minutes (administrative 	eng | Latn	https://archives.cjh.org/repositories/3/resources/1034
46	3	American Jewish Historical Society	13258	Raphael Lemkin Collection	Lemkin, Raphael, 1900-1959	undated, [1763]-2002 | undated, 1941-1951	0	3	6	1	7	2	0	0	Articles | Clippings (information artifacts) | Correspondence | Political posters | Proceedings (reports) | Research (do	eng | Latn | fre | Latn | heb | Hebr | ger | Latn | pol | Latn | rus | Cyrl | spa | Latn | swe | Latn | nor | Latn | lit | Latn | The collection is in English, French, Hebrew, German, Polish, Russian, Spanish, Swedish, Norwegian, and Lithuanian.	https://archives.cjh.org/repositories/3/resources/13258
46	3	American Jewish Historical Society	15552	Oscar I. Janowsky Papers	Janowsky, Oscar I. (Oscar Isaiah), 1900-1993	undated, 1916-1993 | undated, 1916-1993	1	12	5	0	0	2	0	0	Articles | Clippings files | Correspondence | Diaries | Memoirs | Personal correspondence | Research notes	eng | Latn | fre | Latn | ger | Latn | heb | Hebr | pol | Latn | yid | Hebr	https://archives.cjh.org/repositories/3/resources/15552
46	3	American Jewish Historical Society	972	American Jewish Historical Society Records		1883-2003 | 1892-2000	0	5	1	2	0	3	0	0	Audiocassettes | Clippings (information artifacts) | Correspondence | Financial records | Ledgers (account books) | Minu	eng | fre | ger | spa | yid | heb | The collection is in English, with some French, German, Spanish, Yiddish, and Hebrew.	https://archives.cjh.org/repositories/3/resources/972
45	7	YIVO Institute for Jewish Research	3283	Papers of Isaac A. Hourwich		1882-1924	0	6	0	2	1	3	0	0	Administrative reports | Correspondence | Financial records | Legal documents | Manuscripts (documents) | Memorandums | 	eng | eng | rus | yid | ger | fre | ita | The collection is in English, with some Russian, Yiddish, German, French, and Italian.	https://archives.cjh.org/repositories/7/resources/3283
44	3	American Jewish Historical Society	34	Adler Family Papers	Adler, Ellen, 1927- | Freed, Selwyn Z.	1893-1992 | 1920 -- 1977	0	1	1	2	1	5	0	1	Correspondence | Drawings (visual works) | Manuscripts (documents) | Clippings (information artifacts) | Photographs | P	yid | Hebr | eng | Latn | heb | Hebr | rus | Cyrl | ger | Latn | dut | Latn	https://archives.cjh.org/repositories/3/resources/34
44	7	YIVO Institute for Jewish Research	19910	Autobiographies of Jewish Youth in Poland	Kligsberg, Moshe | Weinreich, Max, 1894-1969 | Yidisher ṿisnshafṭlekher insṭiṭuṭ	1905-1940 | bulk 1932-1939	1	7	4	2	2	1	0	0	Autobiographies (literary works) | Diaries	yid | pol | ger | heb | eng | rus | hrv | fre | cze | The collection is in Yiddish, with some Polish, German, Hebrew, English, Russian, Serbo-Croatian, French, and Czech.	https://archives.cjh.org/repositories/7/resources/19910
44	7	YIVO Institute for Jewish Research	3613	Germany (Vilna Archives) Collection		1567-1945 | 1732-1938	0	4	237	3	21	0	1	7	Bylaws (administrative records) | Business records | Clippings (information artifacts) | Correspondence | Financial reco	ger | The collection is predominantly in German, with some Hebrew, Yiddish, Italian, French, and Hungarian (in approximate order of prevalence), as well as occasional items in English, Dutch, Polish, Bulgarian, Russian, Latin, Croatian, Czech, and Greek.	https://archives.cjh.org/repositories/7/resources/3613
44	7	YIVO Institute for Jewish Research	494	Papers of Shmuel Niger		1903-1962 | 1920-1955	0	9	1	4	4	2	0	0	Certificates | Correspondence | Manuscripts (documents) | Clippings (information artifacts) | Photographs | Scrapbooks	yid | yid | eng | heb | ger | rus | spa | fre | The collection is in Yiddish and English with some Hebrew, German, Russian, Spanish, and French.	https://archives.cjh.org/repositories/7/resources/494
43	3	American Jewish Historical Society	15567	Colonel Seymour J. Pomrenze Papers	Pomrenze, Seymour J.	undated, 1809-2009 | 1979 -- 1999	0	0	4	0	2	3	0	0	Records surveys | Correspondence | Minutes (administrative records) | Business records	eng | Latn | dut | Latn | ger | Latn | heb | Hebr | yid | Hebr	https://archives.cjh.org/repositories/3/resources/15567
43	3	American Jewish Historical Society	37	Morris U. Schappes Papers		1891-2004 | 1940 -- 1990	0	3	0	2	0	3	0	0	Cards (information artifacts) | Clippings (information artifacts) | Correspondence | Drafts (documents) | Legal document	eng | Latn | yid | Hebr | rus | Cyrl | heb | Hebr | ger | Latn | fre | Latn | The collection is in English, with some materials in Yiddish. A few items are in Russian, Hebrew, German, and French.	https://archives.cjh.org/repositories/3/resources/37
43	7	YIVO Institute for Jewish Research	21266	Malka Lee and Aaron Rappaport Papers	Lee, Malka (Leopold-Rappaport, Malke), 1904-1976	1916 -- 2011 | 1925 -- 1970	0	2	4	5	1	2	0	0	Photographic prints	eng | Latn | yid | Hebr | pol | Latn | ger | Latn | rus | Cyrl | Collection is primarily in Yiddish, with some materials in English, German, Polish, and Russian.	https://archives.cjh.org/repositories/7/resources/21266
42	3	American Jewish Historical Society	15651	Ray Frank Litman (1861-1948) Papers	Litman, Ray Frank, 1864 or 1865-1948	undated, 1879-1957	0	3	4	1	0	2	0	1	Clippings (information artifacts) | Correspondence | Manuscripts (documents) | Programs (documents) | Scrapbooks | Sermo	eng | Latn | ger | Latn | The collection is primarily in English, with some German.	https://archives.cjh.org/repositories/3/resources/15651
42	6	Yeshiva University Museum	61	Papers of Ludwig Yehuda Wolpert		1927-1995	0	5	9	1	0	2	0	1	Clippings (information artifacts) | Correspondence | Photographs | Publications (documents) | Works of art	eng | eng | heb | ger | The collection is in English, Hebrew, and German.	https://archives.cjh.org/repositories/6/resources/61
41	3	American Jewish Historical Society	13255	Papers of Seixas Family	Seixas family	undated, 1746-1911, 1926, 1939	0	1	0	0	2	3	0	2	Prayer books | Administrative records | Annual reports | Announcements | Clippings (information artifacts) | Financial r	eng | Latn | heb | Hebr | fre | Latn | English, Hebrew, and French.	https://archives.cjh.org/repositories/3/resources/13255
40	7	YIVO Institute for Jewish Research	20873	Papers of Nachman Blumental	Blumenthal, Nachman	1901-1983 | 1940s-1970s	0	5	14	3	31	1	0	0	Newspaper clippings | Manuscripts (documents) | Correspondence | Poems	yid | pol | ger | heb | fre | rus | eng | ukr | bak | spa | The collection is predominantly in Yiddish, Polish, German, Hebrew, with some  French, Russian, English, as well as individual items in Ukrainian, Bashkir, and Spanish.	https://archives.cjh.org/repositories/7/resources/20873
40	7	YIVO Institute for Jewish Research	3596	Papers of Maxim Vinawer	Vinaver, M. (Maksim), 1862 or 1863-1926	1914-1926	0	3	3	2	7	1	0	1	Correspondence | Official documents | Newspapers | Affidavits | Drafts (documents) | Minutes (administrative records) | 	rus | rus | fre | ger | eng | pol | yid | The collection is in Russian with some  French, German, English, Polish and Yiddish.	https://archives.cjh.org/repositories/7/resources/3596
39	7	YIVO Institute for Jewish Research	21242	Kehillat Haharedim Records	Kehillat Haharedim (France)	1935 -- 1968	0	1	2	2	3	2	0	0		fre | eng | heb | yid | ger | Materials are mainly in French, with some German, Yiddish, Hebrew, Russian, and English.	https://archives.cjh.org/repositories/7/resources/21242
39	7	YIVO Institute for Jewish Research	3244	Displaced Persons Camps and Centers Photograph Collection		circa 1920s-1959 | 1945-1952	0	0	100	2	36	2	0	0	Photograph albums | Photographs	yid | yid | eng | heb | ger | pol | Inscriptions on the versos of photographs, and occasional textual materials are in Yiddish, English, Hebrew, German, and Polish.	https://archives.cjh.org/repositories/7/resources/3244
38	3	American Jewish Historical Society	15570	Louis Lipsky Papers		1898-1976	0	3	6	4	2	1	0	0		eng | eng | Latn | yid | Hebr | heb | Hebr | ger | Latn | The collection is in English, Yiddish, Hebrew, and German.	https://archives.cjh.org/repositories/3/resources/15570
38	3	American Jewish Historical Society	19722	Papers of Lucy S. Dawidowicz	Dawidowicz, Lucy S.	undated, 1936-1990	0	12	4	2	22	1	0	0		eng | Latn | heb | Hebr | yid | Hebr | ger | Latn | fre | Latn | pol | Latn | This collection is in English, Hebrew, Yiddish, German, French, and Polish.	https://archives.cjh.org/repositories/3/resources/19722
38	7	YIVO Institute for Jewish Research	3247	Papers of Leo W. Schwarz		1940-1954	0	4	33	2	17	1	0	0	Administrative reports | Correspondence | Financial records | Lists (document genres) | Manuscripts (documents) | Maps (	eng | eng | ger | heb | yid | The collection is in English, with some German, Hebrew and Yiddish.	https://archives.cjh.org/repositories/7/resources/3247
38	7	YIVO Institute for Jewish Research	491	Records of the American Jewish Committee Paris Office (FAD-41) Files		1938-1969 | 1946-1963	0	1	3	1	6	1	1	0	Clippings (information artifacts) | Correspondence | Memorandums | Publications (documents) | Reports | Speeches (docume	eng | eng | fre | ger | The bulk of this collection is in  English,  French, and  German.	https://archives.cjh.org/repositories/7/resources/491
37	7	YIVO Institute for Jewish Research	3578	Shanghai Collection		1924-1950 | 1939-1948	0	2	13	4	7	1	0	0	Jews -- Music | World War, 1939-1945 -- Personal narratives, Jewish | Maps (documents) | Archival materials	ger | ger | eng | rus | fre | yid | jpn | chi | pol | lit | yid | The collection is primarily in German, English, and Russian. Some documents are in French, Yiddish, Japanese, Chinese, Polish, and Lithuanian. Some items are annotated in Yiddish.	https://archives.cjh.org/repositories/7/resources/3578
36	4	American Sephardi Federation	3622	Guide to the Papers of John Stern	Stern, John, 1926-1987	1924-2013 | 1945-1990	1	3	4	0	1	0	1	0	Diaries | Notebooks | Notes (documents) | Pamphlets | Publications (documents) | VHS	eng | eng | fre | spa | The collection is in English, French, and Spanish.	https://archives.cjh.org/repositories/4/resources/3622
36	4	American Sephardi Federation	3671	Guide to the Tamar Morad, Dennis and Robert Shasha Collection of Iraqi Jewish Oral Histories	Shasha, Robert	circa 1900, 1930s-2007 | 2003-2007	1	10	1	0	4	1	0	0	Interviews | Memoirs | Photographs | Poems | Sound recordings | Transcripts	eng | eng | heb | fre | spa | ara | The collection is in English and Hebrew, with a few items in French and Spanish and reproductions of two documents in Arabic.	https://archives.cjh.org/repositories/4/resources/3671
36	7	YIVO Institute for Jewish Research	20963	The Hersch Wasser Collection		1939-1949	0	5	5	0	9	1	0	1		yid | Hebr | pol | Latn | rus | Cyrl | ger | Latn	https://archives.cjh.org/repositories/7/resources/20963
35	3	American Jewish Historical Society	12498	Raphael Family Papers	Raphael, Aaron	Undated, 1916-1950 | 1920 -- 1930	1	1	0	0	0	2	0	2	Correspondence | Business letters | Pamphlets | Photographs	eng | Latn | heb | Hebr	https://archives.cjh.org/repositories/3/resources/12498
35	3	American Jewish Historical Society	1576	Bernard G. Richards Papers	Richards, Bernard G.	undated, 1820, 1868, 1895-1996, 1999	1	5	2	1	0	1	0	0	Speeches (documents) | Articles | Correspondence | Invitations | Memoirs | Memorandums | Minutes (administrative records	eng | Latn | ara | Arab | chi | Hani | dut | Latn | fre | Latn | ger | Latn | gre | Grek | heb | Hebr | ita | Latn | pol | Latn | rus | Cyrl | spa | Latn | yid | Hebr	https://archives.cjh.org/repositories/3/resources/1576
35	3	American Jewish Historical Society	195	Records of the American Association for Ethiopian Jews (AAEJ)	American Association for Ethiopian Jews	undated, 1960-1961, 1963, 1965-1968, 1970-1995, 2001-2002	0	6	0	0	6	2	0	0	Affidavits | Articles | Artifacts (object genre) | Audiocassettes | Books | Broadsides (notices) | Brochures | Buttons (	eng | Latn | amh | Ethi | chi | Hani | fre | Latn | heb | Hebr | pol | Latn | spa | Latn | yid | Hebr	https://archives.cjh.org/repositories/3/resources/195
35	7	YIVO Institute for Jewish Research	22440	Records of the Piotrkov Trybunalski Relief Association	Piotrkov Trybunalski Relief Association (New York, N.Y.)	1941, 1957-1978, 2002	0	2	1	0	6	2	0	0		eng | yid | heb | pol	https://archives.cjh.org/repositories/7/resources/22440
35	7	YIVO Institute for Jewish Research	22505	Papers of Leon (Lazar) Ajces		1933-1960s	0	0	4	0	2	2	0	1		pol | eng | rus	https://archives.cjh.org/repositories/7/resources/22505
35	7	YIVO Institute for Jewish Research	22568	Raphael Abramovich Collection	Abramovitch, Raphael R., 1880-1963	undated, 1906-1972,1988, 2010	0	0	4	0	3	2	0	0		yid | Hebr | rus | Cyrl | eng | Latn | ger | Latn | fre | Latn | pol | Latn | dan | Latn	https://archives.cjh.org/repositories/7/resources/22568
35	7	YIVO Institute for Jewish Research	3278	Morris Rosenfeld Papers	Rosenfeld, Morris, 1862-1923	1888-1967	0	5	2	4	0	0	1	3	Photographic prints | Sheet music	yid | yid | eng | ger | The collection is in Yiddish, English, and German.	https://archives.cjh.org/repositories/7/resources/3278
35	7	YIVO Institute for Jewish Research	3279	Israel Cohen Papers	Cohen, Israel, 1879-1961	1906-1961	0	2	11	2	3	1	0	0	Clippings (information artifacts) | Manuscripts (documents)	eng | eng | ger | fre | heb | pol | yid | The collection is in English, German, French, Hebrew, Polish, and one document in Yiddish.	https://archives.cjh.org/repositories/7/resources/3279
34	3	American Jewish Historical Society	197	Abraham Klausner Papers		1942-2002	0	6	19	0	15	1	0	0	Correspondence | DVDs | Manuscripts (documents) | Minutes (administrative records) | Clippings (information artifacts) |	eng | Latn | yid | Hebr | ger | Latn | heb | Hebr | fre | Latn	https://archives.cjh.org/repositories/3/resources/197
34	3	American Jewish Historical Society	2816	Joseph Shubow Collection	Shubow, Joseph Shalom	1900-1979 | 1934 -- 1969	0	4	5	0	6	1	0	0	Correspondence | Manuscripts (documents) | Photographs | Official documents | Clippings (information artifacts) | Artifa	ger | Latn | eng | Latn | yid | Hebr | heb | Hebr | arm | Armn	https://archives.cjh.org/repositories/3/resources/2816
34	7	YIVO Institute for Jewish Research	19902	Records of the Farband fun di Yidishe Studentn Fareynen in Daytshland (Verband Jüdischer Studentenvereine in Deutschland; Union of Jewish Student Associations i	Verband Jüdischer Studentenvereine in Deutschland	1913-1917, 1920-1939 | 1920-1930	0	7	113	2	1	1	0	0	Administrative records | Announcements | Bylaws (administrative records) | Correspondence | Financial records | Membersh	mul | yid | ger | rus | The collection is predominantly in Yiddish, German, and Russian, with some Hebrew and Polish, occasional items in French, and one item each in Hungarian and Latvian.	https://archives.cjh.org/repositories/7/resources/19902
34	7	YIVO Institute for Jewish Research	3218	Records of the Displaced Person Camps and Centers in Germany		1945-1952	0	1	24	3	19	1	0	0	Administrative reports | Correspondence | Financial records | Lists (document genres) | Minutes (administrative records)	yid | yid | yid | ger | eng | heb | The collection is in Yiddish, German, English, and Hebrew, in order of prevalence. Some Yiddish items are printed in Latin characters.	https://archives.cjh.org/repositories/7/resources/3218
34	7	YIVO Institute for Jewish Research	3594	Adelebsen Jewish Community Records	Adelebsen Jewish community	circa 1775, 1830-1917 | 1832-1917	0	5	22	2	1	1	0	0	Rabbis -- Correspondence | Correspondence | Financial records | Minutes (administrative records) | Receipts (financial r	ger | ger | yid | heb | The collection is in German, with very occasional use of Yiddish or Hebrew.	https://archives.cjh.org/repositories/7/resources/3594
34	7	YIVO Institute for Jewish Research	546	Eliyahu Guttmacher Papers	Guttmacher, Elijah, 1796-1874	1828-1908, 1958 | 1847-1874	0	6	6	2	0	1	0	1	Correspondence | Financial records | Kvitlekh	heb | heb | yid | ger | fre | Hebrew, Yiddish, German, and French.	https://archives.cjh.org/repositories/7/resources/546
33	3	American Jewish Historical Society	13256	Board of Delegates of American Israelites Records		1859-1881, 1887, 1932	0	2	9	2	2	1	0	0	Surveys (documents) | Questionnaires | Correspondence	yid | Hebr | fre | Latn | ger | Latn | heb | Hebr | rum | Latn | spa | Latn | eng | Latn | The collection is in English, Yiddish, French, German, Hebrew, Romanian, and Spanish.	https://archives.cjh.org/repositories/3/resources/13256
33	3	American Jewish Historical Society	18303	Molly Picon, papers		undated, 1877-1971	0	0	1	2	3	2	0	0		eng | Latn | yid | Hebr | fre | Latn | ger | Latn | ita | Latn | pol | Latn | rom | Latn | rus | Cyrl | spa | Latn | The collection is in English, Yiddish, French, German, Italian, Polish, Romanian, Russian, and Spanish.	https://archives.cjh.org/repositories/3/resources/18303
32	3	American Jewish Historical Society	15652	Moses Family of New York Papers	Moses family	undated, 1767-1941, 1971	1	3	1	0	0	1	0	1	Newspaper clippings | Clippings (information artifacts) | Biographies (literary works) | Receipts (financial records) | 	eng | Latn | heb | Hebr | The collection is in English with some Hebrew.	https://archives.cjh.org/repositories/3/resources/15652
32	3	American Jewish Historical Society	6427	Myer S. Isaacs (1841-1904) Collection		undated, 1844, 1851-1925	0	6	5	0	2	1	0	0	Citizenship papers | Clippings (information artifacts) | Correspondence | Documents (object genre) | Funeral books | Gen	eng | Latn | fre | Latn | The collection is in English and French.	https://archives.cjh.org/repositories/3/resources/6427
32	3	American Jewish Historical Society	6485	Milton Steinberg (1903-1950) Papers	Steinberg, Milton, 1903-1950	undated, 1883-2003 | 1923-1950	0	1	1	0	1	2	0	2	Rabbis -- Correspondence | Armed Forces -- Prayers and devotions | Manuscripts (documents) | Articles | Correspondence |	eng | Latn | heb | Hebr | The collection is in English with some Hebrew.	https://archives.cjh.org/repositories/3/resources/6485
32	3	American Jewish Historical Society	6733	Morris “Moe” Berg Papers	Berg, Moe, 1902-1972	undated, 1924-1972 | 1930 -- 1960	0	1	8	0	0	2	0	0	Correspondence | Receipts (financial records) | Articles | Coin purses | Baseball cards	eng | Latn | ger | Latn | ita | Latn | jpn | Jpan | fre | Latn	https://archives.cjh.org/repositories/3/resources/6733
32	7	YIVO Institute for Jewish Research	20952	Papers of Rabbi René Hirschler		1943-03 -- 1943-12	0	5	3	0	2	1	0	0		fre	https://archives.cjh.org/repositories/7/resources/20952
32	7	YIVO Institute for Jewish Research	3246	Displaced Persons Camps and Centers Poster Collection		1920-1926, 1939, 1946-1959, undated | 1946-1952	0	1	55	2	22	1	0	0	Posters | Paintings (visual works) | Printed ephemera	yid | yid | ger | heb | eng | rum | pol | ita | hun | rus | fre | arc | The collection is predominantly in Yiddish (approximately three-quarters), with some German and Hebrew, and scattered items in or using English, Romanian, Polish, Italian, Hungarian, Russian, French, or Aramaic.	https://archives.cjh.org/repositories/7/resources/3246
32	7	YIVO Institute for Jewish Research	3577	Nachman Zonabend Collection	Zonabend, Nachman	September 1939-August 1944, 1945, 1947	0	1	35	2	43	1	0	0	Circulars (fliers) | Albums (books) | Photographs	pol | pol | ger | yid | The collection is in Polish, German, and Yiddish.	https://archives.cjh.org/repositories/7/resources/3577
31	3	American Jewish Historical Society	15591	Phillips Family papers	Phillips family	undated, 1752, 1758-1955	0	5	2	1	0	0	1	5	Ballots | Bylaws (administrative records) | Certificates | Correspondence | Financial records | Invitations | Legal docu	eng | Latn | yid | Hebr | heb | Hebr | The collection is in English, Yiddish, and Hebrew.	https://archives.cjh.org/repositories/3/resources/15591
31	4	American Sephardi Federation	186	Zeva Oelbaum Photographs	Oelbaum, Zeva	1976	0	1	0	0	0	2	1	0	Photographs	eng | eng | The collection is in English.	https://archives.cjh.org/repositories/4/resources/186
31	7	YIVO Institute for Jewish Research	20783	Papers of Esther Lurie	Lurie, Esther	1912 -- 1955	0	0	4	0	1	2	0	0		eng | yid | heb | lit | ger	https://archives.cjh.org/repositories/7/resources/20783
31	7	YIVO Institute for Jewish Research	3242	Records of the Displaced Person Camps and Centers in Italy		1945-1955	0	0	11	3	18	1	0	0	Administrative reports | Correspondence | Financial records | Lists (document genres) | Minutes (administrative records)	yid | yid | ita | eng | heb | ger | fre | pol | rum | The collection is in Yiddish, Italian, English, Hebrew, German, French, Polish and Romanian in order of prevalence. Some Yiddish items are printed in Latin characters.	https://archives.cjh.org/repositories/7/resources/3242
31	7	YIVO Institute for Jewish Research	3524	Papers of Berthold Jeiteles		1942-1946	0	0	5	1	1	1	1	0	Albums (books) | Correspondence | Genealogical tables | Ration coupons	ger | eng | The collection is in German, Hebrew, and Czech. A scrapbook contains captions in English.	https://archives.cjh.org/repositories/7/resources/3524
