score	repo_id	resource_id	title	origination	birth	death	max_year	birthplace	type_genre	genre_prose	ret_de	born_de	heimat	palestine_hit	ce_return_hit	german_places	emigre	langmaterial	geognames	genreform	snippet	url
48	3	15651	Ray Frank Litman (1861-1948) Papers	Litman, Ray Frank, 1864 or 1865-1948	1865	1948	1957	unknown	0	3	2	0	0	0	0	2	0	The collection is primarily in English, with some German.	Champaign (Ill.) | Chicago (Ill.) | Nevada | Oakland (Calif.) | San Francisco (Calif.) | Spokane (Wash.)	clippings (information artifacts) | Correspondence | manuscripts (documents) | programs (documents) | Scrapbooks | Sermons | speeches (documents)		https://archives.cjh.org/repositories/3/resources/15651
43	3	15591	Phillips Family papers	Phillips family			1955	german	1	12	0	1	0	0	0	1	0	The collection is in English, Yiddish, and Hebrew.	New York (State) -- Politics and government | New York (State) | Philadelphia (Pa.)	Ballots | Bylaws (administrative records) | Certificates | Correspondence | Financial records | Invitations | Legal documents | Minutes (administrative records) | clippings (information artifacts) | N	ollection. Jonas Phillips (1736-1803) fought in the American Revolutionary War. Born in Germany, he was one of the first Jewish individuals to settle in the U.S. The collection includes Phillips's prayerbook, dated to the mid-1700's, as well as a soldier's pay note. Though he was active in syna	https://archives.cjh.org/repositories/3/resources/15591
43	7	21043	Bruckheimer Family Papers				1977	german	0	6	0	1	0	0	0	3	0	German English			Biographical / Historical These papers were donated by Max Bruckheimer, who was born c. 1903 in Wertheim/Main, Germany. In 1923 he obtained a merchant license to work in the business of his father, Isak. He left Germany in August 1939 after obtaining a U.K. entry visa. He settled in New York City in Jun	https://archives.cjh.org/repositories/7/resources/21043
37	3	15652	Moses Family of New York Papers	Moses family			1971	german	0	34	0	1	0	0	0	1	0	The collection is in English with some Hebrew.	United States -- History -- Civil War, 1861-1865 -- Jews | New York (N.Y.) | Philadelphia (Pa.) | Madras (India : District) | Kolkata (India)	Newspaper clippings | clippings (information artifacts) | Biographies (literary works) | Receipts (financial records) | personal correspondence | Diaries | Correspondence | Scrapbooks | Photographs	"prominent Jewish family since the American Revolution. Isaac Moses (1742-1818). born in Giessen, Germany, moved to New York in 1764. In 1766 he became a ""freeman"" of New York City. He worked in his uncle, Hayman Levy's, mercantile firm until he established Isaac Moses and Company with two business partn"	https://archives.cjh.org/repositories/3/resources/15652
37	4	189	Walter P. Zenner Papers	Zenner, Walter P.			2001	german	0	5	0	1	0	0	0	1	0	This collection is in English and Hebrew.			Biographical Note Walter P. Zenner was born on 18 October, 1933 in Nuremberg, Germany. He graduated in 1955 with B.A. in Anthropology from Northwestern University. In 1958 he received an M.A. in Anthropology from Columbia University, and in 1960, he earned an M.H.L in Judaica from the	https://archives.cjh.org/repositories/4/resources/189
36	7	21639	Papers of Rudolf Martin Cheim	Cheim, Rudolf Martin, 1905-			1948	german	0	1	0	1	0	0	0	2	8	English		Identity cards | Postcards | photographic prints	Biographical / Historical Rudolf Martin Cheim was born in 1905 in Berlin. At the time of the Holocaust, he was living in Amsterdam. During the Holocaust, he was incarcerated in a series of camps, including Westerbork, Trobitz, and ultimately Bergen-Belsen. In Bergen-Belse	https://archives.cjh.org/repositories/7/resources/21639
36	7	22531	Papers of Channa Kleinerman Goldstein				1987	german	0	2	0	1	0	0	0	2	0	Yiddish English			a Kleinerman Goldstein was a translator of Hebrew, German, and Yiddish. She was born in Dresden and educated at New York University and the Herzliya Hebrew Teachers Seminary. She translated, together with Inna Hecker Grade, a memoir of Chaim Grade's, My Mother's Sabbath Days , as well as his sh	https://archives.cjh.org/repositories/7/resources/22531
35	3	15533	Marvin Lowenthal, papers	Lowenthal, Marvin, 1890-1969	1890	1969	1959	unknown	0	8	1	0	0	1	0	3	2	The collection is in English, French, German, and Yiddish.	Germany | United States -- Relations	Correspondence | Diaries | Drafts (documents) | Journals | Memorabilia | Notes (documents) | Photographs | Reviews (documents) | Typescripts		https://archives.cjh.org/repositories/3/resources/15533
34	7	22619	Papers of Mordechai Bernstein				1949	unknown	0	1	1	0	0	0	0	7	0	German				https://archives.cjh.org/repositories/7/resources/22619
31	7	19910	Autobiographies of Jewish Youth in Poland	Kligsberg, Moshe | Weinreich, Max, 1894-1969 | Yidisher ṿisnshafṭlekher insṭiṭuṭ	1894	1969	1940	unknown	0	72	0	0	0	0	0	6	3	The collection is in Yiddish, with some Polish, German, Hebrew, English, Russian, Serbo-Croatian, French, and Czech.	Poland -- Economic conditions -- 1918-1945 | Belarus | Galicia (Poland and Ukraine) | England | Poland | Lithuania | Romania | Palestine -- History -- 1917-1948	Autobiographies (literary works) | Diaries		https://archives.cjh.org/repositories/7/resources/19910
31	7	22550	YIVO Clubs, Circles, and Lectures				1952	unknown	0	13	0	0	0	0	0	10	10	Yiddish English German				https://archives.cjh.org/repositories/7/resources/22550
30	3	15537	Walter Hart Blumenthal papers	Blumenthal, Walter Hart, 1883-1969	1883	1969	1969	unknown	0	8	1	0	0	0	0	1	0	The collection is in English.	New York (N.Y.) | Philadelphia (Pa.)	Articles | clippings (information artifacts) | Correspondence | Diaries | manuscripts (documents) | Photographs | Poems | Sheet music		https://archives.cjh.org/repositories/3/resources/15537
29	3	13265	Leon J. Obermayer, papers	Obermayer, Leon J.			1978	unknown	0	2	1	0	0	0	0	2	0	The collection is in English.	Philadelphia (Pa.)	Articles | Correspondence | clippings (information artifacts) | Reports | speeches (documents) | Correspondence		https://archives.cjh.org/repositories/3/resources/13265
28	3	946	Sallyann Sack Papers	Sack, Sallyann Amdur, 1936-			2007	unknown	0	18	0	0	0	0	0	4	4	English French German Hebrew Lithuanian Russian Swedish Yiddish	New York (N.Y.) | New York (State) | Israel	Correspondence | Color photographs | Black-and-white photographs | Audiocassettes | Articles | Newsletters | negatives (photographs)		https://archives.cjh.org/repositories/3/resources/946
28	7	19900	Elias Tcherikower Collection	Cherikover, I. M., 1881-1943	1881	1943	1976	unknown	0	12	0	0	0	0	0	4	2	Yiddish Russian Polish Ukrainian Belarusian German Hebrew English Lithuanian French		Correspondence | Minutes (administrative records) | Official documents | Official reports | Petitions | manuscripts (documents) | Photographs | Diaries | Memoirs		https://archives.cjh.org/repositories/7/resources/19900
28	7	21394	Leibush Lehrer Papers	Lehrer, Leibush, 1887-1964	1887	1964	1968	unknown	0	8	0	0	0	0	0	4	2	English		Yiddish language -- Societies, etc.		https://archives.cjh.org/repositories/7/resources/21394
28	7	3438	Joseph Perkins Chamberlain Papers				1951	unknown	0	16	0	0	0	0	0	4	121	The collection is in English.	United States -- Emigration and immigration			https://archives.cjh.org/repositories/7/resources/3438
27	7	22726	Papers of Rae Berkowitz Harris				1948	unknown	0	1	1	0	0	0	0	2	1	English				https://archives.cjh.org/repositories/7/resources/22726
26	3	13251	Max James Kohler Papers				1963	unknown	0	51	0	0	0	1	0	6	2	The collection is in English, German, French, Yiddish, Hebrew, and Italian.	United States -- Emigration and immigration | United States -- Emigration and immigration | Galveston (Tex.) | Jamaica -- Civilization | Jamaica -- History | United States -- History -- Revolution, 1775-1783 | New York (N.Y.) | Jamaica	Articles | clippings (information artifacts) | Histories (literary works) | Legal Correspondence | Legal documents | Pamphlets | personal correspondence | Scrapbooks		https://archives.cjh.org/repositories/3/resources/13251
26	7	13244	Mizrakh Yidisher Historisher Arkhiv	Cherikover, I. M., 1881-1943	1881	1943	1956	unknown	0	32	0	0	0	1	0	5	2	The collection is in Russian and Yiddish, with Ukrainian, German, French, English, Polish, Hebrew, and Spanish.	Ukraine -- Ethnic relations | Ukraine -- History -- Revolution, 1917-1921 | Ukraine | Poland | Belarus | France | Russia	Correspondence | Official documents | Newspapers | Petitions | Documentary photographs | Minutes (administrative records) | Official reports | clippings (information artifacts) | Resolutions (administ		https://archives.cjh.org/repositories/7/resources/13244
26	7	19985	Abraham Sutzkever-Szmerke Kaczerginski Historical Collection	Sutzkever, Abraham, 1913-2010 | Kaczerginski, Szmerke, 1908-1954 | Strashun, Mathias, -1885 | Sholem Aleichem, 1859-1916 | S. Ansky Historic	1913	2010	1941	unknown	0	149	0	0	0	1	0	6	2	Yiddish Hebrew German Russian		manuscripts (documents) | Correspondence | Contracts | Registers (lists) | Short stories | Financial records		https://archives.cjh.org/repositories/7/resources/19985
26	7	20148	Vilna Collection				1947	unknown	0	18	0	0	0	0	0	4	1	Yiddish Hebrew Ukrainian Russian German English French Dutch; Flemish Polish Lithuanian Belarusian		Correspondence | Reports | Minutes (administrative records) | Bibliographies | Birth certificates | Travel documents | Lists (document genres) | Financial records | Newspaper clippings | Petitions		https://archives.cjh.org/repositories/7/resources/20148
25	3	228	Papers of Aliza Greenblatt (1885-1975)	Greenblatt, Aliza, 1888-1975	1888	1975	1993	unknown	0	10	1	0	0	1	0	1	0	Yiddish English Hebrew Russian French	Atlantic City (N.J.) | New York (N.Y.) | Philadelphia (Pa.) | Sea Gate (New York, N.Y.)	clippings (information artifacts) | Correspondence | manuscripts (documents) | Newsletters | Poems | programs (documents) | publications (documents) | Sheet music		https://archives.cjh.org/repositories/3/resources/228
25	7	21050	Herman Bernstein Papers	Bernstein, Herman, 1876-1935	1876	1935	1935	unknown	0	18	0	1	0	0	0	1	0	The collection is in English, Yiddish, Russian, German, Polish, and French.			lator, diplomat, and advocate for the rights of the Jews of Eastern Europe, was born in Neustadt-Schwerwindt on the Russo-German border on September 21, 1876. He was the son of David and Marie (Elsohn) Bernstein. In 1893 Bernstein immigrated to the United States, where he completed his education. He married Sophie Friedman on	https://archives.cjh.org/repositories/7/resources/21050
24	3	2851	Benjamin Roth Collection	Roth, Benjamin			1969	unknown	1	6	0	0	0	0	0	2	0	English German Hebrew		Ethical letters		https://archives.cjh.org/repositories/3/resources/2851
24	7	20132	Collection on Jewish Customs				1941	unknown	0	15	0	0	0	1	0	9	1	The collection is primarily in Hebrew, Yiddish, and German, with some Russian, Polish, English, Dutch, and French.	Leipzig (Germany) | Kaliningrad -- Kaliningradskai︠a︡ oblastʹ (Russia) -- Königsberg (Prussia) -- Koenigsberg | Frankfurt am Main (Germany) | Vilnius (Lithuania)	Announcements | Correspondence | Divorce records | Invitations | Ketubahs | Newspaper clippings | Photographs | Picture postcards | Postcard albums | plaques (flat objects) | Prayers (compositions) | 		https://archives.cjh.org/repositories/7/resources/20132
23	3	15519	Jesse B. Calmenson, papers	Calmenson, Jesse B., 1892-1952	1892	1952	1996	unknown	0	3	0	0	0	0	0	3	1	The collection is in English and German.	Palestine -- History | Saint Paul (Minn.)	Agendas (administrative records) | Announcements | Articles | Ballots | Bylaws (administrative records) | Certificates of incorporation | Correspondence | Dedications (ceremonies) | Financial statemen		https://archives.cjh.org/repositories/3/resources/15519
23	3	37	Morris U. Schappes Papers				2004	unknown	0	14	0	0	0	0	0	3	1	The collection is in English, with some materials in Yiddish. A few items are in Russian, Hebrew, German, and French.	United States | New York (N.Y.)	Cards (information artifacts) | clippings (information artifacts) | Correspondence | Drafts (documents) | Legal documents | Notes (documents) | Photographs | Research notes | speeches (documents)		https://archives.cjh.org/repositories/3/resources/37
23	7	22563	Papers of Chaim (Khayim) Beider				2001	unknown	0	11	0	0	0	0	0	3	1	Yiddish Russian Ukrainian				https://archives.cjh.org/repositories/7/resources/22563
23	7	22585	Bund Photographs				2003	unknown	0	1	0	0	0	0	0	5	6	English				https://archives.cjh.org/repositories/7/resources/22585
22	7	20633	Papers of Rochelle G. Saidel	Saidel, Rochelle G.			1989	unknown	0	12	0	0	0	0	0	2	83	English Yiddish Portuguese German Hebrew French Spanish; Castilian				https://archives.cjh.org/repositories/7/resources/20633
22	7	22904	Georgian Territorial Collection				1959	unknown	0	9	0	0	0	0	0	2	2	French German Yiddish Russian Georgian				https://archives.cjh.org/repositories/7/resources/22904
21	3	2719	Louis Stern Papers	Stern, Louis, 1893-			1962	unknown	0	3	0	0	0	0	0	3	0	English	United States -- Emigration and immigration			https://archives.cjh.org/repositories/3/resources/2719
21	3	6199	Sulzberger family collection	Sulzberger, Mayer, 1843-1923 | Sulzberger, Arthur Hays, 1891-1968 | Sulzberger family	1843	1923	1953	unknown	0	4	0	0	0	0	0	3	0	German	Germany -- Emigration and immigration	Wills		https://archives.cjh.org/repositories/3/resources/6199
20	7	20990	Kurt Richard Grossman Papers				1945	unknown	0	1	0	0	0	0	0	4	3	English				https://archives.cjh.org/repositories/7/resources/20990
20	7	3406	Papers of Virginia Dorsey Lightfoot				1941	unknown	0	1	0	0	0	0	0	4	4	The collection is in English, with a few items in German.	Germany | Maryland | Wrocław (Poland)	Correspondence | Lists (document genres) | Photographs		https://archives.cjh.org/repositories/7/resources/3406
20	7	3593	Papers of Abraham Goldfaden				1956	unknown	0	6	0	0	0	0	0	2	1	The collection is in Yiddish, with some German, French, English, Hebrew, Russian, Polish and Spanish.	London (England) | New York (N.Y.) | Paris (France) | Poland | Romania | Russia	Correspondence | manuscripts (documents) | clippings (information artifacts) | Photographs | programs (documents)		https://archives.cjh.org/repositories/7/resources/3593
19	7	22573	Workmen's Circle Collection				2004	unknown	0	74	0	0	0	0	0	1	2	Materials in Yiddish and English; a few items in Russian, Spanish, Hebrew, German, and Romanian.				https://archives.cjh.org/repositories/7/resources/22573
19	7	22760	Papers of Roman Blit				1999	unknown	0	17	0	0	0	0	0	1	4	Materials mainly in Polish, with English and Yiddish, and some Russian, German, and Swedish documents.		personal correspondence | Newspaper clippings | Photographs		https://archives.cjh.org/repositories/7/resources/22760
19	7	3271	Papers of Benjamin Eichler				1980	unknown	0	3	0	0	0	0	0	1	3	The collection is in Slovak and German, with a few items in English and Hebrew.	Slovakia -- Ethnic relations | Bratislava (Slovakia) | Czechoslovakia | Slovakia	Autobiographies (literary works) | Financial records | Grave Registers | Minutes (administrative records) | Testimonies		https://archives.cjh.org/repositories/7/resources/3271
18	3	13278	Metz-Greene-Stone Family Papers	Metz family | Greene family | Stone family			2015	unknown	0	5	0	0	0	0	0	2	0	English Hebrew	Queens (New York, N.Y.) | New York (N.Y.)	awards | Audiocassettes | Articles | Books | clippings (information artifacts) | Correspondence | Diaries | Diplomas | ephemera (general object genre) | Marriage records | programs (documents) | Phono		https://archives.cjh.org/repositories/3/resources/13278
18	3	2669	Irene S. Woods papers	Woods, Irene S., 1921-			1991	unknown	0	2	0	0	0	0	0	2	3	English	Germany			https://archives.cjh.org/repositories/3/resources/2669
18	3	2799	Edward Albert Filene papers	Filene, E. A. (Edward Albert), 1860-1937 | Warburg, Paul M. (Paul Moritz), 1868-1932 | Marlowe, Julia, 1865-1950	1860	1937	1937	unknown	0	6	0	0	0	0	0	2	0	English				https://archives.cjh.org/repositories/3/resources/2799
18	7	20652	Judith Malina Collection	Malina, Judith, 1926-2015	1926	2015	2013	unknown	0	2	0	0	0	0	0	2	9	English				https://archives.cjh.org/repositories/7/resources/20652
18	7	20790	Papers of Lawrence Taub	Taub, Lawrence			2018	unknown	0	2	0	0	0	0	0	2	2	English Hebrew Japanese German Swedish Hindi				https://archives.cjh.org/repositories/7/resources/20790
18	7	20878	Papers of Gustaw and Jan Ryszard Bychowski	Bychowski, Gustav, 1895-1972	1895	1972	1973	unknown	0	6	0	0	0	0	0	2	0	Polish, English, Russian, German.				https://archives.cjh.org/repositories/7/resources/20878
18	7	21042	Papers of Gustave Eisner				1938	unknown	0	5	0	0	0	0	0	2	0	Yiddish Polish Russian English		Archival materials		https://archives.cjh.org/repositories/7/resources/21042
18	7	22158	Jacob Levin Papers	Leṿin, Yaʻaḳov, 1884-1958	1884	1958	1975	unknown	0	8	0	0	0	0	0	2	0	English Yiddish				https://archives.cjh.org/repositories/7/resources/22158
17	3	5999	Irwin H. Krasna Papers				2003	unknown	0	1	1	0	0	1	0	1	0	English Hebrew	Soviet Union | United States	Audiocassettes | manuscripts (documents) | Photographs		https://archives.cjh.org/repositories/3/resources/5999
17	3	6487	Steven Siegel Papers	Siegel, Steven W., 1946-			2008	unknown	0	1	0	0	0	0	0	3	6	English German Polish Yiddish Russian	United States | New York (N.Y.) | Europe	Correspondence | Official documents | clippings (information artifacts) | Legal documents		https://archives.cjh.org/repositories/3/resources/6487
15	3	15598	Jacobi-Schlossberg Family Papers	Jacobi, Sarah Simon, 1857-1943 | Jacobi, Freda Moritz, 1886-1939 | Jacobi-Schlossberg, Alice, 1912-1987 | Schlossberg-Miller, Deda, 1940-	1857	1943	2000	unknown	0	8	0	0	0	0	0	1	0	The collection is in English, German, Yiddish, and Hebrew.	Boston (Mass.) | Long Island (N.Y.) | New Orleans (La.) | New York (N.Y.) | Philadelphia (Pa.) | Woodmere (N.Y.)	Correspondence | Diaries | Photographs | School records		https://archives.cjh.org/repositories/3/resources/15598
15	3	18395	Sarah Kussy Papers	Kussy, Sarah, 1869-1956	1869	1956	1945	unknown	0	5	0	0	0	0	0	1	0	The collection is in English.	Newark (N.J.)	Diaries | Minute Books | Typescripts		https://archives.cjh.org/repositories/3/resources/18395
15	3	19716	Philip Cowen Papers	Cowen, Philip, 1853-1943	1853	1943	1935	unknown	0	11	0	0	0	0	0	1	0	"The collection is in English, Russian, German, French, and Chinese.
The collection is in English, Russian, German, Frenc"	United States -- Emigration and immigration	clippings (information artifacts) | publications (documents) | Correspondence | Testimonials | Surveys (documents) | Research (documents) | Photographs		https://archives.cjh.org/repositories/3/resources/19716
15	3	19864	Robert Allen Simon Papers	Simon, Robert Allen, 1942-1969 | Simon, Mary	1942	1969	1983	unknown	0	8	0	0	0	0	0	1	0	English	Miami (Fla.) | New York (N.Y.)	Civil court records | clippings (information artifacts) | Correspondence | Notebooks | Photographs | School records | textbooks | Essays		https://archives.cjh.org/repositories/3/resources/19864
15	3	2723	Albert Einstein Papers	Einstein, Albert, 1879-1955 | New Century Club (Boston)	1879	1955	1989	unknown	0	6	0	0	0	0	0	1	0	English				https://archives.cjh.org/repositories/3/resources/2723
15	3	2854	Spielberger family papers	Spielberger family			1969	unknown	0	3	0	0	0	0	0	1	0	Collection is in English and German.	Europe -- Emigration and immigration | Akron (Ohio)	Greeting cards | Calendars (documents)		https://archives.cjh.org/repositories/3/resources/2854
15	3	606	Jacob Filemann Letter	Filemann, Jacob | Josephson, Myer			1974	unknown	0	4	0	0	0	0	0	1	0	English Yiddish	United States -- Relations -- Great Britain | Reading (Pa.)			https://archives.cjh.org/repositories/3/resources/606
15	3	6145	Stephen Wise papers	Wise, Stephen S. (Stephen Samuel), 1874-1949	1874	1949	1978	unknown	0	5	0	0	0	0	0	1	0	English Hebrew Yiddish	Portland (Or.) | New York (N.Y.) -- Politics and government | United States -- Politics and government | United States -- Relations | United States			https://archives.cjh.org/repositories/3/resources/6145
15	7	20054	Jewish Music Societies Collection				1940	unknown	0	3	0	0	0	0	0	1	0	The collection is in Russian and Yiddish with some French, German, and Hebrew		Correspondence | Lists (document genres) | Posters | memorandums | fliers (printed matter) | Financial records | Receipts (financial records) | Minutes (administrative records)		https://archives.cjh.org/repositories/7/resources/20054
15	7	20139	Papers of Joseph Regensburg				1939	unknown	0	3	0	0	0	0	0	1	0	German				https://archives.cjh.org/repositories/7/resources/20139
15	7	21168	Simon Chudhi Papers	Chudhi, Simon			1949	unknown	0	2	0	0	0	0	0	1	8	Yiddish		photographic prints | Diaries		https://archives.cjh.org/repositories/7/resources/21168
15	7	21345	Mendl Elkin Papers	Elḳin, Mendl, 1874-1962	1874	1962	1961	unknown	0	11	0	0	0	0	0	1	0	English Yiddish	New York (N.Y.)	photographic prints | Drawings (visual works)		https://archives.cjh.org/repositories/7/resources/21345
15	7	21554	Isaiah Kuperstein Papers	Kuperstein, Isaiah, 1950-			1947	unknown	0	2	0	0	0	0	0	1	4	English Yiddish	Łódź (Poland) | Litzmannstadt-Getto (Łódź, Poland)	interviews | photographic prints		https://archives.cjh.org/repositories/7/resources/21554
15	7	22100	Glenn Family Collection	Glenn family			1978	unknown	0	3	0	0	0	0	0	1	0	English Yiddish				https://archives.cjh.org/repositories/7/resources/22100
15	7	22155	Papers of David Ignatoff	Ignatoff, David, 1885-1954	1885	1954	1954	unknown	0	7	0	0	0	0	0	1	0	English Yiddish				https://archives.cjh.org/repositories/7/resources/22155
15	7	22451	Papers of Celia S. Heller	Heller, Celia Stopnicka			2001	unknown	0	3	0	0	0	0	0	1	0	English German Yiddish Spanish; Castilian Hebrew Polish				https://archives.cjh.org/repositories/7/resources/22451
15	7	22907	Party of Socialists Revolutionaries Collection				1972	unknown	0	6	0	0	0	0	0	1	0	English				https://archives.cjh.org/repositories/7/resources/22907
14	3	15239	Rabbi Abraham Haselkorn (1905-1982) WWII Papers	Haselkorn, Abraham, 1905-1982	1905	1982	1944	unknown	0	1	0	0	0	0	0	2	2	English French German	France | Germany | Le Mans (France)	advertisements | Black-and-white photographs | clippings (information artifacts) | Invitations | Leaflets (printed works) | Money (objects) | Pamphlets | personal correspondence | Playbills | Postcard		https://archives.cjh.org/repositories/3/resources/15239
14	3	15708	Leon David Crestohl, papers	Crestohl, Leon David, 1900-1963	1900	1963	1963	unknown	0	2	0	0	0	0	0	2	0	The collection is in English, French, Greek, Hebrew, Italian, Polish, Russian, Spanish, and Yiddish.	Canada -- Emigration and immigration | Canada | Germany | Montreal (Quebec)	clippings (information artifacts) | Correspondence | Memoirs | Memorabilia | Photographs | speeches (documents)		https://archives.cjh.org/repositories/3/resources/15708
14	3	6403	Nettie Friede Kosminsky, papers	Kosminsky, Nettie Friede, 1888-			1980	unknown	0	2	0	0	0	0	0	2	0	The collection is in English.	Missouri	Booklets | Legal documents | clippings (information artifacts) | speeches (documents)		https://archives.cjh.org/repositories/3/resources/6403
14	3	6731	Morris Gordon Papers	Gordon, Morris, 1914-2005	1914	2005	2006	unknown	0	4	0	0	0	1	0	1	3	English Hebrew Chinese	Burma Road (China and Burma)	Correspondence | Memoirs | Photographs		https://archives.cjh.org/repositories/3/resources/6731
14	3	903	Freund family collection	Fleischauer, Marcus, approximately 1804- | Gerstle, George Washington, approximately 1842-approximately 1859 | Freund, Jacob, 1841- | Freund			1936	unknown	0	2	0	0	0	0	0	2	0	English German				https://archives.cjh.org/repositories/3/resources/903
14	4	3671	Guide to the Tamar Morad, Dennis and Robert Shasha Collection of Iraqi Jewish Oral Histories	Shasha, Robert			2007	unknown	0	26	0	0	0	1	0	1	5	The collection is in English and Hebrew, with a few items in French and Spanish and reproductions of two documents in Ar	Baghdad (Iraq) | Iraq | Israel | London (England) | New York (N.Y.) | United States	interviews | Memoirs | Photographs | Poems | Sound recordings | Transcripts		https://archives.cjh.org/repositories/4/resources/3671
