score	repo_id	repo	resource_id	title	creator	date	is_personal	type_genre	return_to_german	born_german	home	german_places	glang	emigre	type	language	url	birth	death	period_jecke	ret_ead	bioghist_len	scope_len	snippet	geognames	subjects	langmaterial
31	3	American Jewish Historical Society	1659	Mordecai Sheftall papers	Sheftall, Mordecai, 1735-1797	undated, 1761-1867, 1873, 1932, 1941 | 1977 -- 1978	1	0	0	1	1	4	0	4	Correspondence | Ledgers (account books) | Newspapers | Orderly books | Orders (military records) | Petitions | Purchase	eng | Latn | The collection is in English.	https://archives.cjh.org/repositories/3/resources/1659	1735	1797	0	0	38836	0	"According to John McKay Sheftall in ""The Sheftalls of Savannah,"" Mordecai's father, Benjamin, was born in Frankfurt-on-Oder in 1692, and moved from Prussia to London some time prior to marrying Perla in 1730 or 1731."			The collection is in English.
30	3	American Jewish Historical Society	198	Adolphus Simeon Solomons, papers	Solomons, Adolphus S. (Adolphus Simeon), 1826-1910	undated, 1841-1966	1	0	1	0	1	2	0	0	Sermons | Articles | Clippings (information artifacts) | Correspondence | Eulogies (documents) | Obituaries | Photograph	eng | Latn | The collection is in English.	https://archives.cjh.org/repositories/3/resources/198	1826	1910	0	1	6415	1715		United States -- Emigration and immigration | United States -- Relations | Palestine	Americans	"The collection is in English.
English."
29	3	American Jewish Historical Society	15552	Oscar I. Janowsky Papers	Janowsky, Oscar I. (Oscar Isaiah), 1900-1993	undated, 1916-1993 | undated, 1916-1993	1	1	1	0	0	2	0	0	Articles | Clippings files | Correspondence | Diaries | Memoirs | Personal correspondence | Research notes	eng | Latn | fre | Latn | ger | Latn | heb | Hebr | pol | Latn | yid | Hebr	https://archives.cjh.org/repositories/3/resources/15552	1900	1993	1	1	4983	16758		Czechoslovakia | Europe, Eastern | Germany | Israel | New York (N.Y.) | Poland | United States	Antisemitism | Human rights | Imperialism | Jews -- United States | Jewish culture | Jewish community centers | Welfare state	English French German Hebrew Polish Yiddish
28	3	American Jewish Historical Society	15512	Marion E. Kenworthy Papers	Kenworthy, Marion E. (Marion Edwena), 1891-1980	undated, 1938-1952	1	0	1	0	0	2	1	11	Correspondence | Editorials | Minutes (administrative records) | Newsletters | Articles | Pamphlets | Publications (docu	eng | Latn	https://archives.cjh.org/repositories/3/resources/15512	1891	1980	1	1	1223	1427			Children | Holocaust, Jewish (1939-1945) | Refugees	English
28	3	American Jewish Historical Society	228	Papers of Aliza Greenblatt (1885-1975)	Greenblatt, Aliza, 1888-1975	undated, 1882-1983, 1993	1	0	1	0	0	1	5	0	Clippings (information artifacts) | Correspondence | Manuscripts (documents) | Newsletters | Poems | Programs (documents	yid | Hebr | eng | Latn | heb | Hebr | rus | Cyrl | fre | Latn	https://archives.cjh.org/repositories/3/resources/228	1888	1975	1	1	8435	7073		Atlantic City (N.J.) | New York (N.Y.) | Philadelphia (Pa.) | Sea Gate (New York, N.Y.)	Children's poetry, Yiddish | Short stories, Yiddish | Songs, Yiddish | Yiddish poetry | Zionism	"Yiddish English Hebrew Russian French
All materials are in Yiddish unless otherwise noted.
All materials are in Yiddish "
28	3	American Jewish Historical Society	6728	Shaul Osadchey Papers	Osadchey, Shaul, 1950-	undated, 1968-1978, 1980-1981, 1983-1992 | 1970 -- 1988	1	0	1	0	1	1	0	0	Bumper stickers | Clippings (information artifacts) | Commemorative jewelry | Correspondence | Headgear | Memorandums | 	eng | Latn | rus | Cyrl	https://archives.cjh.org/repositories/3/resources/6728	1950		0	1	3103	646	In the Summer of 1972 he took advantage of a special permission to visit the Soviet Jewry transit camp at Schonau Castle in Austria.	Former Soviet republics | United States	Antisemitism | Emigration and immigration | Human rights | Hunger strikes | Jews, Soviet | Prisoners -- Legal status, laws, etc | Refugees | Refuseniks	"English Russian
English Russian
(contains Russian)
(contains Russian)
(in Russian)"
27	3	American Jewish Historical Society	15537	Walter Hart Blumenthal papers	Blumenthal, Walter Hart, 1883-1969	undated, 1882-1969 | 1900 -- 1969	1	1	1	0	0	1	0	0	Articles | Clippings (information artifacts) | Correspondence | Diaries | Manuscripts (documents) | Photographs | Poems 	eng | Latn | The collection is in English.	https://archives.cjh.org/repositories/3/resources/15537	1883	1969	1	1	1207	6287		New York (N.Y.) | Philadelphia (Pa.)	Book collecting | Music	"The collection is in English.
This series is in English.
This series is in English.
This subseries is in English.
This s"
27	3	American Jewish Historical Society	19997	John Langeloth Loeb and Frances Lehman Loeb Family Papers	Lehman family | Loeb family | Loeb, Frances Lehman, 1906-1996 | Loeb, John Langeloth, 1902-	1893 -- 1997 | 1926 -- 1998	1	0	0	1	1	3	0	0	Artifacts (object genre) | Correspondence | Legal correspondence | Photographs	eng | Latn	https://archives.cjh.org/repositories/3/resources/19997	1906	1996	1	1	40787	42317	"php?rec=47 Loeb, Carl Morris (1875-1955)—to Julius Loeb—""Diary of a Journey""—Correspondence, 1893 July 17 (In German with English typescript) contains a handwritten letter from Carl to Julius Loeb in German regarding Carl's first days in the United States."	Cuba -- History | Havana (Cuba) | New York (State) -- Politics and government | Purchase (N.Y.) | Saranac Lake (N.Y.) | United States -- Biography | United States -- Politics and government	Art -- History | Charitable uses, trusts, and foundations | Finance | Jews -- New York (State) -- New York -- History | Lend-lease operations (1941-1945) | Philanthropy | Politics and government | Jews -- Genealogy	English
26	3	American Jewish Historical Society	15707	Bernhard Felsenthal papers	Felsenthal, Bernhard, 1822-1908	undated, 1844-1922	1	0	0	1	0	3	2	1	Ephemera (general object genre) | Clippings (information artifacts) | Correspondence	eng | Latn | heb | Hebr | ger | Latn | fre | Latn | The collection is in English, Hebrew, German, and French.	https://archives.cjh.org/repositories/3/resources/15707	1822	1908	0	0	1030	1465	Biographical Note Felsenthal was a German-American rabbi and author born January 2, 1822 in Münchweiler, Germany.	Russia -- Emigration and immigration | Romania -- Emigration and immigration | Great Britain | Russia | United States | Chicago (Ill.) | Cincinnati (Ohio)	Reform Judaism | Reform Judaism -- United States | Zionism | Circumcision | Ḥalitsah | Cremation | Judaism -- Relations -- Christianity | Jewish question | Euthanasia | Slavery -- United States | Liturgy and ritual—Reform	"The collection is in English, Hebrew, German, and French.
The collection is in English, Hebrew, German, and French.
The "
25	7	YIVO Institute for Jewish Research	21984	Lionel S. Reiss Papers	Reiss, Lionel S. (Lionel Samson), 1894-	1921-1952	1	0	0	1	1	2	0	0	Drawings (visual works)	eng	https://archives.cjh.org/repositories/7/resources/21984	1894		1	0	302	331	Born in Austria.		Jewish youth | Collective settlements -- Israel | Jewish way of life | Jews, American | Jews -- Social life and customs | Mizrahim | Jews -- France	English
24	3	American Jewish Historical Society	18226	Jacob Xenab Cohen, papers	Cohen, J. X. (Jacob Xenab), 1889-1955	undated, 1913-1978	1	0	1	0	0	1	0	2		eng | Latn | heb | Hebr | por | Latn | spa | Latn | The collection is in English, Hebrew, Portuguese, and Spanish.	https://archives.cjh.org/repositories/3/resources/18226	1889	1955	1	1	6352	36539		Argentina -- Social conditions | Brazil -- Social conditions | Peru -- Social conditions | Syracuse (N.Y.)	Proscription	The collection is in English, Hebrew, Portuguese, and Spanish.
23	3	American Jewish Historical Society	12473	Solomon Lyons (1760-1812) Papers	Lyons, Solomon, 1760-1812	1788-1804	1	0	0	1	0	3	1	0	Correspondence | Manuscripts (documents) | Financial records | Legal documents | Wills	eng | Latn | yid | Hebr | The collection is in English and Yiddish.	https://archives.cjh.org/repositories/3/resources/12473	1760	1812	0	0	498	547	Biographical Note Prominent Colonial-era banker and financier Solomon Lyons was born in 1760 in Frankfurt, Germany.	Philadelphia (Pa.)	Banks and banking | Jews -- United States -- History	The collection is in English and Yiddish.
23	3	American Jewish Historical Society	6730	Ernest W. Michel (1923-2016) Papers	Michel, Ernest W., 1923-2016	[1698], 1920-1996 | 1946-1987	1	0	0	1	0	3	0	20	Clippings (information artifacts) | Correspondence | Lectures | Photographs	eng | Latn | heb | Hebr | yid | Hebr | ger | Latn | fre | Latn | pol | Latn | rom | Latn | dan | Latn	https://archives.cjh.org/repositories/3/resources/6730	1923	2016	1	1	4139	7624	Scope and Contents This series comprises newspaper clippings relating to various topics that Michel was interested in, including President Reagan's visit to Bitburg Cemetery, Josef Mengele and other Nazi war criminals, the situation of post-war Germany, Soviet Refuseniks, the Holocaust Memorial in B	Chicago (Ill.) | Michigan | New York (N.Y.) | Jerusalem	Holocaust, Jewish (1939-1945) | Holocaust survivors | National socialism | World War, 1939-1945 | Holocaust, Jewish (1939-1945) | Jewish museums	"English Hebrew Yiddish German French Polish Romany Danish
Polish English
English Hebrew
English German"
23	7	YIVO Institute for Jewish Research	22090	Papers of Isaac Abraham Reif	Reif, Abraham Isaac, 1871-1946	1900 -- 1934	1	0	0	1	1	1	0	0		eng | yid	https://archives.cjh.org/repositories/7/resources/22090	1871	1946	1	0	141	103	Born in Austria.			English Yiddish
22	7	YIVO Institute for Jewish Research	22176	Papers of Adolph Schauder	Schauder, Adolph, 1880-1968	1920s-1960s	1	0	1	0	0	1	0	0		eng	https://archives.cjh.org/repositories/7/resources/22176	1880	1968	1	1	462	300				English
21	7	YIVO Institute for Jewish Research	21050	Herman Bernstein Papers	Bernstein, Herman, 1876-1935	1899-1935	1	0	0	1	0	1	2	0		eng | yid | rus | ger | pol | fre | The collection is in English, Yiddish, Russian, German, Polish, and French.	https://archives.cjh.org/repositories/7/resources/21050	1876	1935	1	0	4798	27401	Biographical Note Herman Bernstein, journalist, author, translator, diplomat, and advocate for the rights of the Jews of Eastern Europe, was born in Neustadt-Schwerwindt on the Russo-German border on September 21, 1876.			"The collection is in English, Yiddish, Russian, German, Polish, and French.
This series is mostly in English, Russian, a"
21	7	YIVO Institute for Jewish Research	21639	Papers of Rudolf Martin Cheim	Cheim, Rudolf Martin, 1905-	1942 -- 1948	1	0	0	1	0	2	0	8	Identity cards | Postcards | Photographic prints	eng	https://archives.cjh.org/repositories/7/resources/21639	1905		1	0	475	486	Biographical / Historical Rudolf Martin Cheim was born in 1905 in Berlin.		Holocaust, Jewish (1939-1945) | Jews -- Netherlands -- Amsterdam | Holocaust survivors | World War, 1939-1945 -- Concentration camps -- Netherlands | World War, 1939-1945 -- Concentration camps -- Germany (West) | Nazi concentration camps -- Netherlands | Nazi concentration camps -- Germany	English
17	3	American Jewish Historical Society	15376	Simon Wolf, papers	Wolf, Simon, 1836-1923	undated, 1868-1925	1	0	0	1	0	1	0	0	Articles | Correspondence | Speeches (documents)	eng | Latn | The collection is in English.	https://archives.cjh.org/repositories/3/resources/15376	1836	1923	0	0	1647	604	"Biographical Note ""American jurist, publicist, and philanthropist; born at Hinzweiler, Bavaria, October 28, 1836; emigrated to the United States in 1848 and settled as a merchant at Ulrichsville, Ohio."	United States -- Relations	Antisemitism | Passports (U.S.) in Russia	"The collection is in English.
English."
17	3	American Jewish Historical Society	15652	Moses Family of New York Papers	Moses family	undated, 1767-1941, 1971	0	1	0	1	0	1	0	0	Newspaper clippings | Clippings (information artifacts) | Biographies (literary works) | Receipts (financial records) | 	eng | Latn | heb | Hebr | The collection is in English with some Hebrew.	https://archives.cjh.org/repositories/3/resources/15652			0	0	13208	4062	born in Giessen, Germany, moved to New York in 1764.	United States -- History -- Civil War, 1861-1865 -- Jews | New York (N.Y.) | Philadelphia (Pa.) | Madras (India : District) | Kolkata (India)	Jews -- Economic conditions	"The collection is in English with some Hebrew.
English.
English and Hebrew.
English.
English.
English.
English.
English."
