resource_template_label,item_set_id,resource_class_term,is_public,dcterms:identifier,dcterms:isPartOf,dcterms:title,description_he,description_de,description_en,ric-o:hasOrHadLanguage,ric-o:hasDocumentaryFormType,ric-o:hasProductionTechniqueType,ric-o:hasRecordState,ric-o:hasOrHadMainSubject,ric-o:hasCreationDate,ric-o:hasPublicationDate,arkivo:creationPlace,bibo:numPages
Images,7611,dctype:Image,true,IL-MTFN-001-G-F-0005-002-R0004,IL-MTFN-001-G-F-0005-002,Photograph of Udo Moses as a Soldier,תצלום של אודו מוזס כחייל.,Foto von Udo Moses als Soldat.,Photograph of Udo Moses as a soldier.,Unspecified,תצלום|Photograph,photography,original,Udo Moses,,,,
Images,7611,dctype:Image,true,IL-MTFN-001-G-F-0005-002-R0005,IL-MTFN-001-G-F-0005-002,"Photograph of Johanna, Dorothea, and Henrietta Reinus","תצלום של יוהנה, דורותיאה והנרייטה לבית ריינוס.","Foto von Johanna, Dorothea und Henriette aus der Familie Reinus.","Photograph of Johanna, Dorothea, and Henrietta from the Reinus family.",Unspecified,תצלום|Photograph,photography,original,,,,,
EgoDocuments,7610,arkivo:EgoDocument,true,IL-MTFN-001-G-F-0005-002-R0006,IL-MTFN-001-G-F-0005-002,Letters of Udo Moses from Argentina,"אוסף לזכרו של אודו מוזס, ובו מכתבים של אודו מארגנטינה אל הוריו זמן קצר לפני פרוץ מלחמת העולם ומכתב קצר אחרי פרוץ המלחמה. אודו רוצה לחזור ל'מולדת' ולהלחם באויביה. הוא חזר, התגייס ונפל בשדה הקרב זמן קצר אחרי גיוסו.","Sammlung zum Gedenken an Udo Moses, mit Briefen von Udo aus Argentinien an seine Eltern kurz vor dem Ausbruch des Zweiten Weltkriegs und einem kurzen Brief nach dem Ausbruch des Krieges. Udo möchte in die 'Heimat' zurückkehren und gegen ihre Feinde kämpfen. Er kehrte zurück, trat in die Armee ein und fiel kurz nach seiner Einberufung auf dem Schlachtfeld.","Collection in memory of Udo Moses, containing letters from Udo from Argentina to his parents shortly before the outbreak of World War II and a short letter after the outbreak of the war. Udo wants to return to the 'homeland' and fight its enemies. He returned, enlisted, and fell on the battlefield shortly after his enlistment.",Hebrew,מכתב|Letter,,original,Udo Moses,,,,
EgoDocuments,7610,arkivo:EgoDocument,true,IL-MTFN-001-G-F-0005-002-R0007,IL-MTFN-001-G-F-0005-002,Eulogy by Arthur Pelz,נאום הספד שנשא הידיד ארתור פלץ.,Trauerrede gehalten von Freund Arthur Pelz.,Eulogy delivered by friend Arthur Pelz.,Hebrew,נאום|Speech,,original,Arthur Pelz,,,,
Creative Fiction,7614,arkivo:Creative_Fiction,true,IL-MTFN-001-G-F-0005-002-R0008,IL-MTFN-001-G-F-0005-002,Poems by Grete Salus in German and Hebrew,שירים של גרטה סלוס - Grete Salus בגרמנית ובתרגום של לאה אלון לעברית.,Gedichte von Grete Salus - Grete Salus auf Deutsch und übersetzt von Lea Alon ins Hebräische.,Poems by Grete Salus - Grete Salus in German and translated by Lea Alon into Hebrew.,German|Hebrew,שיר|Poem|מסמך מתורגם|Translated Document,,original,Grete Salus,,,,
Creative Fiction,7614,arkivo:Creative_Fiction,true,IL-MTFN-001-G-F-0005-002-R0009,IL-MTFN-001-G-F-0005-002,ספרון שירים של יוהנה מוזס,"ספרון שירים מודפס בגרמנית, שמכיל חלק משיריה של יוהנה מוזס לבית ריינוס. הספרון ניתן במתנה ליוהנה מילדיה ליום הולדתה ה-70 בשנת 1923.","Ein kleines Buch mit Gedichten, gedruckt in deutscher Sprache, das einige der Gedichte von Johanna Moses, geborene Reinus, enthält. Das Büchlein wurde Johanna von ihren Kindern zu ihrem 70. Geburtstag im Jahr 1923 geschenkt.","A small book of poems printed in German, containing some of the poems by Johanna Moses née Reinus. The booklet was given to Johanna by her children for her 70th birthday in 1923.",German,שיר|Poem,print,original,יוהנה מוזס,,1923,,
Creative Fiction,7614,arkivo:Creative_Fiction,true,IL-MTFN-001-G-F-0005-002-R0010,IL-MTFN-001-G-F-0005-002,Poem by R. Eliyahu Reinus for Benjamin Moses's 39th Birthday,"שיר בעברית בכתב יד מסתלסל, שכתב ר' אליהו ריינוס 1825-1892 אביה של יוהנה מוזס, וסבא-רבא של התורמת, לאה אלון. את השיר כתב לחתנו, בנימין מוזס ליום הולדתו ה-39, שנת 1889.","Ein handgeschriebenes hebräisches Gedicht, verfasst von R. Eliyahu Reinus 1825-1892, dem Vater von Johanna Moses und Urgroßvater der Spenderin Lea Alon. Das Gedicht schrieb er für seinen Schwiegersohn Benjamin Moses zu dessen 39. Geburtstag im Jahr 1889.","A Hebrew poem in cursive handwriting, written by R. Eliyahu Reinus 1825-1892, the father of Johanna Moses and great-grandfather of the donor, Lea Alon. He wrote the poem for his son-in-law, Benjamin Moses, for his 39th birthday, in the year 1889.",Hebrew,שיר|Poem,handwriting,original,Benjamin Moses,1889,,,
EgoDocuments,7610,arkivo:EgoDocument,true,IL-MTFN-001-G-F-0005-002-R0011,IL-MTFN-001-G-F-0005-002,Letters and Eulogy for Udo Moses,מכתבים והספד לאודו מוזס Udo Moses כפי שנמצאו במחברתה של פרידה הקר לבית מוזס.,"Briefe und Nachruf für Udo Moses, wie sie in Frida Hacars Notizbuch gefunden wurden.",Letters and eulogy for Udo Moses as found in Frida Hacar's notebook.,Hebrew,מכתב|Letter,,other,Udo Moses,,,,
Images,7611,dctype:Image,true,IL-MTFN-001-G-F-0005-002-R0012,IL-MTFN-001-G-F-0005-002,Picture of Udo Moses as a Soldier,תמונה של אודו מוזס כחייל.,Ein Bild von Udo Moses als Soldat.,A picture of Udo Moses as a soldier.,Unspecified,תצלום|Photograph,photography,original,Udo Moses,,,,
Images,7611,dctype:Image,true,IL-MTFN-001-G-F-0005-002-R0013,IL-MTFN-001-G-F-0005-002,"Picture of Johanna, Dorothea, and Henriette Reinus","תמונה של יוהנה, דורותיאה והנרייטה לבית ריינוס Johanna, Dorothea, Henriette Reinus.","Bild von Johanna, Dorothea und Henriette aus der Familie Reinus.","Picture of Johanna, Dorothea, and Henriette from the Reinus family.",Unspecified,תצלום|Photograph,photography,original,Johanna|Dorothea|Henriette Reinus,,,,
Ephemera,7613,arkivo:Ephemera,true,IL-MTFN-001-G-F-0005-002-R0014,IL-MTFN-001-G-F-0005-002,Lea Reinus' Wedding Headscarf,מטפחת ראש בה כיסתה לאה ריינוס לבית אהרונסון את ראשה בעת נישואיה לר' אליהו ריינוס ב-1845. המטפחת מוצגת בתצוגת המוזיאון.,"Ein Kopftuch, mit dem Lea Reinus geb. Aharonson ihren Kopf bei ihrer Hochzeit mit Rabbi Eliyahu Reinus im Jahr 1845 bedeckte. Das Kopftuch wird in der Museumsausstellung gezeigt.",A headscarf with which Lea Reinus née Aharonson covered her head at her wedding to Rabbi Eliyahu Reinus in 1845. The headscarf is displayed in the museum exhibition.,Irrelevant,חפץ|Object,,original,Lea Reinus,1845,,,
Images,7611,dctype:Image,true,IL-MTFN-001-G-F-0005-003-R0002,IL-MTFN-001-G-F-0005-003,Portrait of Johanna Moses,תמונת דיוקן של יוהנה מוזס,Porträtbild von Johanna Moses,Portrait picture of Johanna Moses,Unspecified,תצלום|Photograph,photography,original,יוהנה מוזס,,,,
Ephemera,7613,arkivo:Ephemera,true,IL-MTFN-001-G-F-0005-003-R0004,IL-MTFN-001-G-F-0005-003,Museum Exhibition Captions,כתוביות שהיו מוצגות בתצוגת המוזיאון עד 2005,"Beschriftungen, die bis 2005 in der Museumsausstellung gezeigt wurden",Captions that were displayed in the museum exhibition until 2005,Unspecified,לא מזוהה|Unrecognized,,other,,,2005,,
EgoDocuments,7610,arkivo:EgoDocument,true,IL-MTFN-001-G-F-0005-003-R0005,IL-MTFN-001-G-F-0005-003,Memories of Chana Frida Haker,"הספר 'כמיהות', זכרונות חנה פרידה הקר לבית מוזס, עברית","Das Buch 'Kmiot', Erinnerungen von Chana Frida Haker, geborene Moses, Hebräisch","The book 'Kmiot', Memories of Chana Frida Haker née Moses, Hebrew",Hebrew,ספר|Book,print,original,Chana Frida Haker,,,,
Images,7611,dctype:Image,true,IL-MTFN-001-G-F-0008-001-R0001,IL-MTFN-001-G-F-0008-001,"Jewish Women's Organization, Hildesheim Photos","תמונות של אירגון נשים יהודיות, הילדסהיים; Jüd. Frauenverein Hildesheim.","Bilder des jüdischen Frauenvereins, Hildesheim; Jüd. Frauenverein Hildesheim.","Pictures of the Jewish Women's Organization, Hildesheim; Jüd. Frauenverein Hildesheim.",Unspecified,תצלום|Photograph,,original,,,,,
Images,7611,dctype:Image,true,IL-MTFN-001-G-F-0008-001-R0002,IL-MTFN-001-G-F-0008-001,Photographs of Folk Celebration in Hildesheim,תצלומים של חגיגה עממית בהילדסהיים; Swimmverein Hildesheim - אירגון שחייה.,Fotos von einer Volksfeier in Hildesheim; Schwimmverein Hildesheim - Schwimmverein.,Photographs of a folk celebration in Hildesheim; Swimmverein Hildesheim - Swimming organization.,Unspecified,תצלום|Photograph,photography,original,,,,,
Images,7611,dctype:Image,true,IL-MTFN-001-G-F-0008-001-R0003,IL-MTFN-001-G-F-0008-001,Family Photos of the Loser Family (1895-1945),"תמונות משפחתיות, משפחת לוזר, מהשנים 1895-1945.","Familienfotos, Familie Loser, aus den Jahren 1895-1945.","Family photos, Loser family, from the years 1895-1945.",Unspecified,תצלום|Photograph,photography,original,משפחת לוזר,1895,1945,,
Images,7611,dctype:Image,true,IL-MTFN-001-G-F-0008-001-R0004,IL-MTFN-001-G-F-0008-001,Goldschmidt Family Photos 1902-1927,"תמונות משפחתיות, משפחת גולדשמידט מהשנים 1902-1927.","Familienfotos, Familie Goldschmidt aus den Jahren 1902-1927.","Family photos, the Goldschmidt family from the years 1902-1927.",Unspecified,תצלום|Photograph,photography,original,Goldschmidt,1902,1927,,
EgoDocuments,7610,arkivo:EgoDocument,true,IL-MTFN-001-G-F-0008-001-R0005,IL-MTFN-001-G-F-0008-001,Family Tree,אילן יוחסין.,Stammbaum.,Family tree.,Unspecified,לא מזוהה,,original,,,,,
Images,7611,dctype:Image,true,IL-MTFN-001-G-F-0008-001-R0006,IL-MTFN-001-G-F-0008-001,Photos of Loser Family Employees,תמונות של העובדים השכירים של משפחת לוזר.,Fotos der Angestellten der Familie Loser.,Photos of the employees of the Loser family.,Unspecified,תצלום|Photograph,photography,original,משפחת לוזר,,,,
EgoDocuments,7610,arkivo:EgoDocument,true,IL-MTFN-001-G-F-0008-001-R0007,IL-MTFN-001-G-F-0008-001,"Family Photos and Correspondence with Andrew Bergerson, 1993",צילומי תמונות משפחתיות והתכתבות עם Andrew Bergerson מהילדסהיים משנת 1993.,Familienfotos und Korrespondenz mit Andrew Bergerson aus Hildesheim aus dem Jahr 1993.,Family photos and correspondence with Andrew Bergerson from Hildesheim from 1993.,Hebrew|English,תצלום|Photograph|מכתב|Letter,photography,copy,Andrew Bergerson,1993,,,
Images,7611,dctype:Image,true,IL-MTFN-001-G-F-0008-001-R0008,IL-MTFN-001-G-F-0008-001,Photograph of German Article and Tombstone,צילום מאמר בגרמנית על שבועיים של אירועים יהודיים בהילדסהיים + צילום מצבת הקבר של אלה לוזר.,Fotografie eines Artikels auf Deutsch über zwei Wochen jüdischer Veranstaltungen in Hildesheim + Fotografie des Grabsteins von Ella Loser.,Photograph of a German article about two weeks of Jewish events in Hildesheim + Photograph of the tombstone of Ella Loser.,German,תצלום|Photograph,photography,copy,,,,,
Ephemera,7613,arkivo:Ephemera,true,IL-MTFN-001-G-F-0008-001-R0009,IL-MTFN-001-G-F-0008-001,Photograph of a German Newspaper Article on Jewish Cemetery Memorial,צילום מאמר מתוך עיתון גרמני על טכס זיכרון לרגל מלאת 100 שנה לבית הקברות היהודי בהילדסהיים.,Fotografie eines Artikels aus einer deutschen Zeitung über eine Gedenkzeremonie anlässlich des 100-jährigen Bestehens des jüdischen Friedhofs in Hildesheim.,Photograph of an article from a German newspaper about a memorial ceremony on the occasion of the 100th anniversary of the Jewish cemetery in Hildesheim.,German,גזיר עיתון|News Clipping,photography,copy,,,,,
Images,7611,dctype:Image,true,IL-MTFN-001-G-F-0008-001-R0010,IL-MTFN-001-G-F-0008-001,"Original Page of Evening Newspaper from Munich, 1915",עמוד אוריגינלי של עיתון ערב ביצא במינכן משנת 1915.,"Originalseite einer Abendzeitung, die 1915 in München erschien.",Original page of an evening newspaper published in Munich in 1915.,German,עיתון|Newspaper,print,original,,1915,1915,,
Ephemera,7613,arkivo:Ephemera,true,IL-MTFN-001-G-F-0008-001-R0012,IL-MTFN-001-G-F-0008-001,Newspaper Articles from Hildesheim,"מאמרי עיתונות מהילדסהיים 1952, 1972.","Zeitungsartikel aus Hildesheim 1952, 1972.","Newspaper articles from Hildesheim 1952, 1972.",German,גזיר עיתון|News Clipping,print,original,,,,,
Ephemera,7613,arkivo:Ephemera,true,IL-MTFN-001-G-F-0008-001-R0013,IL-MTFN-001-G-F-0008-001,Engagement Menu of Walter Loser and Edith Goldschmidt,תפריט לחגיגת האירוסין של ולטר לוזר עם אדית גולדשמידט 1921.,Menü für die Verlobungsfeier von Walter Loser mit Edith Goldschmidt 1921.,Menu for the engagement celebration of Walter Loser with Edith Goldschmidt 1921.,German,לא מזוהה,print,original,Walter Loser|Edith Goldschmidt,1921,,,
Images,7611,dctype:Image,true,IL-MTFN-001-G-F-0008-001-R0014,IL-MTFN-001-G-F-0008-001,Photos of Jewish Sites in Hildesheim,"תמונות של בית הקברות היהודי בהילדסהיים, בית הספר היהודי לשעבר, האנדרטה לזכר בית הכנסת.","Fotos des jüdischen Friedhofs in Hildesheim, der ehemaligen jüdischen Schule, das Denkmal zur Erinnerung an die Synagoge.","Photos of the Jewish cemetery in Hildesheim, the former Jewish school, the monument in memory of the synagogue.",Unspecified,תצלום|Photograph,photography,original,,,,,
Financial Documents,7618,arkivo:Financial_Document,true,IL-MTFN-001-G-F-0008-001-R0015,IL-MTFN-001-G-F-0008-001,1000 German Mark Note 1910,שטר של 1000 מרק גרמני 1910.,1000 Deutsche Mark Schein 1910.,1000 German Mark note 1910.,German,לא מזוהה|Unrecognized,print,original,,1910,1910,,
Images,7611,dctype:Image,true,IL-MTFN-001-G-F-0008-001-R0016,IL-MTFN-001-G-F-0008-001,"Cut Paper Image by Felix Weil, 1921",תמונת נייר גזור מאת פליקס וייל; Felix Weil מ-1921.,Ausgeschnittenes Papierbild von Felix Weil; Felix Weil aus 1921.,Cut paper image by Felix Weil; Felix Weil from 1921.,Unspecified|לא צוין,אלמנט גרפי|Graphic Element,other,original,Felix Weil,1921,,,
Images,7611,dctype:Image,true,IL-MTFN-001-G-F-0008-001-R0017,IL-MTFN-001-G-F-0008-001,Photographs of Paintings by Walter Looser,"תצלומי ציוריו, של ולטר לוזר.",Fotografien der Gemälde von Walter Looser.,Photographs of the paintings by Walter Looser.,Unspecified,תצלום|Photograph,photography,original,Walter Looser,,,,
Creative Fiction,7614,arkivo:Creative_Fiction,true,IL-MTFN-001-G-F-0008-001-R0018,IL-MTFN-001-G-F-0008-001,"Poems by Walter Loser, 1915",שירים מאת ולטר לוזר מ-1915.,Gedichte von Walter Loser aus dem Jahr 1915.,Poems by Walter Loser from 1915.,Other,שיר|Poem,,original,Walter Loser,1915,,,
Ephemera,7613,arkivo:Ephemera,true,IL-MTFN-001-G-F-0008-001-R0019,IL-MTFN-001-G-F-0008-001,Postcards with Hildesheim motifs,"גלויות, בדר""כ עם מוטיבים של העיר הילדסהיים. חלק מהגלויות כתובות עבור משפחת לוזר או משפחת גולדשמידט, המחצית הראשונה של המאה ה-20.","Postkarten, meist mit Motiven der Stadt Hildesheim. Einige der Postkarten sind an die Familie Loser oder die Familie Goldschmidt adressiert, erste Hälfte des 20. Jahrhunderts.","Postcards, usually with motifs of the city of Hildesheim. Some of the postcards are addressed to the Loser family or the Goldschmidt family, first half of the 20th century.",Hebrew|German,גלויה|Postcard,other,original,,,,,
Ephemera,7613,arkivo:Ephemera,true,IL-MTFN-001-G-F-0008-001-R0020,IL-MTFN-001-G-F-0008-001,Postcards from Holiday Sites,"גלויות שנשלחו מאתרי חופש, המחצית הראשונה של המאה ה-20.","Postkarten, die von Urlaubsorten in der ersten Hälfte des 20. Jahrhunderts gesendet wurden.","Postcards sent from holiday sites, the first half of the 20th century.",Unspecified,גלויה|Postcard,,original,,,,,
Ephemera,7613,arkivo:Ephemera,true,IL-MTFN-001-G-F-0008-002-R0001,IL-MTFN-001-G-F-0008-002,"Festive Menu for Birthday Celebration by Loser, 1919","בתיק חומר רב מהפעילות החברתית של ""שעות הפנאי"": צילום ומקור של תפריט Speise Karte חגיגי לחגיגת יום הולדת, מעשה ידי לוזר מ-1919 (המקור היה ממוסגר ותלוי במוזיאון של ישראל שילוני בנהריה, הוצא מהמסגור בפברואר 2014);","In der Akte gibt es viele Materialien aus der sozialen Aktivität von ""Freizeit"": Foto und Original einer festlichen Speisekarte für eine Geburtstagsfeier, erstellt von Loser im Jahr 1919 (das Original war gerahmt und hing im Museum von Israel Shiloni in Nahariya, wurde im Februar 2014 aus dem Rahmen entfernt);","The file contains many materials from the social activity of ""Leisure"": Photo and original of a festive menu Speise Karte for a birthday celebration, made by Loser in 1919 (the original was framed and hung in the museum of Israel Shiloni in Nahariya, removed from the frame in February 2014);",Hebrew|German,מכתב|Letter,print,original,,1919,,,
Images,7611,dctype:Image,true,IL-MTFN-001-G-F-0008-002-R0002,IL-MTFN-001-G-F-0008-002,Photographs of the Luzer Battalion (1914-1916),תצלומים מ-1914-1916 של הגדוד של לוזר;,Fotografien von 1914-1916 des Luzer Bataillons;,Photographs from 1914-1916 of the Luzer Battalion;,Unspecified,תצלום|Photograph,photography,original,,1914,,,
