page_no	chars	mean_conf
286	10034	0.952
287	9697	0.954
288	9959	0.948
289	2369	0.939
290	2433	0.939
291	4618	0.933
292	3747	0.951
293	3511	0.934
294	2907	0.948
295	795	0.857
296	1048	0.863
297	3747	0.956
298	89	0.942
299	2020	0.961
300	911	0.952
301	3	0.737
302	918	0.933
303	2180	0.953
304	2052	0.951
305	2466	0.953
306	1823	0.953
307	1887	0.96
308	1697	0.956
309	1757	0.949
310	0	0.0
311	0	0.0
312	147	0.955
313	0	0.0
314	3138	0.948
315	3221	0.949
316	4020	0.955
317	3654	0.956
318	3463	0.955
319	3494	0.95
320	3505	0.951
321	3254	0.953
322	2112	0.956
323	1613	0.937
324	1959	0.915
325	1717	0.928
326	1510	0.929
327	1476	0.935
328	2146	0.934
329	1914	0.916
330	2200	0.895
331	1951	0.907
332	2280	0.912
333	2237	0.925
334	894	0.933
335	814	0.952
336	42	0.963
337	4613	0.897
338	2834	0.92
339	9932	0.946
340	189	0.857
341	4164	0.919
342	4166	0.937
343	5447	0.949
344	2035	0.88
345	6431	0.906
346	99	0.508
347	4987	0.76
348	7331	0.858
349	8862	0.89
350	6755	0.876
351	10585	0.854
352	8704	0.868
353	2851	0.813
354	153	0.836
355	137	0.833
356	3075	0.937
357	3234	0.946
358	3297	0.95
359	3238	0.945
360	3316	0.951
361	3253	0.947
362	3320	0.949
363	3304	0.953
364	3291	0.951
365	3331	0.949
366	3160	0.947
367	3287	0.946
368	3225	0.95
369	3191	0.952
370	3177	0.95
371	3196	0.949
372	3292	0.949
373	3232	0.95
374	3346	0.953
375	677	0.95
376	75	0.347
377	90	0.906
378	1563	0.95
379	1668	0.924
380	1423	0.93
381	3047	0.943
382	2039	0.935
383	1788	0.896
384	2724	0.877
385	3379	0.941
386	3543	0.938
387	2025	0.92
388	1924	0.864
389	3332	0.941
390	4194	0.95
391	1673	0.929
392	2287	0.943
393	2098	0.949
394	1673	0.945
395	1536	0.945
396	1197	0.933
397	2309	0.952
398	3515	0.954
399	3071	0.959
400	2428	0.906
401	2250	0.952
402	3290	0.865
403	453	0.705
404	1453	0.925
