page_no	chars	mean_conf
193	2348	0.946
194	2385	0.945
195	2485	0.944
196	1837	0.946
197	2292	0.945
198	2252	0.944
199	2439	0.947
200	2363	0.947
201	2143	0.943
202	2414	0.945
203	2466	0.949
204	2498	0.95
205	2417	0.947
206	2501	0.949
207	2458	0.948
208	2462	0.942
209	2206	0.947
210	2335	0.948
211	2410	0.945
212	2535	0.949
213	2330	0.941
214	0	0.0
215	36	0.689
216	2049	0.942
217	2502	0.945
218	2468	0.947
219	2390	0.949
220	2418	0.947
221	2476	0.947
222	2391	0.95
223	2422	0.949
224	2424	0.942
225	2465	0.946
226	2447	0.95
227	2302	0.948
228	2419	0.949
229	1997	0.948
230	2382	0.945
231	2326	0.948
232	0	0.0
233	227	0.523
234	6	0.602
235	0	0.0
236	0	0.0
237	2311	0.947
238	2424	0.946
239	2449	0.943
240	2314	0.947
241	2306	0.943
242	2355	0.943
243	2396	0.945
244	1703	0.942
245	2115	0.942
246	0	0.0
247	6	0.702
248	0	0.0
249	0	0.0
250	2212	0.952
251	2353	0.95
252	2472	0.95
253	2280	0.939
254	2438	0.945
255	2401	0.947
256	2404	0.948
257	2457	0.948
258	2373	0.948
259	2314	0.952
260	2379	0.947
261	0	0.0
262	90	0.54
263	0	0.0
264	2421	0.944
265	1633	0.942
266	2437	0.945
267	2319	0.947
268	2484	0.941
269	2295	0.946
270	2432	0.948
271	2439	0.946
272	2423	0.945
273	2370	0.944
274	2416	0.942
275	2453	0.943
276	2457	0.95
277	2427	0.947
278	2442	0.944
279	565	0.932
280	2457	0.948
281	2414	0.949
282	2410	0.952
283	2428	0.948
284	2405	0.949
285	2384	0.951
286	2452	0.95
287	2337	0.945
288	2330	0.949
289	2419	0.95
290	2367	0.944
291	2445	0.947
292	2336	0.948
293	2419	0.945
294	2449	0.948
295	2238	0.946
296	2095	0.94
297	2350	0.945
298	2376	0.949
299	2443	0.949
300	2328	0.949
301	2372	0.948
302	2504	0.946
303	2387	0.947
304	2308	0.95
305	2343	0.948
306	2326	0.95
307	2232	0.95
308	2174	0.946
309	1570	0.949
310	0	0.0
311	0	0.0
312	2436	0.952
313	2336	0.952
314	2337	0.953
315	1737	0.952
316	2286	0.948
317	2450	0.951
