item_id	parent	signals	title	english_translation	german_translation	item_description	language	creation_date	format	document_type	main_subject	item_class
IL-MTFN-001-G-F-0009-004-R0003	IL-MTFN-001-G-F-0009-004	papers	חוברת על משפחת לוקס מאת אריך לוקס	A booklet in German from the Aachen area, entirely dedicated to certain branches of the Lux family, written by Erich Lux in 1980. The names of 'Lux' from this estate were not found;	Broschüre auf Deutsch aus der Region Aachen, die sich ganz bestimmten Zweigen der Familie Lux widmet, geschrieben von Erich Lux im Jahr 1980. Die Namen der 'Lux' aus diesem Nachlass wurden nicht gefunden;	"חוברת בגרמנית מאיזור אאכן כולה עוסקת בענפים מסוימים של משפ. לוקס, נכתב ע""י אריך לוקס ב-1980. לא נמצאו שמותיהם של 'לוקס' מעיזבון זה;"	German	1980	Print	חוברת|Booklet	אריך לוקס	Creative Nonfiction
IL-MTFN-001-G-F-0009-004-R0005	IL-MTFN-001-G-F-0009-004	visit	Photograph of a German Article by Richard (Uri) Weiss	Photograph of an article in German written during a visit by Richard (Uri) Weiss to Neu-Isenburg, Germany, where he grew up and went to school.	Fotografie eines Artikels auf Deutsch, der während eines Besuchs von Richard (Uri) Weiss in Neu-Isenburg, Deutschland, wo er aufwuchs und zur Schule ging, geschrieben wurde.	"צילום מאמר בגרמנית שנכתב בביקור שעשה ריכרד (אורי) וייס בנוי-איזנבורג, גרמניה, שם גדל והלך לבי""ס;"	German		Unknown	מאמר|Article	Richard (Uri) Weiss	Creative Nonfiction
IL-MTFN-001-G-F-0009-006-R0001	IL-MTFN-001-G-F-0009-006	diary	Diary of René Weiss, March 1914	Diary written by René Weiss in March 1914 in a foreign nationals camp in India	Tagebuch, das René Weiss im März 1914 in einem Lager für ausländische Staatsangehörige in Indien geschrieben hat	יומן שכתב רנה וייס במרץ 1914 במחנה נתינים זרים בהודו	Hebrew	1914-03	Handwritten	יומן|Diary	René Weiss	EgoDocument
IL-MTFN-001-G-F-0009-013-R0003	IL-MTFN-001-G-F-0009-013	diary	A Kind of Diary	A kind of diary.	Eine Art Tagebuch.	מין יומן.	Unspecified		Unknown	יומן|Diary		EgoDocument
IL-MTFN-001-G-F-0009-013-R0007	IL-MTFN-001-G-F-0009-013	correspondence	Correspondence between Rena and Hela, 1928	Correspondence between Rena and Hela from 1928, Rena with the children and Hela is at her parents'. In the letters, things that trouble the couple in daily life are written.	Korrespondenz zwischen Rena und Hela aus dem Jahr 1928, Rena mit den Kindern und Hela ist bei ihren Eltern. In den Briefen werden Dinge geschrieben, die das Paar im Alltag beschäftigen.	התכתבות בין רנה והלה מ-1928, רנה עם הילדים והלה נמצאת אצל הוריה. במכתבים נכתבים דברים שמטרידים את הזוג בחיי היום יום.	Hebrew	1928	Handwritten	מכתב|Letter		Communication Document
IL-MTFN-001-G-F-0012-002-R0010	IL-MTFN-001-G-F-0012-002	visit	Residence Permit for Salomon Fink, 1902	1902, Residence permit in Reichenbach for the traveling merchant Salomon Fink. Issued by the royal police in Dresden.	1902, Aufenthaltserlaubnis in Reichenbach für den reisenden Händler Salomon Fink. Ausgestellt von der königlichen Polizei in Dresden.	"1902, אישור שהייה ברייכנזכסן לסוחר הנוסע סלומון פינק. הוצא ע""י המשטרה המלכותית בדרזדן Drezden;"	German	1902	Unknown	תעודה|Certificate	Salomon Fink	Legal Document
IL-MTFN-001-G-F-0012-002-R0014	IL-MTFN-001-G-F-0012-002	visit	Siegfried Pink's Request for Help to Return to Germany	Siegfried Pink, who is in Shanghai, asks Heinz Pink for help to return to Germany, 1946. In a letter, Siegfried details his family connection to Heinz. He also mentions in his letter that he left Germany in 1939 but would like to receive an entry visa for Germany.	Siegfried Pink, der sich in Shanghai befindet, bittet Heinz Pink um Hilfe, um nach Deutschland zurückzukehren, 1946. In einem Brief beschreibt Siegfried seine familiäre Verbindung zu Heinz. Er erwähnt auch in seinem Brief, dass er Deutschland 1939 verlassen hat, aber gerne ein Einreisevisum für Deutschland erhalten würde.	זיגפריד Siegfried פינק שנמצא בשנגחאי מבקש עזרה מהיינץ פינק לחזור לגרמניה, 1946. במכתב מפרט זיגפריד את הקשר המשפחתי שלו להיינץ. כמו כן הוא מזכיר במכתבו שעזב את גרמניה ב-1939 אבל היה רוצה לקבל אשרת כניסה לגרמניה;	Hebrew	1946	Typewritten	מכתב|Letter	Siegfried Pink	Communication Document
IL-MTFN-001-G-F-0012-003-R0001	IL-MTFN-001-G-F-0012-003	papers	Pillowcase for Passover with Embroidery	"The file contains: Pillowcase for Passover with embroidered image of participants at the Seder night and the embroidered inscription: ""Next year in Jerusalem"". The leader of the Seder sits relaxed (leaning) on the pillow. From the estate of the family that immigrated from Germany. No date."	"Die Akte enthält: Kissenbezug für Pessach mit gesticktem Bild von Teilnehmern am Sederabend und der gestickten Aufschrift: ""Nächstes Jahr in Jerusalem"". Der Leiter des Seders sitzt entspannt (angelehnt) auf dem Kissen. Aus dem Nachlass der Familie, die aus Deutschland eingewandert ist. Ohne Datum."	"התיק מכיל: ציפת כרית לפסח עם רקמת תמונה של מסובים בליל הסדר ורקמת הכיתוב: ""בשנה הבאה בירושלים"". עורך הסדר יושב נינוח (מסובה / מסובין) תוך השענות על הכרית. מעיזבון המשפחה שעלתה מגרמניה. ללא תאריך."	Hebrew|עברית		Visual Element|אלמנט ויזואלי	לא מזוהה|Unrecognized		Ephemera
IL-MTFN-001-G-F-0013-001-R0002	IL-MTFN-001-G-F-0013-001	visit	Leather Case with Embroidered Initials RP	Leather case for photos or business cards, with silver and gold thread embroidery of the initials RP.	Ledertasche für Fotos oder Visitenkarten, mit Silber- und Goldfadenstickerei der Initialen RP.	נרתיק מעור לתמונות או לכרטיסי ביקור, עליו רקמת חוטי כסף וזהב של ראשי התיבות RP.	Unspecified		Unknown	חפץ|Object		Object
IL-MTFN-001-G-F-0013-001-R0005	IL-MTFN-001-G-F-0013-001	diary,visit	יומן כיס קטנטן של פלורה מ-1880	A tiny pocket diary from 1880. From the diary: 14-year-old Flora studies at a boarding school for noble girls in Prague. She goes for walks, attends concerts, theater, parties, learns cutting and sewing, and is happy to spend the holidays at home.	Ein kleines Taschenbuch aus dem Jahr 1880. Aus dem Tagebuch: Die 14-jährige Flora besucht ein Internat für adlige Mädchen in Prag. Sie macht Spaziergänge, besucht Konzerte, Theater, Partys, lernt Schneiderei und Nähen und freut sich, die Ferien zu Hause zu verbringen.	יומן כיס קטנטן מ-1880. מתוך היומן: פלורה בת ה-14 לומדת בפנימיה לבנות מיוחסות בפראג Prag. היא מטיילת, מבקרת בקונצרטים, תיאטרון, מסיבות, לומדת גזירה ותפירה ושמחה לבלות את החופשות בבית.	Hebrew|German	1880	Handwritten	יומן|Diary	Flora	EgoDocument
IL-MTFN-001-G-F-0013-001-R0006	IL-MTFN-001-G-F-0013-001	diary	"Flora's Diary ""Head and Heart"" 1884"	"Small diary of Flora with the title ""Head and Heart"" from 1884, Flora is 18 years old."	"Kleines Tagebuch von Flora mit dem Titel ""Kopf und Herz"" aus dem Jahr 1884, Flora ist 18 Jahre alt."	"יומן קטן של פלורה עם הכותרת ""ראש ולב"" מ-1884, פלורה בת 18."	Hebrew	1884	Unknown	יומן|Diary	Flora	EgoDocument
IL-MTFN-001-G-F-0013-001-R0012	IL-MTFN-001-G-F-0013-001	diary	Flora Glaser's Diary, 1883	Small diary of Flora Glaser from 1883, at the beginning she writes: With God.	Kleines Tagebuch von Flora Glaser aus dem Jahr 1883, am Anfang schreibt sie: Mit Gott.	יומן קטן של פלורה גלזר מ-1883 בראשיתו היא כותבת: עם ה' Mit Gott.	Hebrew|German	1883	Handwritten	יומן|Diary	Flora Glaser	EgoDocument
IL-MTFN-001-G-F-0015-005-R0002	IL-MTFN-001-G-F-0015-005	visit	Letter from Max Kramer to his mother, 1889	"Since 1889, a 9-year-old boy named Max (according to the date, the writer is Dr. Max Kramer, 9 years old) writes to his mother who is at some health resort with the son/brother Hans. Max writes that he hopes her cough has improved and that Hans is healthy. In his letter, he mentions that the emperor visited the city ""yesterday"" and the duke hosted him and about 4000 organizations in the city garden where there were refreshments of beer and sausages. (It is possible that the city is Karlsruhe since Max Kramer was born there)."	"Seit 1889 schreibt ein 9-jähriger Junge namens Max (laut Datum ist der Verfasser Dr. Max Kramer, 9 Jahre alt) an seine Mutter, die sich mit dem Sohn/Bruder Hans an einem Kurort befindet. Max schreibt, dass er hofft, dass ihr Husten sich verbessert hat und dass Hans gesund ist. In seinem Brief erzählt er, dass der Kaiser ""gestern"" die Stadt besucht hat und der Herzog ihn und etwa 4000 Organisationen im Stadtgarten empfangen hat, wo es Bier und Würstchen gab. (Es ist möglich, dass die Stadt Karlsruhe ist, da Max Kramer dort geboren wurde)."	"משנת 1889 ילד בשם מקס בן 9 (לפי התאריך, הכותב הוא ד""ר מקס קרמר בן ה;9) כותב אל אמו שנמצאת במקום הבראה כל שהוא יחד עם הבן / האח הנס. מקס כותב שהוא מקווה שהשיעול שלה השתפר וגם שהנס בריא. הוא מספר במכתבו שהקיסר ביקר ""אתמול"" בעיר והדוכס אירח אותו ועוד כ-4000 אירגונים בגן העיר ושהיה כיבוד בבירה ונקניקיות. (יתכן שהעיר היא קרלסרואה מאחר ומקס קרמר נולד שם)."	Hebrew	1889	Handwritten	מכתב|Letter	Max Kramer	EgoDocument
IL-MTFN-001-G-F-0015-006-R0001	IL-MTFN-001-G-F-0015-006	memoir	Memory Books of Johanna Neumark	Three memory books of three generations in the family: Memory book of Johanna Neumark (Hess), also known as 'Henchen', the mother of Jenny Kramer. The memories were written in the years 1874-1932 in Nördlingen.	Drei Erinnerungsbücher von drei Generationen in der Familie: Erinnerungsbuch von Johanna Neumark (Hess), auch bekannt als 'Henchen', die Mutter von Jenny Kramer. Die Erinnerungen wurden in den Jahren 1874-1932 in Nördlingen geschrieben.	שלושה ספרי זכרונות של 3 דורות במשפחה: ספר זכרונות של יוהנה נוימרק (הס) Johanna Neumark הידועה גם כ'הנכן', אמה של ג'ני קרמר. הזכרונות נכתבו בשנים 1874-1932 בנורדלינגן Nördlingen.	German|גרמנית	1874-1932	Unknown	ספר זכרונות|Memory Book	Johanna Neumark	EgoDocument
IL-MTFN-001-G-F-0015-006-R0002	IL-MTFN-001-G-F-0015-006	memoir	Memory Book of Jenny Hess (Kramer)	Memory book of Jenny Hess (Kramer), written in the years 1901-1932 in Stuttgart.	Erinnerungsbuch von Jenny Hess (Kramer), geschrieben in den Jahren 1901-1932 in Stuttgart.	ספר זכרונות של ג'ני הס (קרמר), שנכתבו בשנים 1901-1932 בשטוטגרט Stuttgart.	Hebrew|German	1932	Handwritten	ספר זכרונות|Memory Book	Jenny Hess (Kramer)	EgoDocument
IL-MTFN-001-G-F-0015-006-R0003	IL-MTFN-001-G-F-0015-006	memoir	Memory Book of Gertrud (Tuvit) Kramer	Memory book of Gertrud (Tuvit) Kramer (Shimshon), written in the years 1928-1932 in Stuttgart.	Erinnerungsbuch von Gertrud (Tuvit) Kramer (Shimshon), geschrieben in den Jahren 1928-1932 in Stuttgart.	ספר זכרונות של גרטרוד (טובית) קרמר (שמשון) נכתבו בשנים 1928-1932 בשטוטגרט.	Hebrew	1928-1932	Handwritten	ספר זכרונות|Memory Book	גרטרוד (טובית) קרמר (שמשון)	EgoDocument
IL-MTFN-001-G-F-0015-007-R0001	IL-MTFN-001-G-F-0015-007	diary	Mein Ahnenbuch by Jenny Kramer	"A thick notebook written in German in the handwriting of Jenny Kramer, née Hess. Its title is ""Mein Ahnenbuch"" in Hebrew: My Ancestry Book. The first chapter is: The Cromwell Family, who are the beginning of the family."	"Ein dickes Notizbuch, geschrieben auf Deutsch in der Handschrift von Jenny Kramer, geborene Hess. Sein Titel ist ""Mein Ahnenbuch"". Der erste Abschnitt ist: Die Familie Kromwell, die der Ursprung der Familie ist."	"מחברת עבה כתובה גרמנית בכתב ידה של ג'ני קרמר לבית הס. כותרתה ""Mein Ahnenbuch"" בעברית: ספר אבותיי. הפרק הראשון הוא: משפחת קרומוול Die Kromwells שהם ראשית המשפחה."	German		Handwritten	יומן|Diary	Jenny Kramer	EgoDocument
IL-MTFN-001-G-F-0015-012-R0001	IL-MTFN-001-G-F-0015-012	visit	Letters from Jenny Kramer to Dr. Max Kramer, 1916	Letters in German bound in a notebook: Jenny Kramer writes to her husband Dr. Max Kramer while he served as a doctor in the military during World War I. The letters were written from February to September 1916. Among other things, Jenny writes to her husband about his patients, whom she continued to care for, about family and friends, about visits to the theater, about her pregnancy, and more. She occasionally also sends pictures.	Briefe auf Deutsch in ein Notizbuch gebunden: Jenny Kramer schreibt an ihren Ehemann Dr. Max Kramer, während er im Ersten Weltkrieg als Arzt im Militär diente. Die Briefe wurden von Februar bis September 1916 geschrieben. Unter anderem schreibt Jenny an ihren Ehemann über seine Patienten, die sie weiterhin betreut, über Familie und Freunde, über Theaterbesuche, über ihre Schwangerschaft und mehr. Sie schickt gelegentlich auch Fotos.	"מכתבים בגרמנית כרוכים למחברת: ג'ני קרמר כותבת לבעלה ד""ר מקס קרמר בזמן ששירת כרופא בצבא במלח""ע I. המכתבים נכתבו מפברואר עד ספטמבר 1916. בין היתר כותבת ג'ני לבעלה על הפציאנטים שלו, שהיא המשיכה לטפל בהם, על המשפחה והחברים, על ביקורים בתיאטרון, על הריונה ועוד. היא שולחת מדי פעם גם תמונות."	German|גרמנית	1916-02	Handwritten	מכתב|Letter	Jenny Kramer	EgoDocument
IL-MTFN-001-G-F-0017-002-R0009	IL-MTFN-001-G-F-0017-002	diary	Quotes on Death from Simon Klenbach's Diary	Quotes from famous writers about death, from the diary of Simon Klenbach.	Zitate bekannter Schriftsteller über den Tod, aus dem Tagebuch von Simon Klenbach.	ציטטות של סופרים ידועים על המות, מתוך יומנו של סימון קלנבך.	Hebrew		Unknown	רשימות|Personal Notes	Simon Klenbach	EgoDocument
IL-MTFN-001-G-F-0020-001-R0001	IL-MTFN-001-G-F-0020-001	visit	Excerpt from Dr. Yitzhak Rilf's Book	A printed excerpt from Dr. Yitzhak Rilf's book Drei Tage in Jüdisch;Russland, Three Days in Jewish Russia (1882). The excerpt discusses his visit to Minsk after a pogrom and the burning of the synagogue. He finds and takes a partially burned Torah scroll and requests that one day it be buried with him.	Ein gedruckter Auszug aus dem Buch von Dr. Yitzhak Rilf Drei Tage in Jüdisch;Russland, Drei Tage im jüdischen Russland (1882). Der Abschnitt handelt von seinem Besuch in Minsk nach einem Pogrom und der Verbrennung der Synagoge. Er findet und nimmt eine teilweise verbrannte Tora-Rolle und bittet darum, dass sie eines Tages mit ihm begraben wird.	"קטע מודפס מתוך ספרו של ד""ר יצחק רילף Drei Tage in Jüdisch;Russland, שלושה ימים ברוסיה היהודית (1882). בקטע מדובר בביקורו במינסק אחרי פוגרום ושריפת בית הכנסת. הוא מוצא ולוקח ספר תורה שרוף בחלקו ומבקש שבבוא היום יקברו אותו עם הספר הנ""ל."	German|Hebrew	1882	Print	מסמך מתורגם|Translated Document		Creative Nonfiction
IL-MTFN-001-G-F-0020-001-R0002	IL-MTFN-001-G-F-0020-001	memoir	Letters to Ruth Rilf from Margot Hausenstein	Two letters to Ruth Rilf (wife of Dr. Shlomo Rilf) from Margot Hausenstein; the 88-year-old granddaughter of Yitzhak Rilf, who lives in London and writes her memories of her grandfather Yitzhak Rilf. London, German, handwritten, 1979.	Zwei Briefe an Ruth Rilf (Ehefrau von Dr. Shlomo Rilf) von Margot Hausenstein; die 88-jährige Enkelin von Yitzhak Rilf, die in London lebt und ihre Erinnerungen an den Großvater Yitzhak Rilf schreibt. London, Deutsch, Handschrift, 1979.	"שני מכתבים אל רות רילף (רעיתו של ד""ר שלמה רילף) מאת מרגוט האוזנשטיין Margot Hausenstein; נכדתו של יצחק רילף בת ה-88, שחיה בלונדון וכותבת את הזיכרונות שלה על הסבא יצחק רילף. לונדון, גרמנית כתב יד, 1979."	German	1979	Handwritten	מכתב|Letter	Margot Hausenstein	EgoDocument
IL-MTFN-001-G-F-0021-001-R0001	IL-MTFN-001-G-F-0021-001	visit	3 German Books by the Wolf Couple	3 books in German, written by the Wolf couple: Im freien Asien; Travel sketches of two doctors / International Worker; Verlag Berlin, 1931. Durch Kaukasien; Travel sketches of German doctors / International Worker; Verlag, Berlin, 1927; Faschistenland; Italian travel sketches ? International Worker; Verlag, Berlin, 1931;	3 Bücher auf Deutsch, geschrieben von dem Ehepaar Wolf: Im freien Asien; Reiseskizzen zweier Ärzte / Internationaler Arbeiter; Verlag Berlin, 1931. Durch Kaukasien; Reiseskizzen deutscher Ärzte / Internationaler Arbeiter; Verlag, Berlin, 1927; Faschistenland; Italienische Reiseskizzen ? Internationaler Arbeiter; Verlag, Berlin, 1931;	"3 ספרים בגרמנית, שנכתבו ע""י הזוג וולף: Im freien Asien; Reiseskizzen zweier Ärzte / Internationaler Arbeiter;Verlag Berlin, 1931. Durch Kaukasien; Reiseskizzen deutscher Ärzte / Internationaler Arbeiter;Verlag, Berlin, 1927; Faschistenland; Italienische Reiseskitzzen ? Internationaler Arbeiter;Verlag, Berlin, 1931;"	German		Print	ספר|Book		Creative Nonfiction
IL-MTFN-001-G-F-0022-001-R0002	IL-MTFN-001-G-F-0022-001	diary	Diary Pages of Ursula Weihl	Several original pages from the diary of Red Cross nurse Ursula Weihl, a child caregiver who worked at the Jewish children's home in Cologne.	Einige Originalseiten aus dem Tagebuch der Rotkreuzschwester Ursula Weihl, einer Kinderpflegerin, die im jüdischen Kinderheim in Köln arbeitete.	מספר דפים מקוריים מתוך ספר יומן Tagebuch של אחות הצלב האדום אורסולה וייל Ursula Weihl מטפלת ילדים, שעבדה בבית הילדים היהודי בקלן Köln.	German		Unknown	יומן|Diary	Ursula Weihl	EgoDocument
IL-MTFN-001-G-F-0022-003-R0005	IL-MTFN-001-G-F-0022-003	visit	Visit of President Chaim Weizmann, 1955	Visit of the President of the State, Chaim Weizmann, 1955.	Besuch des Staatspräsidenten, Chaim Weizmann, 1955.	ביקור של נשיא המדינה, חיים ויצמן, 1955.	Unspecified	1955	Unknown	לא מזוהה|Unrecognized	Chaim Weizmann	Organization Papertrail
IL-MTFN-001-G-F-0022-003-R0007	IL-MTFN-001-G-F-0022-003	correspondence	Correspondence with Dr. Meyer Wolf on the New Aliyah Party	"Correspondence in German with the first chairman of the Nahariya council, Dr. Meyer Wolf, regarding the ""New Aliyah"" party."	"Korrespondenz auf Deutsch mit dem ersten Vorsitzenden des Rates von Nahariya, Dr. Meyer Wolf, über die Partei ""Neue Alija""."	"התכתבות בגרמנית עם ראש המועצה הראשון של נהריה, ד""ר מאייר וולף MeyerWolf בנושא מפלגת ""עליה חדשה""."	German		Unknown	מכתב|Letter	Meyer Wolf	Communication Document
IL-MTFN-001-G-F-0022-004-R0005	IL-MTFN-001-G-F-0022-004	correspondence	Documents and Correspondence with German Authorities	Documents and correspondence with lawyers and authorities in Germany during the Third Reich period, regarding Dr. Weil's professional rights and financial obligations in his favor.	Dokumente und Korrespondenz mit Anwälten und Behörden in Deutschland während der Zeit des Dritten Reiches, in Bezug auf die beruflichen Rechte von Dr. Weil und finanzielle Verpflichtungen zu seinen Gunsten.	"מסמכים והתכתבויות עם עו""ד והרשויות בגרמניה, בתקופת הרייך השלישי, בקשר עם זכויותו המקצועיות של ד""ר וייל וחובות כספיים שלזכותו."	Hebrew|German		Unknown	Letter	Dr. Weil	Legal Document
IL-MTFN-001-G-F-0022-005-R0015	IL-MTFN-001-G-F-0022-005	visit	רשיון כניסה לארנסט וייל	"Entry permit of the ""Military Government in the Occupied Territories"" for Ernst Weil, a doctor, who is allowed to travel to Nazareth and the Eastern Galilee, 1950."	"Einreisegenehmigung des ""Militärverwaltung in den besetzten Gebieten"" für Ernst Weil, Arzt, der berechtigt ist, nach Nazareth und Ostgaliläa zu reisen, 1950."	"רשיון כניסה, של ""ממשל צבאי בשטחים המוחזקים"" לארנסט וייל, רופא, הנ""ל רשאי לנסוע לנצרת ולגליל המזרחי, 1950."	Hebrew	1950	Unknown	תעודה|Certificate	ארנסט וייל	Legal Document
