item_id	parent	item_description	german_translation	english_translation	format	language	creation_date	publication_date	number_of_pages	documentary_form_type	production_technique_type	main_subject	record_state	title	item_class	document_type	creation_place	transkribus_doc_ids	transkribus_titles	transkribus_n_docs	transkribus_pages	transkribus_lines	transkribus_pages_final	transkribus_pages_gt	transkribus_pages_in_progress	transkribus_pages_new
IL-MTFN-001-G-F-0004-001-R0002	IL-MTFN-001-G-F-0004-001	"ספר אורחים 1953-1967: נשואים טריים שמבלים את ירח הדבש בנהריה. הקלוב של ""רוטרי נהריה"" נהג לערוך את פגישותיו בפנסיון כהן מאז 1952. בספר זה חתומים בין היתר: משה דיין, תיאודור הויז (אז נשיא גרמניה), רולף פאולוס (שגרירה הראשון של גרמניה בישראל), יוחאי בן-נון מפקד חיל הים, שהתארח יחד עם קבוצה של חיילים ועוד."	Gästebuch 1953-1967: Frisch verheiratete Paare, die ihre Flitterwochen in Nahariya verbringen. Der Rotary Club Nahariya hielt seit 1952 seine Treffen im Pension Cohen ab. In diesem Buch sind unter anderem unterschrieben: Moshe Dayan, Theodor Heuss (damals Präsident von Deutschland), Rolf Pauls (erster Botschafter Deutschlands in Israel), Yohai Ben-Nun, Kommandant der Marine, der zusammen mit einer Gruppe von Soldaten zu Gast war und andere.	Guestbook 1953-1967: Newlyweds spending their honeymoon in Nahariya. The Rotary Club of Nahariya used to hold its meetings at Pension Cohen since 1952. Among others, this book is signed by: Moshe Dayan, Theodor Heuss (then President of Germany), Rolf Pauls (Germany's first ambassador to Israel), Yohai Ben-Nun, Commander of the Navy, who visited with a group of soldiers, and others.	Unknown	Hebrew	1953						original	Guestbook 1953-1967: Rotary Club Nahariya	EgoDocument	ספר|Book										
IL-MTFN-001-G-F-0004-001-R0003	IL-MTFN-001-G-F-0004-001	עיתון הומוריסטי מ-1920 שנכתב לרגל נישואי ריכרד כהן עם גרטל לבית וינדמילר ברדה, גרמניה; .Richard Cohn, Gretel geb. Windmüller, Rehda.	Humoristische Zeitung von 1920, geschrieben anlässlich der Hochzeit von Richard Cohn mit Gretel geb. Windmüller in Rehda, Deutschland.	Humorous newspaper from 1920 written on the occasion of the marriage of Richard Cohn with Gretel née Windmüller in Rehda, Germany.	Print	German	1920	1920			print	Richard Cohn	original	Humorous Newspaper for the Wedding of Richard Cohn and Gretel Windmüller	Ephemera	עיתון|Newspaper										
IL-MTFN-001-G-F-0004-001-R0004	IL-MTFN-001-G-F-0004-001	"טיוטת נאום בגרמנית שנשא ד""ר ריכרד שטראוס (ממחלבות שטראוס) חבר הרוטרי, לרגל סגירת הפנסיון ב-1967."	Entwurf einer Rede auf Deutsch, gehalten von Dr. Richard Strauss (von Strauss Molkereien), Mitglied des Rotary Clubs, anlässlich der Schließung der Pension im Jahr 1967.	Draft of a speech in German delivered by Dr. Richard Strauss (from Strauss Dairies), a member of the Rotary Club, on the occasion of the closure of the pension in 1967.	Handwritten	German	1967			yes	handwriting	Dr. Richard Strauss	draft	Draft Speech by Dr. Richard Strauss on Pension Closure, 1967	Communication Document	נאום|Speech										
IL-MTFN-001-G-F-0004-001-R0005	IL-MTFN-001-G-F-0004-001	"מאמר בגרמנית לזכרה של גרטל כהן שנכתב ע""י אריך להמן ב-1974."	Artikel auf Deutsch zum Gedenken an Gretel Cohen, geschrieben von Erich Lehmann im Jahr 1974.	Article in German in memory of Gretel Cohen written by Erich Lehmann in 1974.	Unknown	German	1974					Gretel Cohen	original	Article in Memory of Gretel Cohen by Erich Lehmann	Creative Nonfiction	מאמר|Article										
IL-MTFN-001-G-F-0004-001-R0006	IL-MTFN-001-G-F-0004-001	תמונות של פנסיון כהן כפי שהיה, תמונות אורחים נופשים; ביו היתר תמונות של ותיקי נהריה במפגש עם תאודור הויז, תמונות משפחתיות של ריכרד וגרטל כהן.	Bilder von Pension Cohen wie es war, Bilder von Urlaubsgästen; unter anderem Bilder von Veteranen von Nahariya bei einem Treffen mit Theodor Heuss, Familienbilder von Richard und Gretel Cohen.	Pictures of Pension Cohen as it was, pictures of vacationing guests; among others, pictures of Nahariya veterans meeting with Theodor Heuss, family pictures of Richard and Gretel Cohen.	Visual Element	Unspecified					photography		original	Pictures of Pension Cohen and Guests	Image	תצלום|Photograph										
IL-MTFN-001-G-F-0005-001-R0001	IL-MTFN-001-G-F-0005-001	מנוסקריפט לזכרה של לוטה אנגל לבית הקר, בגרמנית ועברית ומודפס.	Manuskript zum Gedenken an Lotte Engel, geborene Ker, auf Deutsch und Hebräisch und gedruckt.	Manuscript in memory of Lotte Engel née Ker, in German and Hebrew and printed.	Typewritten	Hebrew|German					typewriting	Lotte Engel	original	Manuscript in Memory of Lotte Engel	EgoDocument	מכתב|Letter		1243735	IL-MTFN-001-G-F-0005-1_0001_0317	1	317	11171	0	0	317	0
IL-MTFN-001-G-F-0005-001-R0002	IL-MTFN-001-G-F-0005-001	"צילום מאמר בגרמנית על מקס הקר ופועלו מתוך: ""Unsere Stimme"" מ-1965."	"Fotografie eines Artikels auf Deutsch über Max Horkheimer und seine Arbeit aus: ""Unsere Stimme"" von 1965."	"Photograph of an article in German about Max Horkheimer and his work from: ""Unsere Stimme"" from 1965."	Unknown	German		1965			photography	Max Horkheimer	copy	Photograph of German Article on Max Horkheimer from 1965	Communication Document	מסמך מתורגם|Translated Document		1243735	IL-MTFN-001-G-F-0005-1_0001_0317	1	317	11171	0	0	317	0
IL-MTFN-001-G-F-0005-001-R0003	IL-MTFN-001-G-F-0005-001	13 עמודים מודפסים מתוך אתר המשפחה באינטרנטץ הטקסטים באנגלית מלווים בתמונות.	13 gedruckte Seiten von der Familien-Website im Internet. Die Texte sind auf Englisch und werden von Bildern begleitet.	13 printed pages from the family website on the internet. The texts are in English and accompanied by pictures.	Print	English			13		print		copy	Printed Pages from Family Website	Image	דף אינטרנט|Web Page		1243735	IL-MTFN-001-G-F-0005-1_0001_0317	1	317	11171	0	0	317	0
IL-MTFN-001-G-F-0005-002-R0001	IL-MTFN-001-G-F-0005-002	צילום של אילן היוחסין של משפחות: ריינס, מוזס, הקר.	Fotografie des Stammbaums der Familien: Reines, Moses, Haker.	Photograph of the family tree of the families: Reines, Moses, Haker.	Visual Element	Unspecified					photography		copy	Family Tree of Reines, Moses, Haker	Image	תצלום|Photograph										
IL-MTFN-001-G-F-0005-002-R0002	IL-MTFN-001-G-F-0005-002	גלויה ששולח החייל אודו מוזס אל אמו יוהנה בטיפאו 1914 (נהרג זמן קצר אחרי זה).	Postkarte, die der Soldat Udo Moses an seine Mutter Johanna in Tifau 1914 schickt (kurz danach getötet).	Postcard sent by soldier Udo Moses to his mother Johanna in Tifau 1914 (killed shortly after).	Unknown	German	1914			yes	other	Udo Moses	original	Postcard from Udo Moses to his mother Johanna, 1914	EgoDocument	גלויה|Postcard										
IL-MTFN-001-G-F-0005-002-R0003	IL-MTFN-001-G-F-0005-002	מכתב תנחומים מ-1917 על מות אחיה של חנה פרידה, ברונו מוזס, בשדה הקרב. הכותב הוא ידיד המשפחה, ארתור פלץ, שגם הוא נהרג זמן קצר אחר כך.	Beileidsbrief von 1917 über den Tod von Hannah Friedas Bruder, Bruno Moses, auf dem Schlachtfeld. Der Verfasser ist ein Freund der Familie, Arthur Pelz, der kurz darauf ebenfalls getötet wurde.	Condolence letter from 1917 about the death of Hannah Frieda's brother, Bruno Moses, on the battlefield. The writer is a family friend, Arthur Pelz, who was also killed shortly afterward.	Handwritten	Hebrew	1917			yes	handwriting	Arthur Pelz	original	Condolence Letter for Bruno Moses	Communication Document	מכתב|Letter										
IL-MTFN-001-G-F-0005-002-R0004	IL-MTFN-001-G-F-0005-002	תצלום של אודו מוזס כחייל.	Foto von Udo Moses als Soldat.	Photograph of Udo Moses as a soldier.	Visual Element	Unspecified					photography	Udo Moses	original	Photograph of Udo Moses as a Soldier	Image	תצלום|Photograph										
IL-MTFN-001-G-F-0005-002-R0005	IL-MTFN-001-G-F-0005-002	תצלום של יוהנה, דורותיאה והנרייטה לבית ריינוס.	Foto von Johanna, Dorothea und Henriette aus der Familie Reinus.	Photograph of Johanna, Dorothea, and Henrietta from the Reinus family.	Visual Element	Unspecified					photography		original	Photograph of Johanna, Dorothea, and Henrietta Reinus	Image	תצלום|Photograph										
IL-MTFN-001-G-F-0005-002-R0006	IL-MTFN-001-G-F-0005-002	אוסף לזכרו של אודו מוזס, ובו מכתבים של אודו מארגנטינה אל הוריו זמן קצר לפני פרוץ מלחמת העולם ומכתב קצר אחרי פרוץ המלחמה. אודו רוצה לחזור ל'מולדת' ולהלחם באויביה. הוא חזר, התגייס ונפל בשדה הקרב זמן קצר אחרי גיוסו.	Sammlung zum Gedenken an Udo Moses, mit Briefen von Udo aus Argentinien an seine Eltern kurz vor dem Ausbruch des Zweiten Weltkriegs und einem kurzen Brief nach dem Ausbruch des Krieges. Udo möchte in die 'Heimat' zurückkehren und gegen ihre Feinde kämpfen. Er kehrte zurück, trat in die Armee ein und fiel kurz nach seiner Einberufung auf dem Schlachtfeld.	Collection in memory of Udo Moses, containing letters from Udo from Argentina to his parents shortly before the outbreak of World War II and a short letter after the outbreak of the war. Udo wants to return to the 'homeland' and fight its enemies. He returned, enlisted, and fell on the battlefield shortly after his enlistment.	Unknown	Hebrew						Udo Moses	original	Letters of Udo Moses from Argentina	EgoDocument	מכתב|Letter										
IL-MTFN-001-G-F-0005-002-R0007	IL-MTFN-001-G-F-0005-002	נאום הספד שנשא הידיד ארתור פלץ.	Trauerrede gehalten von Freund Arthur Pelz.	Eulogy delivered by friend Arthur Pelz.	Unknown	Hebrew						Arthur Pelz	original	Eulogy by Arthur Pelz	EgoDocument	נאום|Speech										
IL-MTFN-001-G-F-0005-002-R0008	IL-MTFN-001-G-F-0005-002	שירים של גרטה סלוס - Grete Salus בגרמנית ובתרגום של לאה אלון לעברית.	Gedichte von Grete Salus - Grete Salus auf Deutsch und übersetzt von Lea Alon ins Hebräische.	Poems by Grete Salus - Grete Salus in German and translated by Lea Alon into Hebrew.	Unknown	German|Hebrew						Grete Salus	original	Poems by Grete Salus in German and Hebrew	Creative Fiction	שיר|Poem|מסמך מתורגם|Translated Document										
IL-MTFN-001-G-F-0005-002-R0009	IL-MTFN-001-G-F-0005-002	ספרון שירים מודפס בגרמנית, שמכיל חלק משיריה של יוהנה מוזס לבית ריינוס. הספרון ניתן במתנה ליוהנה מילדיה ליום הולדתה ה-70 בשנת 1923.	Ein kleines Buch mit Gedichten, gedruckt in deutscher Sprache, das einige der Gedichte von Johanna Moses, geborene Reinus, enthält. Das Büchlein wurde Johanna von ihren Kindern zu ihrem 70. Geburtstag im Jahr 1923 geschenkt.	A small book of poems printed in German, containing some of the poems by Johanna Moses née Reinus. The booklet was given to Johanna by her children for her 70th birthday in 1923.	Print	German		1923			print	יוהנה מוזס	original	ספרון שירים של יוהנה מוזס	Creative Fiction	שיר|Poem										
IL-MTFN-001-G-F-0005-002-R0010	IL-MTFN-001-G-F-0005-002	שיר בעברית בכתב יד מסתלסל, שכתב ר' אליהו ריינוס 1825-1892 אביה של יוהנה מוזס, וסבא-רבא של התורמת, לאה אלון. את השיר כתב לחתנו, בנימין מוזס ליום הולדתו ה-39, שנת 1889.	Ein handgeschriebenes hebräisches Gedicht, verfasst von R. Eliyahu Reinus 1825-1892, dem Vater von Johanna Moses und Urgroßvater der Spenderin Lea Alon. Das Gedicht schrieb er für seinen Schwiegersohn Benjamin Moses zu dessen 39. Geburtstag im Jahr 1889.	A Hebrew poem in cursive handwriting, written by R. Eliyahu Reinus 1825-1892, the father of Johanna Moses and great-grandfather of the donor, Lea Alon. He wrote the poem for his son-in-law, Benjamin Moses, for his 39th birthday, in the year 1889.	Handwritten	Hebrew	1889				handwriting	Benjamin Moses	original	Poem by R. Eliyahu Reinus for Benjamin Moses's 39th Birthday	Creative Fiction	שיר|Poem										
IL-MTFN-001-G-F-0005-002-R0011	IL-MTFN-001-G-F-0005-002	מכתבים והספד לאודו מוזס Udo Moses כפי שנמצאו במחברתה של פרידה הקר לבית מוזס.	Briefe und Nachruf für Udo Moses, wie sie in Frida Hacars Notizbuch gefunden wurden.	Letters and eulogy for Udo Moses as found in Frida Hacar's notebook.	Unknown	Hebrew						Udo Moses	other	Letters and Eulogy for Udo Moses	EgoDocument	מכתב|Letter										
IL-MTFN-001-G-F-0005-002-R0012	IL-MTFN-001-G-F-0005-002	תמונה של אודו מוזס כחייל.	Ein Bild von Udo Moses als Soldat.	A picture of Udo Moses as a soldier.	Visual Element	Unspecified					photography	Udo Moses	original	Picture of Udo Moses as a Soldier	Image	תצלום|Photograph										
IL-MTFN-001-G-F-0005-002-R0013	IL-MTFN-001-G-F-0005-002	תמונה של יוהנה, דורותיאה והנרייטה לבית ריינוס Johanna, Dorothea, Henriette Reinus.	Bild von Johanna, Dorothea und Henriette aus der Familie Reinus.	Picture of Johanna, Dorothea, and Henriette from the Reinus family.	Visual Element	Unspecified					photography	Johanna|Dorothea|Henriette Reinus	original	Picture of Johanna, Dorothea, and Henriette Reinus	Image	תצלום|Photograph										
IL-MTFN-001-G-F-0005-002-R0014	IL-MTFN-001-G-F-0005-002	מטפחת ראש בה כיסתה לאה ריינוס לבית אהרונסון את ראשה בעת נישואיה לר' אליהו ריינוס ב-1845. המטפחת מוצגת בתצוגת המוזיאון.	Ein Kopftuch, mit dem Lea Reinus geb. Aharonson ihren Kopf bei ihrer Hochzeit mit Rabbi Eliyahu Reinus im Jahr 1845 bedeckte. Das Kopftuch wird in der Museumsausstellung gezeigt.	A headscarf with which Lea Reinus née Aharonson covered her head at her wedding to Rabbi Eliyahu Reinus in 1845. The headscarf is displayed in the museum exhibition.	Unknown	Irrelevant	1845					Lea Reinus	original	Lea Reinus' Wedding Headscarf	Ephemera	חפץ|Object										
IL-MTFN-001-G-F-0005-002-R0015	IL-MTFN-001-G-F-0005-002	עבודת הגמר של המהנדס מקס הקר (אביה של לאה אלון) בנושא: 'הרכבות של תורכיה האסייתית' - 'Die Eisenbahnen der Asiatischen Türkei'.	Die Abschlussarbeit des Ingenieurs Max Hacker (Vater von Lea Alon) zum Thema: 'Die Eisenbahnen der Asiatischen Türkei'.	The final project of engineer Max Hacker (father of Lea Alon) on the topic: 'The Railways of Asian Turkey'.	Unknown	German						Max Hacker	original	Final Project of Engineer Max Hacker on 'The Railways of Asian Turkey'	Creative Nonfiction	מסמך מתורגם|Translated Document										
IL-MTFN-001-G-F-0005-002-R0016	IL-MTFN-001-G-F-0005-002	חוברת בגרמנית Der Jüdische Student משנת 1905 בה מופיע מאמר/מחקר שכתב אודו מוזס על כת השבתיים 'Entstehung und Geschichte der Sekte der Sabatarier un Siebenbürgen'.	Eine Broschüre auf Deutsch Der Jüdische Student aus dem Jahr 1905, in der ein Artikel/Forschung von Udo Moses über die Sabbatianer-Sekte 'Entstehung und Geschichte der Sekte der Sabatarier un Siebenbürgen' erscheint.	A German booklet Der Jüdische Student from 1905, featuring an article/research by Udo Moses on the Sabbatian sect 'Entstehung und Geschichte der Sekte der Sabatarier un Siebenbürgen'.	Print	German		1905			print	אודו מוזס	original	Der Jüdische Student 1905 - מאמר מאת אודו מוזס	Creative Nonfiction	חוברת|Booklet										
IL-MTFN-001-G-F-0005-003-R0001	IL-MTFN-001-G-F-0005-003	מחברת השירים של יוהנה מוזס לבית ריינוס שכתבה בכתב יד בגרמנית	Das Liederbuch von Johanna Moses, geborene Reinus, das sie handschriftlich auf Deutsch geschrieben hat	The songbook of Johanna Moses, née Reinus, written in handwriting in German	Handwritten	German					handwriting	יוהנה מוזס	original	מחברת השירים של יוהנה מוזס	Creative Nonfiction	שיר|Poem										
IL-MTFN-001-G-F-0005-003-R0002	IL-MTFN-001-G-F-0005-003	תמונת דיוקן של יוהנה מוזס	Porträtbild von Johanna Moses	Portrait picture of Johanna Moses	Visual Element	Unspecified					photography	יוהנה מוזס	original	Portrait of Johanna Moses	Image	תצלום|Photograph										
IL-MTFN-001-G-F-0005-003-R0003	IL-MTFN-001-G-F-0005-003	הסברים בעברית	Erklärungen auf Hebräisch	Explanations in Hebrew	Unknown	Hebrew							other	Explanations in Hebrew	Communication Document	Unrecognized										
IL-MTFN-001-G-F-0005-003-R0004	IL-MTFN-001-G-F-0005-003	כתוביות שהיו מוצגות בתצוגת המוזיאון עד 2005	Beschriftungen, die bis 2005 in der Museumsausstellung gezeigt wurden	Captions that were displayed in the museum exhibition until 2005	Unknown	Unspecified		2005					other	Museum Exhibition Captions	Ephemera	לא מזוהה|Unrecognized										
IL-MTFN-001-G-F-0005-003-R0005	IL-MTFN-001-G-F-0005-003	הספר 'כמיהות', זכרונות חנה פרידה הקר לבית מוזס, עברית	Das Buch 'Kmiot', Erinnerungen von Chana Frida Haker, geborene Moses, Hebräisch	The book 'Kmiot', Memories of Chana Frida Haker née Moses, Hebrew	Print	Hebrew					print	Chana Frida Haker	original	Memories of Chana Frida Haker	EgoDocument	ספר|Book										
IL-MTFN-001-G-F-0006-001-R0001	IL-MTFN-001-G-F-0006-001	צילום מכתב המלצה שנתנה אמו של סטף ורטהיימר לעובדת במשק ביתה בשנת 1929 בקיפנהיים Kippenheim, גרמניה. היא חותמת ב'גב' אויגן ורטהיימר' שם בעלה.	Fotografie eines Empfehlungsschreibens, das 1929 von der Mutter von Stef Wertheimer an eine Hausangestellte in Kippenheim, Deutschland, gegeben wurde. Sie unterschreibt mit 'Frau Eugen Wertheimer', dem Namen ihres Mannes.	Photograph of a recommendation letter given by Stef Wertheimer's mother to a household worker in 1929 in Kippenheim, Germany. She signs as 'Mrs. Eugen Wertheimer', her husband's name.	Unknown	German	1929				photography		copy	Recommendation Letter Photograph by Stef Wertheimer's Mother	Communication Document	מכתב|Letter										
IL-MTFN-001-G-F-0006-001-R0002	IL-MTFN-001-G-F-0006-001	"צילום ממכתב תנחומים, שכתב אויגן ורטהיימר אל משפחת סלומון מרקס ב-1941 בגרמנית בתל-אביב. מהכתובת בראש המכתב ניתן ללמוד, שהנ""ל עסק במסחר תבואות בגרמניה."	Fotografie eines Beileidsschreibens, das Eugen Wertheimer 1941 in Tel Aviv auf Deutsch an die Familie Salomon Marx schrieb. Aus der Adresse am Kopf des Briefes geht hervor, dass er in Deutschland im Getreidehandel tätig war.	Photograph of a condolence letter written by Eugen Wertheimer to the Salomon Marx family in 1941 in German in Tel Aviv. From the address at the top of the letter, it can be learned that he was engaged in grain trade in Germany.	Unknown	German	1941				photography	Eugen Wertheimer	copy	Condolence Letter from Eugen Wertheimer to Salomon Marx Family	Communication Document	מכתב|Letter										
