item_id	parent	signals	title	english_translation	german_translation	item_description	language	creation_date	format	document_type	main_subject	item_class	max_year
IL-MTFN-001-G-F-0030-013-R0002	IL-MTFN-001-G-F-0030-013	correspondence,memoir	Correspondence between Ruth Schocken and Andreas and Ruth Meyer	1951-2003, correspondence between Ruth Schocken and Andreas and Ruth Meyer regarding the memories of Gertrud Meyer, typewritten, German.	1951-2003, Korrespondenz zwischen Ruth Schocken und Andreas und Ruth Meyer bezüglich der Erinnerungen von Gertrud Meyer, getippt, Deutsch.	1951-2003, התכתבות עם רות שוקן Ruth Schocken לבין אנדריאס ורות מאייר בקשר לזיכרונות של גרטרוד מאייר, מודפס, גרמנית.	German	1951	Typewritten	מכתב|Letter		Communication Document	2003
IL-MTFN-001-G-F-0030-013-R0003	IL-MTFN-001-G-F-0030-013	memoir	Memories of Gertrud Meyer	1953-2003, Memories of Gertrud Meyer translated by Ruth Shoken, 34 pages, Family life until the death of Alexander Meyer, printed, English;	1953-2003, Erinnerungen von Gertrud Meyer, übersetzt von Ruth Shoken, 34 Seiten, Familienleben bis zum Tod von Alexander Meyer, gedruckt, Englisch;	1953-2003, זיכרונות של גרטרוד מאייר מתורגם על ידי רות שוקן, 34 דפים, Family life until the death of Alexander Meyer, מודפס, אנגלית;	English	1953	Typewritten	מסמך מתורגם|Translated Document	Gertrud Meyer	EgoDocument	2003
IL-MTFN-001-G-F-0030-013-R0004	IL-MTFN-001-G-F-0030-013	memoir	Parts of Gertrud Meyer's Memories	1939-1955, parts of the memories of Gertrud Meyer, printed, German; Gertrud Meyer, childhood, youth, profession. From left behind texts, the division as it was in the received binder; Family life until Alexander Meyer's death, 1953;	1939-1955, Teile der Erinnerungen von Gertrud Meyer, gedruckt, Deutsch; Gertrud Meyer, Kindheit, Jugendzeit, Beruf. Aus hinterlassenen Texten, die Aufteilung wie sie im erhaltenen Ordner war; Familienleben bis zum Tod von Alexander Meyer, 1953;	1939-1955, חלקים מהזיכרונות של גרטרוד מאייר, מודפס, גרמנית; Gertrud Meyer, Kindheit, Jugendzeit, Beruf. Aus hinterlassenen Texten, החלוקה כפי שהייתה בקלסר שהתקבל; Familienleben bis zu Alexander Meyers Tod, 1953;	German|גרמנית		Print	רשימות|Personal Notes	Gertrud Meyer	EgoDocument	1955
IL-MTFN-001-G-F-0030-013-R0005	IL-MTFN-001-G-F-0030-013	visit	Vossische Zeitung Article on Swedish Trip	1944; Spanish Journey 1908; From a holiday trip through Sweden. Vossische Zeitung, Tuesday, August 8, 1905, I. Gothenburg, Nääs, Marstrand;	1944; Spanische Reise 1908; Von einer Ferienreise durch Schweden. Vossische Zeitung, Dienstag, den 8, August 1905, I. Gothenburg, Nääs, Marstrand;	1944; Spanische Reise 1908; Von einer Ferienreise durch Schweden. Vossische Zeitung, Dienstag, den 8, August 1905, I. Gothenburg, Nääs, Marstrand;	German	1905-08-08	Unknown	Article		Communication Document	1944
IL-MTFN-001-G-F-0030-014-R0014	IL-MTFN-001-G-F-0030-014	visit	Correspondence of Andreas and Justus Meyer regarding business in Nahariya	1939-1941, correspondence of Andreas Meyer and Justus Meyer regarding their business in Nahariya. Among other things: invoices, price quotes, payments, price list for bicycle repairs, prices of raw materials, request to the Office of the Controller of Heavy Industries and Director of War Production to help find a machine part, German.	1939-1941, Korrespondenz von Andreas Meyer und Justus Meyer bezüglich ihres Geschäfts in Nahariya. Unter anderem: Rechnungen, Preisvorschläge, Zahlungen, Preisliste für Fahrradreparaturen, Preise für Rohstoffe, Antrag an das Office of the Controller of Heavy Industries and Director of War Production, um bei der Suche nach einem Maschinenteil zu helfen, Deutsch.	1939-1941, התכתבות של אנדריאס מאייר Andreas Meyer ויוסטוס מאייר Justus Meyer בקשר לעסק שלהם בנהריה. בין היתר: חשבוניות הצעות מחיר, תשלומים, מחירון על תיקוני אופניים, מחירים של חומרי גלם, בקשה אל Office of the Controller of Heavy Industires and Director of War Production לעזור למצוא חלק למכונה, גרמנית,;	German	1939	Unknown	מכתב|Letter	Andreas Meyer|Justus Meyer	Communication Document	1941
IL-MTFN-001-G-F-0030-015-R0008	IL-MTFN-001-G-F-0030-015	visit	Correspondence of Otto Mayer on Haavera Transfer and Farm Purchase	1938-1937, Correspondence of Otto Mayer regarding the Haavera transfer, purchase of a farm in Nahariya from Nahariya Small Holdings Ltd., Nahariya, costs of the farm, purchase prices, German.	1938-1937, Korrespondenz von Otto Mayer bezüglich der Haavera-Übertragung, Kauf eines Anwesens in Nahariya von Nahariya Small Holdings Ltd., Nahariya, Kosten des Anwesens, Kaufpreise, Deutsch.	"1938-1937, התכתבות של אוטו מאייר בקשר להעברה Haavera, קנית משק בנהריה מנהריה משקים זעירים בע""ם, נהריה Nahariya Small Holdings Ltd. Nahariya, עלויות של משק, מחירי קניה, גרמנית."	German	1937	Unknown	מכתב|Letter	Otto Mayer	Communication Document	1938
IL-MTFN-001-G-F-0030-015-R0009	IL-MTFN-001-G-F-0030-015	correspondence	Correspondence on Water Tariff	1940-1941, correspondence between Andreas and Justus Mayer and the Nahariah small holders cooperative society LTd. regarding the water tariff, German.	1940-1941, Korrespondenz zwischen Andreas und Justus Mayer und der Nahariah small holders cooperative society LTd. bezüglich des Wassertarifs, Deutsch.	"1940-1941, התכתבות בין אנדריאס ויוסטוס מאייר לבין האגודה שתופית חקלאית של בעלי משק זעיר בע""מ Nahariah small holders cooperative society LTd. בקשר לתעריף המים, גרמנית."	German	1940	Unknown	מכתב|Letter	Andreas and Justus Mayer	Communication Document	1941
IL-MTFN-001-G-F-0030-017-R0010	IL-MTFN-001-G-F-0030-017	correspondence	Correspondence on Emanuel Meyer's Family Tree	2007, correspondence between Andreas and Mike Roberts in the United States regarding the family tree of Emanuel Meyer, English;	2007, Korrespondenz zwischen Andreas und Mike Roberts in den USA über den Stammbaum von Emanuel Meyer, Englisch;	2007, התכתבות בין אנדריאס לבין מיק רוברטס Mike Roberts בארצות הברית בקשר לאילן יוחסין של עמנואל מאייר Emanuel Meyer, אנגלית;	English	2007	Unknown	מכתב|Letter	Emanuel Meyer	Communication Document	2007
IL-MTFN-001-G-F-0030-017-R0015	IL-MTFN-001-G-F-0030-017	memoir	Memories of Otto Mayer about Emanuel Mayer	22.03.1991, Memories of Otto Mayer regarding Emanuel Mayer, with the story about Emanuel Mayer's factories and the story of the brothers, printed by Justus Mayer, German;	22.03.1991, Erinnerungen von Otto Mayer im Zusammenhang mit Emanuel Mayer, mit der Geschichte über die Werke von Emanuel Mayer und der Geschichte der Brüder, gedruckt von Justus Mayer, Deutsch;	22.03.1991, זכרונות של אוטו מאייר בקשר של עמנואל מאייר, עם הסיפור על מפעלי עמנואל מאייר וסיפור של האחים, מודפס על ידי יוסטוס מאייר, גרמנית;	German		Typewritten	מסמך מתורגם|Translated Document	Emanuel Mayer	EgoDocument	1991
IL-MTFN-001-G-F-0030-017-R0022	IL-MTFN-001-G-F-0030-017	correspondence	Correspondence with Sabine Klamroth about the Meyer Family	2006, correspondence with Sabine Klamroth regarding the Meyer family from Halberstadt, disk with pictures of the Meyer family who lived in Halberstadt, German	2006, Korrespondenz mit Sabine Klamroth bezüglich der Familie Meyer aus Halberstadt, Disk mit Bildern der Familie Meyer, die in Halberstadt lebten, Deutsch	2006, התכתבות עם Sabine Klamroth בקשר למשפחת מאייר מהלברשטט Halberstadt, דיסק עם תמונות של משפחת מאייר שהיו גרים בהלברשטט, גרמנית	German	2006	Unknown	מכתב|Letter	Sabine Klamroth	Communication Document	2006
IL-MTFN-001-G-F-0030-018-R0002	IL-MTFN-001-G-F-0030-018	visit	Passports of Otto Mayer (1940-1955)	1940-1955, Passports of Otto Mayer. British passport with prohibition to enter Syria and Egypt. Israeli passport from 1953 with a one-time visit visa to enter Germany and a stamp from the State of Israel removing the prohibition to enter Germany.	1940-1955, Pässe von Otto Mayer. Britischer Pass mit Einreiseverbot nach Syrien und Ägypten. Israelischer Pass von 1953 mit einem einmaligen Besuchervisum für die Einreise nach Deutschland und einem Stempel des Staates Israel, der das Einreiseverbot nach Deutschland aufhebt.	1940-1955, דרכונים של אוטו מאייר. דרכון בריטי עם איסור להיכנס לסוריה ומצריים. דרכון ישראלי מ 1953 עם ויזה לביקור אחד פעמי להיכנס לגרמניה וחותמת ממדינת ישראל בה נמחק האיסור להיכנס לגרמניה.	Hebrew|English|German	1953	Unknown	תעודה|Certificate	Otto Mayer	Legal Document	1955
IL-MTFN-001-G-F-0030-018-R0005	IL-MTFN-001-G-F-0030-018	visit	Letters to Otto Mayer regarding Nuremberg Laws	1933-1935, two letters to Otto Mayer informing him that he can no longer be a member of the circles due to the Nuremberg Laws, handwritten in German.	1933-1935, zwei Briefe an Otto Mayer, die ihm mitteilen, dass er aufgrund der Nürnberger Gesetze nicht mehr Mitglied in den Kreisen sein kann, handschriftlich auf Deutsch.	1933-1935, שתי מכתבים אל אוטו מאייר שמודיעים לו שהוא לא יכול יותר להיות חבר בחוגים עקב חוקי נירנברג, גרמנית כתב יד.	German	1933	Handwritten	מכתב|Letter	Otto Mayer	Communication Document	1935
IL-MTFN-001-G-F-0030-018-R0007	IL-MTFN-001-G-F-0030-018	diary	Copy of Otto Mayer's WWI Participation Certificate	1936, copy of a certificate of Otto Mayer's participation in World War I and in which battles he participated; war diary, certified by the mayor of Rheda, German, handwritten.	1936, Kopie einer Bestätigung über die Teilnahme von Otto Mayer am Ersten Weltkrieg und an welchen Schlachten er teilgenommen hat; Kriegstagebuch, bestätigt vom Bürgermeister von Rheda, Deutsch, Handschrift.	1936, העתק אישור על השתתפותו של אוטו מאייר במלחמת העולם הראשונה ובאיזה קרבות השתתף; יומן מלחמה, מאושר על ידי ראש העיר של Rheda, גרמנית, כתב יד.	German	1936	Handwritten	תעודה|Certificate	Otto Mayer	Certificate	1936
IL-MTFN-001-G-F-0030-025-R0013	IL-MTFN-001-G-F-0030-025	correspondence	2 CDs with Radio Recordings and Correspondence	2002, 2 CDs with recordings of radio programs in Germany Nachtstudio, the story of the German Jews in the Holy Land, and correspondence with Ulrich Manz;	2002, 2 CDs mit Aufnahmen von Radiosendungen in Deutschland Nachtstudio, die Geschichte der deutschen Juden im Heiligen Land, und Korrespondenz mit Ulrich Manz;	2002, 2 דיסקים עם הקלטה של תוכניות רדיו בגרמניה Nachtstudio, הסיפור של יהודי גרמניה בארץ הקודש Die Geschichte der deutschen Juden im Heiligen Land, והתכתבות עם Ulrich Manz;	German|Hebrew	2002	Unknown	מכתב|Letter	Ulrich Manz	Communication Document	2002
IL-MTFN-001-G-F-0030-027-R0006	IL-MTFN-001-G-F-0030-027	correspondence,visit	Correspondence and Newspaper Clippings on Nahariya-Bielefeld Friendship	Correspondence with delegations from Bielefeld with Andreas Meyer regarding visits - 2005, Nahariya Bielefeld, various newspaper clippings about 25 years of friendship between Nahariya Bielefeld and articles about 70 years of Nahariya, German, printed.	Korrespondenz mit Delegationen aus Bielefeld mit Andreas Meyer bezüglich Besuchen - 2005, Nahariya Bielefeld, verschiedene Zeitungsausschnitte über 25 Jahre Freundschaft zwischen Nahariya Bielefeld und Artikel über 70 Jahre Nahariya, Deutsch, gedruckt.	התכתבות עם משלחות מבילפלד עם אנדריאס מאייר בקשר לביקורים- 2005, נהריה בילפלד, קטעי עיתון שונים על 25 שנות חברות בין נהריה בילפלד וכתבות על 70 שנה לנהריה, גרמנית, מודפס.	German|גרמנית	2005	Print	מכתב|Letter|גזיר עיתון|News Clipping	Andreas Meyer	Communication Document	2005
IL-MTFN-001-G-F-0030-027-R0009	IL-MTFN-001-G-F-0030-027	visit	Correspondence regarding Nahariya's 70th anniversary celebrations	2005, Correspondence of Andreas Meyer and the city of Bielefeld regarding the 70th anniversary celebrations of the city of Nahariya, including flight details and schedule of Andreas and Yigal Meyer for the visit to Bielefeld.	2005, Korrespondenz von Andreas Meyer und der Stadt Bielefeld bezüglich der 70-Jahr-Feier der Stadt Nahariya, einschließlich Flugdetails und Zeitplan von Andreas und Yigal Meyer für den Besuch in Bielefeld.	2005, התכתבות של אנדריאס מאייר Andreas Meyer ועירית בילפלד Bielefeld בקשר לחגיגות 70 של העיר נהריה, בין היתר פירטי טיסה ולוח זמנים של אנדריאס ויגאל מאייר לביקור בבילפלד.	Hebrew|German	2005	Unknown	מכתב|Letter	Andreas Meyer	Communication Document	2005
IL-MTFN-001-G-F-0030-029-R0002	IL-MTFN-001-G-F-0030-029	correspondence	Correspondence between Edgar Carmi and Andreas Meyer	2003, correspondence between Edgar Carmi and Andreas Meyer, regarding the return of the flag, + picture of the first Independence Day in Nahariya with the flag	2003, Korrespondenz zwischen Edgar Carmi und Andreas Meyer, bezüglich der Rückgabe der Flagge, + Bild vom ersten Unabhängigkeitstag in Nahariya mit der Flagge	2003, התכתבות בין אדגר קרמי Edgar Carmi ואנדריאס מאייר Andreas Meyer, בקשר להחזרת הדגל, +תמונה של יום עצמאות הראשון בנהריה עם הדגל	Hebrew|German	2003	Unknown	מכתב|Letter		Communication Document	2003
IL-MTFN-001-G-F-0030-032-R0013	IL-MTFN-001-G-F-0030-032	visit	Letter from Andreas during trip near Dead Sea and Jerusalem	08.11.1940, a letter Andreas wrote while on a trip near the Dead Sea and Jerusalem to his family. In the letter, Andreas humorously describes a few days of travel in the area. German, handwritten print.	08.11.1940, ein Brief, den Andreas schrieb, als er auf einer Reise in der Nähe des Toten Meeres und Jerusalems war, an seine Familie. In dem Brief beschreibt Andreas auf humorvolle Weise einige Tage der Reise in der Gegend. Deutsch, handschriftlich gedruckt.	08.11.1940, מכתב שאנדריאס כתב כאשר היה בטיול ליד ים המלח וירושלים אל משפחתו. במכתב אנדריאס מתאר בצורה הומוריסטית כמה ימי טיול באזור. גרמנית, מודפס כתב יד.	German	1940-11-08	Handwritten	מכתב|Letter	Andreas	EgoDocument	1940
IL-MTFN-001-G-F-0030-032-R0014	IL-MTFN-001-G-F-0030-032	visit	Letters from Andreas and Esther Meyer to Gertrud Meyer, 1957	1957, Letters from Andreas Meyer and Esther Meyer (each separately) to Gertrud Meyer, Andreas's mother, for her birthday. Andreas and Esther are on a trip abroad. German, handwritten.	1957, Briefe von Andreas Meyer und Esther Meyer (jeweils separat) an Gertrud Meyer, die Mutter von Andreas, zu ihrem Geburtstag. Andreas und Esther sind auf einer Reise im Ausland. Deutsch, Handschrift.	"1957, מכתבים מאת אנדריאס מאייר Andreas Meyer ואסתר מאייר Esther Meyer (כל אחד בנפרד) אל גרטרוד מאייר Gertrud Meyer אמו של אנדריאס לכבוד יום ההולדת שלה. אנדריאס ואסתר נמצאים בטיול בחו""ל. גרמנית, כתב יד."	German	1957	Handwritten	מכתב|Letter	Gertrud Meyer	Communication Document	1957
