page_no	chars	mean_conf
124	445	0.894
125	841	0.845
126	1277	0.897
127	1881	0.878
128	2930	0.917
129	2842	0.934
130	2408	0.933
131	2464	0.921
132	1038	0.922
133	1153	0.731
134	403	0.905
135	1033	0.822
136	217	0.877
137	941	0.861
138	0	0.0
139	1516	0.936
140	2723	0.9
141	2736	0.943
142	2649	0.914
143	2812	0.924
144	1961	0.898
145	2703	0.931
146	2798	0.916
147	2713	0.93
148	209	0.631
149	2796	0.924
150	2646	0.929
151	2229	0.89
152	2620	0.941
153	2257	0.938
154	1283	0.853
155	1470	0.848
156	770	0.871
157	1174	0.822
158	809	0.844
159	608	0.804
160	914	0.885
161	867	0.834
162	1115	0.823
163	1629	0.769
164	1155	0.87
165	1689	0.838
166	564	0.858
167	672	0.809
168	1922	0.94
169	2733	0.93
170	2141	0.917
171	2807	0.931
172	2758	0.933
173	2826	0.938
174	1079	0.916
175	950	0.797
176	1625	0.887
177	2744	0.923
178	2733	0.944
179	2559	0.927
180	2227	0.931
181	2087	0.925
182	2758	0.943
183	2953	0.941
184	1828	0.943
185	229	0.733
186	300	0.584
187	937	0.719
188	500	0.796
189	519	0.757
190	0	0.0
191	864	0.933
192	1302	0.874
193	0	0.0
194	0	0.0
195	165	0.801
196	454	0.821
197	1765	0.933
198	1991	0.897
199	2308	0.936
200	2062	0.921
201	2234	0.936
202	1892	0.909
203	2066	0.937
204	2499	0.942
205	2486	0.934
206	2112	0.939
207	2347	0.937
208	2541	0.952
209	2476	0.932
210	2170	0.941
211	2348	0.922
212	2430	0.948
213	2050	0.94
214	2105	0.931
215	2261	0.913
216	2067	0.874
217	2392	0.929
218	1877	0.895
219	1743	0.917
220	1886	0.929
221	1924	0.926
222	1044	0.912
223	2114	0.91
224	1994	0.951
225	2309	0.925
226	1384	0.907
227	2853	0.898
228	3409	0.952
229	0	0.0
230	917	0.82
231	0	0.0
232	18	0.561
233	133	0.468
234	0	0.0
235	0	0.0
236	101	0.939
237	51	0.897
238	466	0.869
239	367	0.916
240	835	0.922
241	565	0.789
242	687	0.875
243	619	0.796
244	498	0.776
245	591	0.925
246	423	0.797
247	488	0.816
248	521	0.73
249	377	0.803
250	329	0.718
251	473	0.925
252	447	0.916
253	393	0.838
254	418	0.697
255	517	0.784
256	509	0.927
257	488	0.83
258	475	0.77
259	418	0.725
260	648	0.782
261	759	0.821
262	787	0.871
263	765	0.847
264	808	0.937
265	474	0.872
266	579	0.797
267	600	0.856
268	0	0.0
269	0	0.0
270	0	0.0
271	96	0.632
272	49	0.363
273	70	0.836
274	21	0.415
275	10	0.303
276	0	0.0
277	0	0.0
278	5	0.546
279	324	0.375
280	0	0.0
281	369	0.947
282	0	0.0
283	0	0.0
284	0	0.0
285	2211	0.961
286	16	0.126
287	137	0.456
288	84	0.31
289	0	0.0
290	0	0.0
291	234	0.942
292	3069	0.944
293	3320	0.95
294	3650	0.938
295	2899	0.943
296	3618	0.952
297	2159	0.948
298	1568	0.946
299	241	0.942
300	3029	0.948
301	3288	0.949
302	3598	0.949
303	2893	0.943
304	3562	0.948
305	2174	0.945
306	1569	0.938
307	9	0.305
308	669	0.359
309	324	0.838
310	967	0.867
311	996	0.872
312	957	0.886
313	1126	0.876
314	734	0.83
315	1277	0.846
316	982	0.809
317	1552	0.824
318	1128	0.813
319	891	0.809
320	1019	0.837
321	1077	0.794
322	1016	0.87
323	1113	0.875
324	633	0.889
325	768	0.886
326	666	0.839
327	545	0.838
328	603	0.856
329	587	0.83
330	270	0.914
331	1616	0.94
332	1855	0.934
333	1658	0.927
334	1540	0.94
335	1365	0.933
336	1304	0.949
337	1715	0.943
338	1152	0.946
339	865	0.948
340	756	0.889
341	1322	0.943
342	1271	0.938
343	2408	0.928
344	1392	0.929
345	880	0.935
346	991	0.95
347	968	0.916
348	754	0.909
349	751	0.916
350	901	0.89
351	0	0.0
352	154	0.318
353	218	0.461
354	996	0.458
355	1022	0.464
356	74	0.659
357	1076	0.46
358	1145	0.471
359	976	0.544
360	557	0.506
361	0	0.0
