docId	title	nrOfPages	guessed_folder_prefix	guessed_sub_series	matched_sub_series	matched_folder_prefix	folder_title	n_sub_series_under_folder	n_items_in_matched_sub	status_doc	pages_with_transcript	line_count	latest_transcript_ts	status_breakdown
1125803	black&whiteMitteilungSample	8						0	0	0	8	666	1661516261213	IN_PROGRESS:8
1125804	greyMitteilungSample	6						0	0	0	6	330	1661517218901	IN_PROGRESS:6
1148973	lotte	17						0	0	0	17	136	1662400988481	NEW:13,IN_PROGRESS:4
1242487	IL-MTFN-001-G-F-0187-2_0001_0006	263	IL-MTFN-001-G-F-0187	IL-MTFN-001-G-F-0187-002	IL-MTFN-001-G-F-0187-002	IL-MTFN-001-G-F-0187	Windmiller-Rechaim Shimshon, וינדמילר-ריחיים שמשון	3	11	0	263	2318	1682576018919	IN_PROGRESS:222,GT:41
1242496	IL-MTFN-001-G-F-0136_0001_0077	77	IL-MTFN-001-G-F-0136	IL-MTFN-001-G-F-0136-000	IL-MTFN-001-G-F-0136-001	IL-MTFN-001-G-F-0136	Schmal Hans u. Rina, שמל הנס ורנה	1	0	0	77	1935	1685109287848	FINAL:46,IN_PROGRESS:30,GT:1
1242506	IL-MTFN-001-G-F-0042_0001_0181	181	IL-MTFN-001-G-F-0042	IL-MTFN-001-G-F-0042-000	IL-MTFN-001-G-F-0042-001	IL-MTFN-001-G-F-0042	Schiff Fritz, שיף פריץ, תולדות משפחת שיף & וולפסון	1	0	0	181	3420	1682576386137	IN_PROGRESS:181
1242509	IL-MTFN-001-G-F-0047-19_0001_0099	99	IL-MTFN-001-G-F-0047	IL-MTFN-001-G-F-0047-019	IL-MTFN-001-G-F-0047-019	IL-MTFN-001-G-F-0047	Landsberg Alfred Abraham & Leoni, לנדסברג אלפרד אברהם & לאוני, לנושא קורות החיים	50	0	0	99	790	1721317081049	IN_PROGRESS:89,FINAL:10
1242511	IL-MTFN-001-G-F-0141_0001_0076	76	IL-MTFN-001-G-F-0141	IL-MTFN-001-G-F-0141-000	IL-MTFN-001-G-F-0141-001	IL-MTFN-001-G-F-0141	Pinner-Wiener Hanna, פינר-וינר חנה	1	0	0	76	1393	1721463094492	IN_PROGRESS:66,GT:8,FINAL:2
1242512	IL-MTFN-001-G-F-0457_0001_0196	196	IL-MTFN-001-G-F-0457	IL-MTFN-001-G-F-0457-000	IL-MTFN-001-G-F-0457-001	IL-MTFN-001-G-F-0457	Wohl Chava, וול חוה, זכרונות	1	0	0	196	2953	1682577005697	IN_PROGRESS:190,FINAL:6
1242515	IL-MTFN-001-G-F-0042_0001_0181	181	IL-MTFN-001-G-F-0042	IL-MTFN-001-G-F-0042-000	IL-MTFN-001-G-F-0042-001	IL-MTFN-001-G-F-0042	Schiff Fritz, שיף פריץ, תולדות משפחת שיף & וולפסון	1	0	0	181	7012	1684331310070	FINAL:130,IN_PROGRESS:49,GT:2
1242548	IL-MTFN-001-G-F-0149_0001_0138	138	IL-MTFN-001-G-F-0149	IL-MTFN-001-G-F-0149-000	IL-MTFN-001-G-F-0149-001	IL-MTFN-001-G-F-0149	Rosenbaum & Makover, רוזנבאום & מקובר, קהילה, משפחה	1	0	0	138	2138	1724074322059	FINAL:82,IN_PROGRESS:56
1243735	IL-MTFN-001-G-F-0005-1_0001_0317	317	IL-MTFN-001-G-F-0005	IL-MTFN-001-G-F-0005-001	IL-MTFN-001-G-F-0005-001	IL-MTFN-001-G-F-0005	Hecker Max Mordechai, הקר מקס מרדכי - זכרונות	3	3	0	317	11171	1688051876393	IN_PROGRESS:317
1250962	IL-MTFN-001-G-F-0141	76	IL-MTFN-001-G-F-0141		IL-MTFN-001-G-F-0141-001	IL-MTFN-001-G-F-0141	Pinner-Wiener Hanna, פינר-וינר חנה	1	0	0	76	2161	1682577843099	IN_PROGRESS:76
1250990	IL-MTFN-001-G-F-0021-3	205	IL-MTFN-001-G-F-0021	IL-MTFN-001-G-F-0021-003	IL-MTFN-001-G-F-0021-003	IL-MTFN-001-G-F-0021	Ruben & Wolf & Friedmann, רובן & וולף & פרידמן, תרגום לעברית של האוטוביוגרפיה של	5	2	0	205	6763	1721818803043	FINAL:195,IN_PROGRESS:8,GT:2
1250996	IL-MTFN-001-G-F-0034	180	IL-MTFN-001-G-F-0034		IL-MTFN-001-G-F-0034-001	IL-MTFN-001-G-F-0034	Aufhäuser Siegfried, אויפהויזר זיגפריד	1	0	0	180	8556	1682578174246	IN_PROGRESS:180
1253236	IL-MTFN-001-G-F-0457	196	IL-MTFN-001-G-F-0457		IL-MTFN-001-G-F-0457-001	IL-MTFN-001-G-F-0457	Wohl Chava, וול חוה, זכרונות	1	0	0	196	3042	1721948970757	FINAL:110,IN_PROGRESS:86
1265592	IL-MTFN-001-G-F-0078_0001_0116	116	IL-MTFN-001-G-F-0078	IL-MTFN-001-G-F-0078-000	IL-MTFN-001-G-F-0078-001	IL-MTFN-001-G-F-0078	Schalit, שליט	1	0	0	116	2782	1725781534332	IN_PROGRESS:116
1278384	IL-MTFN-001-G-F-0113-25 (1)	152	IL-MTFN-001-G-F-0113	IL-MTFN-001-G-F-0113-025	IL-MTFN-001-G-F-0113-025	IL-MTFN-001-G-F-0113	Wolf Fritz, וולף פריץ, ספרות	69	3	0	152	0	1675098212802	NEW:150,IN_PROGRESS:2
1409169	Kuzi	3						0	0	0	3	71	1682587635925	IN_PROGRESS:3
1422003	Evserov, Torokor, PaNEEM, 1929	490						0	0	0	490	108	1683794004114	NEW:479,IN_PROGRESS:11
1429906	dedupmrg591920843_IE190232518	6						0	0	0	6	0	1683795907100	NEW:6
1433568	Orientest	1						0	0	0	1	32	1684145482558	IN_PROGRESS:1
1433572	Orientest	2						0	0	0	2	45	1684754100694	IN_PROGRESS:2
1455625	תסריט וורנר גרמנית.pdf	15						0	0	0	15	484	1690981780178	GT:10,IN_PROGRESS:5
1491116	האח תרעא	164						0	0	0	164	432	1691398769904	NEW:156,IN_PROGRESS:8
1508482	IL-MTFN-001-G-F-0353-18	31	IL-MTFN-001-G-F-0353	IL-MTFN-001-G-F-0353-018	IL-MTFN-001-G-F-0353-018	IL-MTFN-001-G-F-0353	"Struck Hermann, שטרוק הרמן, ארה""ב 1928 / USA 1928"	53	11	0	31	210	1690181285312	NEW:22,GT:9
1512516	img	3						0	0	0	3	250	1690550063638	IN_PROGRESS:3
1514829	MB-Page-Sample	1						0	0	0	1	331	1690650976146	GT:1
1515089	1 (9.1932)	4						0	0	0	4	96	1690554706603	NEW:3,IN_PROGRESS:1
1515090	Internes Rundschreiben fÅr die Mitglieder der Hitachduth Olej Germania	18						0	0	0	18	0	1690554345106	NEW:18
1515093	Mitte MÑrz 1933	8						0	0	0	8	0	1690554801640	IN_PROGRESS:8
1515094	Mitte September 1933	12						0	0	0	12	0	1690554660355	NEW:12
1515095	Mitte November 1933	19						0	0	0	19	0	1690554770233	NEW:19
1515102	Mitte Dezember 1933	16						0	0	0	16	0	1690648206196	IN_PROGRESS:16
1777075	IL-MTFN-001-G-F-0405	486	IL-MTFN-001-G-F-0405		IL-MTFN-001-G-F-0405-001	IL-MTFN-001-G-F-0405	Brunner Adolf (Dolfi), ברונר אדולף (דולפי), זיכרונות	1	0	0	486	743	1706600198274	NEW:327,IN_PROGRESS:159
3087705	IL-MTFN-001-G-F-0410_0001_0009	97	IL-MTFN-001-G-F-0410	IL-MTFN-001-G-F-0410-000	IL-MTFN-001-G-F-0410-001	IL-MTFN-001-G-F-0410	"Lamberg-Scheck-Ofek, למברג-שק-אופק, חוברת בעברית ""זיכרון מתוק מארץ המלח"" עם קורו"	1	0	0	97	1515	1721499825757	IN_PROGRESS:62,GT:31,FINAL:4
3223503	TRAINING_VALIDATION_SET_Ofek	1						0	0	0	1	54	1720615857551	IN_PROGRESS:1
3355427	TRAINING_VALIDATION_SET_madpeset	1						0	0	0	1	4	1721460556925	IN_PROGRESS:1
3355567	TRAINING_VALIDATION_SET_Madpesetrtl	1						0	0	0	1	38	1721461711493	IN_PROGRESS:1
3355747	TRAINING_VALIDATION_SET_Scheck	2						0	0	0	2	91	1721462688132	IN_PROGRESS:2
3657816	IL-MTFN-001-G-F-0047-4_0001_0001	106	IL-MTFN-001-G-F-0047	IL-MTFN-001-G-F-0047-004	IL-MTFN-001-G-F-0047-004	IL-MTFN-001-G-F-0047	Landsberg Alfred Abraham & Leoni, לנדסברג אלפרד אברהם & לאוני, מכתבים	50	17	0	106	0	1723410940721	NEW:106
4008066	IL-MTFN-001-G-F-0047-45	59	IL-MTFN-001-G-F-0047	IL-MTFN-001-G-F-0047-045	IL-MTFN-001-G-F-0047-045	IL-MTFN-001-G-F-0047	Landsberg Alfred Abraham & Leoni, לנדסברג אלפרד אברהם & לאוני, מכתבים, גלויות אל	50	16	0	59	675	1725612195731	NEW:42,IN_PROGRESS:17
5017840	VA 80620 - Jehudith Deutschman nach Meier Chil Deutschman (1)	28						0	0	0	28	456	1730889066164	NEW:21,IN_PROGRESS:7
5018015	VA 80621 - Jehudith Deutschman (1)	13						0	0	0	13	0	1730884371846	NEW:13
