093$c סימול פרויקט (מעודכן)	issues, comments (by the AGSJI team)	adlib	Update (name, date)	351$c רמת תיאור	ParentId	245$a10 כותרת	German Summary (AI translation)	English Summary (AI translation)	תקציר מקור - חלק 1	תקציר מקור - חלק 2	260$c תאריך מנורמל	500$a הערה גלויה למשתמש - תפן	590$a הערה חסויה (לא גלויה למשתמש)	500$a מילות מפתח נושאים	500$a מספר עמודים	IE PID Delete, not for Alma	Cyra:
IL-MTFN-001-G-F-0022-010		255050116		sub-series	IL-MTFN-001-G-F-0022	Weihl & Frank & Rosenzweig, וייל & פרנק & רוזנצוייג, אוסף גבי שריג	Materialien, die Gabi Srig (Rosenzweig) über die jüdische Gemeinde in Bad Kreuznach und die Geschichte der Familie seiner Frau Ursula (Ulli) geschrieben und gesammelt hat, geordnet in einem Ordner.  Hinweis: Diese Beschreibung wurde automatisch mithilfe von KI übersetzt.	Materials written and collected by Gabi Sarig (Rosenzweig) regarding the Jewish community in Bad Kreuznach and the history of his wife Orzula's (Uli) family, organized in a binder.  Note: This description was generated automatically using AI.	גבי שריג (רוזנצוייג), כתב ואסף חומרים על בד קרויצנך ועל תולדות משפחת רעייתו אולי (אורזולה). החומר מסודר בקלסר; הושאר כפי שגבי שריג הכינו.					נושא התיק על פי הקיטלוג בארכיון תפן: קהילה *הקהילה היהודית בבד קרויצנך	10 מתוך 13	185;IE32389877	
IL-MTFN-001-G-F-0022-011		255050417		sub-series	IL-MTFN-001-G-F-0022	Weihl & Frank & Rosenzweig, וייל & פרנק & רוזנצוייג, בי"ס טיץ ביגור	Materialien, die Gabi Srig zur Vorbereitung eines Buches über die Berufsschule benannt nach Ludwig Tietz in Yagur gesammelt hat, einschließlich einer Broschüre über die Geschichte der Familie Tietz und Dokumente im Zusammenhang mit Bildung und der Familie Ludwig Tietz.  Hinweis: Diese Beschreibung wurde automatisch mithilfe von KI übersetzt.	Materials collected by Gabi Srig in preparation for writing a book about the vocational school named after Ludwig Titz in Yagur, including a booklet on the history of the Titz family and documents related to education and the Ludwig Titz family.  Note: This description was generated automatically using AI.	התיק כולל: חומרים שאסף גבי שריג לקראת כתיבת ספר על ביה"ס המקצועי ע"ש לודויג טיץ ביגור. אמו של גבי היתה בת דוד של לודויג טיץ. גבי היה תלמיד בי"ס זה. חוברת "תולדות משפחת טיץ"; תיק עם חומרים שאסף גבי שריג לקראת כתיבת ספר על בי"ס "טיץ" ביגור.				הספר שכתב גבי שריג יחד עם שרה כוכבי נמצא בספרייה העברית באות 'ש'	נושא התיק על פי הקיטלוג בארכיון תפן: חינוך, קורות משפחה *משפחת לודויג טיץ	11 מתוך 13	64;IE32388863	
IL-MTFN-001-G-F-0022-012		255050418		sub-series	IL-MTFN-001-G-F-0022	Weihl & Frank & Rosenzweig, וייל & פרנק & רוזנצוייג, טקסטיל & מכתבים	Die Sammlung umfasst verschiedene historische Materialien, die sich auf die Familie Frank und Ludwig Tietz beziehen, darunter Materialien, die von Gabi Srig für das Schreiben eines Buches über die nach Ludwig Tietz benannte Berufsschule in Yagur gesammelt wurden. Darüber hinaus enthält die Sammlung Gegenstände aus dem Nachlass von Johanna Frank, wie z.B. ein bestickter Korb, Dokumente und handgefertigte Textilarbeiten. Ebenso sind deutsche Zeitungen aus den Jahren 1914-1926, Familiendokumente, Postkarten aus der Zeit des Ersten Weltkriegs, ein Taschenkalender aus dem Jahr 1960 und weitere historische Dokumente enthalten.  Hinweis: Diese Beschreibung wurde automatisch mit Hilfe von KI übersetzt.	The collection includes a variety of historical materials related to the Frank family and Ludwig Tietz, among them materials collected by Gabi Srig for the purpose of writing a book about the Ludwig Tietz vocational school in Yagur. Additionally, the collection contains items from Johanna Frank's estate, such as an embroidered basket, documents, and textile handicrafts. It also includes German newspapers from the years 1914-1926, family documents, postcards from the World War I period, a pocket diary from 1960, and additional historical documents.  Note: This description was automatically generated using AI.	התיק כולל: חומרים שאסף גבי שריג לקראת כתיבת ספר על ביה"ס המקצועי ע"ש לודויג טיץ ביגור. אמו של גבי היתה בת דוד של לודויג טיץ. גבי היה תלמיד בי"ס זה. בשנת 2005 הפקידה מרים שטיינהרדט במוזיאון סלסילה עגולה מצופה בבד עליו רקומה הסיסמה: "תאכלו שבעה ימים מצות". להמשך תיאור תכולת התיק ראו: הערות	המשך תיאור תכולת התיק: הסלסילה מעזבון הסבתא, יוהאנה/חנה פרנק 1864-1947, מצד האם ליזבט וייל לבית פרנק. יוהאנה נולדה בלאופרוויילר Lauferweiler, גרמניה, עלתה עם משפחת בתה ב-1936 והתיישבה כמוהם בנהריה. יוהאנה היתה נשואה למקס פרנק. 3 דפים - דוגמא לעבודת השורשים שמרים שטיינהרדט עושה. דף עם טקסט מתוך האופרה חליל הקסם, גרמנית הדפסה. דף מעיתון גרמני Saarbrücker Volkszeitung משנת 1914. עיתון בגרמנית Liller Kriegszeitung משנת 1915. 2 דפים מעיתון גרמני Deffentlicher Anzeiger für de Kreis Kreuznach משנת 1922. מופיעה מודעה על אירוסי ארנסט וייל עם ליזבט פרנק. דף מעיתון גרמני Der Bauer משנת 1926. מעטפה עם רבוע נייר עתיק עליו כתובים בדיו זהב בעברית/יידיש שמות של מתים ותאריכים עבריים במאה ה-19. מצורף עמוד עם שחזור הכתוב במקור. מנז'ט מטקסטיל לזרוע עם כתובת בגרמנית: U;Boot Spende Opfer Tag 1917 תרגום: תרומה לצוללת יום הקורבן/הקרבה (?) 1917. פרטי טקסטיל, עבודות יד בין היתר: לימוד רקמת צלבים, כובע לתינוק, סינר מפואר, בגד לתינוק, שקית לפאת נשים, ציפיות לכר, מטפחת אף. אמרות כנף מלוח שנה משנת 1913. יומן כיס קטן "יומן מאיר לאשה" 1960. שלוש גלויות אל הסוחר היהודי מקס פרנק Max Frank, שנשלחות אליו מ-3 חיילים, ביניהם הבן יוליוס פרנק, משדה הקרב. גרמנית, 1915.	[ca. 1864-1917]	לתיק מצורף דף מודפס עם הערות של מרים שטיינהרדט עם מידע על המשפחה.		נושא התיק על פי הקיטלוג בארכיון תפן: פריטים *טקסטיל, מלח"ע I *גלויות מחיילים *מנז'ט: עזרה לצוללות, קורות משפחה *אילן יוחסין, עיתונות *1914 1915 1922 1926	12 מתוך 13	114;IE32389587	
IL-MTFN-001-G-F-0022-013		255050808		sub-series	IL-MTFN-001-G-F-0022	Weihl & Frank & Rosenzweig, וייל & פרנק & רוזנצוייג, ספר לזכרו של מקס רוזנצוייג	Materialien, die sich auf ein Buch beziehen, das Gabi Srig zum Gedenken an seinen Vater, Leutnant Dr. Max Rosenzweig, geschrieben hat und das seinen Militärdienst während des Ersten Weltkriegs beschreibt. Die Sammlung umfasst das endgültige Manuskript des Buches, Karten, Dokumente und Fotos von Max Rosenzweig.  Hinweis: Diese Beschreibung wurde automatisch mithilfe von KI übersetzt.	Materials related to the book written by Gabi Sarig in memory of his father, Lieutenant Dr. Max Rosenzweig, describing his military service during World War I. The collection includes the final version of the book, maps, documents, and photos of Max Rosenzweig.  Note: This description was automatically generated using AI.	גבי שריג הוציא בהוצאה פרטית משנת 2003 את הנוסח הסופי לספר שכתב לזכר אביו "לויטננט ד"ר מקס רוזנצוייג", מלחמת העולם הראשונה. גבי שריג היה גם הוא איש צבא, סא"ל לשעבר. בספר מתחקה גבי אחרי שרותו הצבאי של אביו במלחמה. הספר מלווה במפות, מסמכים ותמונת אביו, מקס רוזנצוייג.		2003			נושא התיק על פי הקיטלוג בארכיון תפן: ביוגרפיה, מלח"ע I, צבא	כרטיס 13 מתוך 13	67;IE32388712	
IL-MTFN-001-G-F-0022-002		255050042		sub-series	IL-MTFN-001-G-F-0022	Weihl & Frank & Rosenzweig, וייל & פרנק & רוזנצוייג		The collection contains documents and certificates related to the Weil and Frank families, spanning the years 1859-1946. Among the items, one can find ketubot (Jewish marriage contracts), marriage contracts, birth certificates, enlistment and recognition certificates, obituaries, poems, and blessings. There are documents related to the commercial and political activities of the family members, including economic contracts, anti-Semitic propaganda, legal documents, and personal letters. The collection also includes documents that testify to their lives during the Third Reich and their immigration to Palestine. Additionally, there are engravings and other artistic materials.  Note: This description was automatically generated using AI.	החומר בתיק זה מתפרש על פני השנים 1859-1946. כתובה של ארנסט וייל וליזבט לבית פרנק. חוזה נישואין של Josef Weihl ו; Henriette Rotschild, יוסף וייל והנרייטה רוטשילד, הומבורג; Homburg 1886. תעודת לידה של ארנסט וייל, נולד ב-1899, התעודה הונפקה ב-1926 בהומבורג. אישור נישואין של ארנסט וליזבט וייל 1923; להמשך תיאור תכולת התיק ראו: הערות	המשך תיאור תכולת התיק: אישור להעברת בעלות על קרקע מיוסף וייל Josef Weihl לאדולף וייל Adolf Weihl מ-1924 הומבורג; Homburg. אישור גיוס למתנדב ארנסט וייל 1916 דרמשטט; Darmstadt; קריאה לתרום למאמץ המלחמתי 1916; תעודת הוקרה לד"ר וייל מ-1914 על תרומתו "זהב עבור ברזל"; "Gold gab ich für Eisen", דילנברג; Dillenberg. 3. מודעת אבל בעיתון משנת 1917 על מות Josef Weihl ; יוסף וייל; שיר מ-1919 לרגל הנישואין של Myrtil Frank; מירטיל פרנק; ברכה צבעונית לראש השנה 1945, נשלחה אל ד"ר וייל; שיר ליום הולדתו של ארנס וייל, מאת פריץ ורות (וולף?) 1972; שיר שנכתב לאירוע פרידה מד"ר וייל; צילום ההזמנה לחגיגת חורף לרגל האירוסין של ארנסט וייל עם אלזבט פרנק; ברכה לד"ר וייל מ"בני ברית" 1979; תעודות מביה"ס לבנות של אלזבט פרנק; Elsbeth Frank משנת 1909 מ-Meisenheim; מייזנהיים- תעודות של אלזבט פרנק מביה"ס למסחר בפרנקפורט; Frankfurt מ- 1912-1913; חוק הרייך השלישי על עבודתם של רופאים ורופאי שיניים 1933, ברלין; Berlin; הודעה על הוצאתו של ד"ר וייל מהשרות הרפואי של קופות החולים 1933, סוברנהיים; Sobernheim; דף תעמולה אנטישמית; חישוב שכר לד"ר וייל מאת איגוד רופאי השיניים 1933, קובלנץ; Koblenz; צילום תעודות שונות של משפחת וייל משנת 1933; חשבונית לכרטיס נסיעה ושובר לבית מלון 1933, בד קרויצנך; Bad Kreuznach; סיכום חשבון הכספים של ד"ר וייל מ-1933, בד קרויצנך Bad Kreuznach; תלושים ללחם ולנסיעות; אישורי חיסונים מ-1933; חוברת לכתיבת תולדות המשפחה; אילן יוחסין של משפחות וייל ורוזנצוייג/ שריג; מכתב מאת הנכן פרנק; Hannchen Frank אשת מקס מהיקב בברייטנהיים; Breitenheim; דף חשבון ופרסום לבית המסחר ליינות של מקס פרנק; Max Frank בברייטנהיים; Breitenheim; אישור בנק בגיסן; Giessen לגב' יוסף וייל; Josef Weihl על תשלום לפאול דרייפוס; Paul Dreifuss הונגן; Hungen מ-1920; הודעה מבית המשפט על הצוואה של יוסף וייל מ-1917 הומבורג; Homburg. מכתבים מ-1933 ממשפחת היימן Heimann, בד;קרויצנך Bad;Kreuznach; מכתב מאת ליזבט וייל Lisbeth Weihl למשפחה מ-1933; מכתב מהרב יעקובס Jakobs, בד;קרויצנך מ-1938; בקשה להתאזרח בפלסטינה, של הזוג וייל, מ-1936, ירושלים. מכתבים מהסוכנות היהודית בנושא עלייתם של בני משפחתו של ד"ר וייל מ- 1945;1946; התכתבות בין ד"ר וייל לעורך דין רוזנבלט, תל;אביב 1946. התכתבות בין יוהן טילה Johann Thiele, הממונה על גביית החובות לזכותו של ד"ר וייל מפתח;תקוה אל ד"ר וייל בבד;קרויצנך מהשנים 1933-1935. אישור מעבר משטרתי לחניתה עבור ד"ר וייל, חיפה מ-1939. הזמנה לישיבה של קופת מלווה, נהריה, 1947. חוזה לשירות טלפון, נהריה, 1947. אישור לד"ר וייל על עבודתו כממלא מקום במרפאת שיניים בתל-אביב, 1933. חוזה שכירות על בית בפתח;תקוה. 11. כרטיסי חבר להשתייכות פוליטית למפלגה הפרוגרסיבית, של ליזבט וארנסט וייל. 12. 3 תחריטים, 2 מהם אורגינלים.	1859-1979			נושא התיק על פי הקיטלוג בארכיון תפן: תעודות אישיות, מלח"ע I, מנהגים, חינוך, הרייך השלישי, משפחה, מסחר, משפט, התכתבות, פלסטינה, פעילות פוליטית, אומנות	2 מתוך 13	210;IE32390135	
IL-MTFN-001-G-F-0022-003		255050109		sub-series	IL-MTFN-001-G-F-0022	Weihl & Frank & Rosenzweig, וייל & פרנק & רוזנצוייג, נהריה	Die Sammlung umfasst Dokumente und verschiedene Materialien, die sich auf die Aktivitäten des Gemeinderates von Nahariya beziehen, einschließlich Verfahren und Vorschriften, Gesetze und Aufgabenverteilung. Sie enthält auch eine Dokumentation des Besuchs des Staatspräsidenten Chaim Weizmann im Jahr 1955, Fotos von Nahariya, Werbebroschüren, Korrespondenzen mit dem ersten Ratsvorsitzenden Dr. Meir Wolff zu politischen Themen und Seiten zu Veranstaltungen und Feierlichkeiten. Darüber hinaus enthält die Sammlung einen Brief über in Deutschland erworbene Ausrüstung für die Bäckerei 'Selig und Jakob' in Nahariya. Die Dokumente sind hauptsächlich in Deutsch und Hebräisch verfasst.  Hinweis: Diese Beschreibung wurde automatisch mithilfe von KI übersetzt.	The collection includes documents and various materials related to the activities of the Nahariya local council, including procedures and regulations, laws, and division of roles. It also contains documentation of President Chaim Weizmann's visit in 1955, photos of Nahariya, promotional brochures, correspondence with the first council head Dr. Mayer Wolf on political matters, and pages for events and celebrations. Additionally, the collection includes a letter regarding equipment purchased in Germany for the "Selig and Yaakov" bakery in Nahariya. The documents are mainly written in German and Hebrew.  Note: This description was automatically generated using AI.	התיק כולל: נהלים לאופן פעולתה של המועצה המקומית נהריה, בגרמנית. תקנון לתושבי נהריה, חלוקת תפקידים לועדות. חוקי עזר, בגרמנית. רשימה של מועמדים לבחירות. ביקור של נשיא המדינה, חיים ויצמן, 1955. תמונות של נהריה. להמשך תיאור תכולת התיק ראו: הערות	המשך תיאור תכולת התיק: חוברות פרסום לנהריה; התכתבות בגרמנית עם ראש המועצה הראשון של נהריה, ד"ר מאייר וולף MeyerWolf בנושא מפלגת "עליה חדשה". דפים לאירועים וחגיגות בנהריה, בעברית וגרמנית. מכתב בגרמנית שאלה לד"ר ארנסט מחברת "העברה" על המצאותו של ציוד ,שנרכש דרכם בגרמניה, במאפיית "זליג את יעקב" בנהריה.	[ca. 1935-1970]			נושא התיק על פי הקיטלוג בארכיון תפן: נהריה, התישבות, פוליטיקה	3 מתוך 13	269;IE32389687	
IL-MTFN-001-G-F-0022-004		255050110		sub-series	IL-MTFN-001-G-F-0022	Weihl & Frank & Rosenzweig, וייל & פרנק & רוזנצוייג, בין היתר גם "צל-קורתי".	Die Akte enthält Korrespondenzen und Dokumente von Dr. Weil mit der Firma 'Tzel Kurti' aus den Jahren 1935-1945, Dokumente zu familiären Konflikten und finanziellen Angelegenheiten, Zeitungsausschnitte auf Hebräisch und Deutsch aus den Jahren 1936-1943, Dokumente im Zusammenhang mit den familiären Verpflichtungen von Dr. Weil, Korrespondenzen mit Anwälten und Behörden in Deutschland während des Dritten Reiches bezüglich seiner beruflichen Rechte und finanziellen Verpflichtungen sowie eine festliche Broschüre auf Deutsch, die von Gymnasiasten zum Abschluss des Schuljahres 1914 erstellt wurde. Die Sammlung konzentriert sich auf Themen wie Siedlung, Veröffentlichungen, das Dritte Reich, Bildung und Bräuche.  Hinweis: Diese Beschreibung wurde automatisch mithilfe von KI übersetzt.	The file contains correspondence and documents of Dr. Weil with the "Tzel Korti" company from the years 1935-1945, documents related to family disputes and financial matters, newspaper clippings in Hebrew and German from the years 1936-1943, documents related to Dr. Weil's family obligations, correspondence with lawyers and authorities in Germany during the Third Reich regarding his professional rights and financial obligations, as well as a festive booklet in German prepared by high school students for the end of the 1914 school year. The collection focuses on topics of settlement, publications, the Third Reich, education, and customs.  Note: This description was automatically generated using AI.	התיק כולל: התכתבויות ומסמכים של ד"ר וייל עם חברת "צל קורתי" בשנים 1935-1945. סיכסוכים תוך משפחתיים על רקע כספי. קטעי עיתונות בעברית וגרמנית מהשנים 1936-1943. ד"ר וייל מתחייב שיש לו את האמצעים לקחת על עצמו את האחריות לאמו ואחותו. להמשך תיאור תכולת התיק ראו: הערות	המשך תיאור תכולת התיק: המסמך נכתב עבור קבלת Affidavit. מסמכים והתכתבויות עם עו"ד והרשויות בגרמניה, בתקופת הרייך השלישי, בקשר עם זכויותו המקצועיות של ד"ר וייל וחובות כספיים שלזכותו. חוברת חגיגית בגרמנית שערכו תלמידי תיכון לסיום שנת הלימודים 1914.	[1914-1935]			נושא התיק על פי הקיטלוג בארכיון תפן: התיישבות, פרסומים, הרייך השלישי, חינוך, מנהגים	4 מתוך 13	443;IE32392167	
IL-MTFN-001-G-F-0022-005		255050111		sub-series	IL-MTFN-001-G-F-0022	Weihl & Frank & Rosenzweig, וייל & פרנק & רוזנצוייג, תעודות אישיות & עבודת דוקטור ברפואת שיניים	Eine Sammlung von Dokumenten und persönlichen Materialien, die das Leben und Wirken von Dr. Ernst Weil und seiner Familie dokumentieren, beginnend mit der Zeit des Ersten Weltkriegs bis in die 70er Jahre des 20. Jahrhunderts. Die Sammlung umfasst eine Doktorarbeit in Zahnmedizin, Militärbücher, persönliche Dokumente wie Ausweise und Lizenzen, familiäre Archivmaterialien, ein Familienfotoalbum, weitere wirtschaftliche und persönliche Dokumente wie Sparbücher und Listen von Gegenständen. Die Sammlung dokumentiert auch Dr. Weils Engagement in den Verteidigungskräften während des britischen Mandats sowie sein öffentliches und privates Leben in Nahariya und anderen Orten.     Hinweis: Diese Beschreibung wurde automatisch mithilfe von KI übersetzt.	A collection of documents and personal materials documenting the life and work of Dr. Ernst Weil and his family, from the period of World War I until the 1970s. The collection includes a doctoral thesis in dentistry, military booklets, personal documents such as identity cards and licenses, family archival materials, a family photo album, additional economic and personal documents like savings books and item lists. The collection also documents Dr. Weil's involvement in the defense forces during the British Mandate and his public and personal life in Nahariya and other places.     Note: This description was generated automatically using AI.	התיק כולל: עבודת הדוקטור ברפואת שיניים של ארנסט וייל, 1921 (2 עותקים).; פנקס צבאי של ד"ר ארנסט וייל, מלחמת העולם הראשונה. פנקס ירי של החייל ארנסט וייל, 1917. חוברת קטנה עם שירים לנשואי פלורי מרבורגר Flory Marburger עם מירטיל פרנק Myrtil Frank בשנת 1919. להמשך תיאור תכולת התיק ראו: הערות	המשך תיאור תכולת התיק: מכתב איחולים לרגל האירוסין של ארנס וייל וליזבט פרנק. האחים, הגיסות והאם כותבים את שמחתם ואיחוליהם במכתב אחד. גרמנית כתב יד, 1922. השם של אם ארנסט הוא זלמה Selma. אישור מעבר עם תמונה לד"ר וייל מחיפה לחניתה ובחזרה, 1938, תקופת המנדט הבריטי. כרטיס חבר לד"ר ארנסט וייל, עם תמונה, חבר בכוחות ההגנה ה"פסיבית"(?), נהריה, 1942, אנגלית. פנקס תלושים לאלישבע (ליזבט) וייל ילידת 1895 ולארנסט וייל, יליד 1899. משרד החקלאות; אגף המזון; ענף תקצוב לצרכן. פנקס חיסכון של "צל קורתי", בנק המזרחי, תל אביב, 1935. תעודת זהות Identity Card של ד"ר ארנסט וייל, 1938. אלבום כיס קטן עם תמונות משפחתיות של משפ. ד"ר וייל ואחרים. שנות ה-30 למאה ה-20. אוגדן עם גלויות לזכר הקרב בוורט על הסאר Der Schlacht von Wörth a. S, שיה באוגוסט 1870 בין הגרמנים לצרפתים. פנקס לניהול חשבונות בנק, בד;קרויצנך Bad Kreuznach שנות 1930;32. רשימת פריטים מודפסת, שאליזבט וייל רוצה לקחת לפלשתינה לשימושה האישי. בסוף הרשימה אישור של משטרת בד קרויצנך, 1933. רשיון כניסה, של "ממשל צבאי בשטחים המוחזקים" לארנסט וייל, רופא, הנ"ל רשאי לנסוע לנצרת ולגליל המזרחי, 1950. רשיונות נהיגה ורכב, שנות ה-70 למאה ה-20. פנקס בנק "אנגלו;פלשתינה, תל אביב, 1933. קבלה על תשלום ה"שקל", סך 50 מיל, 1935. פנקסי חברות בהסתדרות של ארנסט ואלישבע וייל; דרכונים ישראלים של ארנסט ואלישבע וייל; "תעודה לבעל רכב מתנדב" לד"ר וייל, 1960. כרטיסי תושב נהריה; שיר שנכתב ככל הנראה ע"י ארנסט וייל ליום הולדתה של רעייתו ליזבט לשיר נתן את הכותרת לגברת דרקון "Weil Frau Drache Geburtstag hat…". השיר נכתב על טופס ממרפאת השיניים של ד"ר ארנסט וייל בעיר מייזנהיים Meisenheim, שם הם התגוררו תקופה. ללא תאריך	[ca. 1870-1960]			נושא התיק על פי הקיטלוג בארכיון תפן: פלשתינה, תעודות אישיות, מלח"ע I, הנצחה *אוגדן גלויות מהמלחמה ב-1870, רפואה *עבודת דוקטור ברפואת שיניים	5 מתוך 13	692;IE32390689	
IL-MTFN-001-G-F-0022-006		255050112		sub-series	IL-MTFN-001-G-F-0022	Weihl & Frank & Rosenzweig, וייל & פרנק & רוזנצוייג, יוליוס פרנק	Die Sammlung umfasst Materialien, die mit Julius Frank, einem Maler und Künstler, und seiner Schwester Lisbeth Weil, geborene Frank, in Verbindung stehen. Die Sammlung enthält vier Notizbücher mit Zeichnungen, ein Skizzenbuch mit Aquarellen und ein Album, das Julius Frank für seine Schwester erstellt hat, mit Kunstwerken und Bildunterschriften auf Deutsch. Darüber hinaus umfasst die Sammlung handschriftliche Korrespondenzen in deutscher Schrift, mit Illustrationen, die von Paris und London an Ernst und Lisbeth Weil in den Jahren 1918-1988 gesendet wurden. Die Dokumente beschreiben Franks Bestrebungen, seine Fähigkeiten in der Malerei zu verbessern, seine vorübergehende Arbeit in Paris und seine Hoffnungen auf eine bessere Zukunft.  Hinweis: Diese Beschreibung wurde automatisch mithilfe von KI übersetzt.	The collection includes materials related to Julius Frank, a painter and artist, and his sister Lisbeth Weil née Frank. The collection contains four sketchbooks with drawings, a drawing notebook with watercolor paintings, and an album that Julius Frank made for his sister, which includes artworks with captions in German. Additionally, the collection includes handwritten German correspondences, with illustrations, sent from Paris and London to Ernst and Lisbeth Weil between the years 1918-1988. The documents describe Frank's aspirations to improve his painting skills, his temporary work in Paris, and his hopes for a better future.  Note: This description was automatically generated using AI.	יוליוס פרנק היה אחיה של ליזבט/אלישבע וייל לבית פרנק. היה צייר, הכין לבד גלויות עליהן התכתב. את מכתביו על אגרות דואר נהג לאייר. שהה תקופה בפריז במטרה ללמוד ולשפר את אמנותו. התיק כולל: ארבעה פנקסים עם רישומים- מחברת ציור עם מספר ציורים בצבעי מים- אלבום שהכין יוליוס פרנק לאחותו ליזבט, לתוכו הדביק יצירות אמנות שלו עם כתוביות בגרמנית. 1918. מכתב מאת יוליוס פרנק בפריז אל ארנסט וליזבט וייל. להמשך תיאור תכולת התיק ראו: הערות	המשך תיאור תכולת התיק: בין היתר: הוא שואף לשפר את מיומנות הציור, להרויח כמה שיותר בעבודתו הזמנית, לחזור לברלין לעבוד בעיצוב חלונות ראווה ולרכוש לעצמו סטודיו בו יוכל לצייר. בפריז הוא מתמחה בהעתקת ציורים במוזיאונים. על המכתב ישנם גם איורים. גרמנית כתב יד, 1926. יוליוס פרנק כותב אל "אהוביי" ככל הנראה אל אחותו ליזבט וגיסו ד"ר ארנסט וייל. הוא עובד בבית מלאכה כל שהו, מרויח מעט, ממשיך לצייר ולקוות לעסקים טובים יותר. התקופה קשה לפרנסה. גרמנית כתב יד, ללא תאריך (ככל הנראה סוף שנות ה;20, תחילת ה;30 למאה העשרים). מעטפה עם גלויות ומכתבים מאוירים, שכותב יוליוס פרנק אל משפחת ארנס וייל. לונדון, גרמנית כתב יד, שנות ה-70 למאה ה-20. מעטפה עם אגרות דואר, בחלקן מאוירות, שכותב יוליוס פרנק אל ד"ר ארנסט וייל בנהריה. לונדון, גרמנית כתב יד, 1977-1988.	[1918-1988]			נושא התיק על פי הקיטלוג בארכיון תפן: התכתבות, אמנות *ציור	6 מתוך 13	716;IE32395562	
IL-MTFN-001-G-F-0022-007		255050113		sub-series	IL-MTFN-001-G-F-0022	Weihl & Frank & Rosenzweig, וייל & פרנק & רוזנצוייג, עבודת שורשים	Dokumentation der Wurzeltour der Familie Srig im Jahr 1996 in die Städte Berlin und Bad Kreuzberg, einschließlich hebräischer Schriftstücke, Fotografien von Urkunden, Dokumenten und einem Stammbaum. Die Reise konzentriert sich auf die Familien Weil und Rosenzweig.  Hinweis: Diese Beschreibung wurde automatisch mithilfe von KI übersetzt.	Documentation of the Sarig family's roots trip in 1996 to the cities of Berlin and Bad Kreuzberg, including writing in Hebrew, photographs of certificates, documents, and a family tree. The trip focuses on the Weil and Rosenzweig families.  Note: This description was generated automatically using AI.	משפחת שריג עושה טיול שורשים ב-1996 לברלין ובאד קרויצברג ומסכמת בכתיבה, עברית. משולבים צילומי תעודות מסמכים ואילן יוחסין., טיול השרשים נעשה בעקבות משפחת וייל ורוזנצווייג.		1996			נושא התיק על פי הקיטלוג בארכיון תפן: תולדות משפחה, ביוגרפיה	7 מתוך 13	41;IE32388649	
